iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
0,4.05853029241661e-05,0.0363072797697606,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.002653962514531462,0.0057915270780363225,0.011234957064809304,0.014136867359969314,0.02874105658168749,1.1621109390350837,0.0,0.0005061690041678322,0.10271706568534676,0.13051990504203748,0.13051990504203748,0.0,0.00014133214159133618,0.008526777812785451,-0.011144680418687516,0.03963948309941472,0.0,2.029265146208305e-05
1,8.66597889600813e-05,0.03630082761524898,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.001534413867805272,0.009181795197147897,0.007908739556810353,0.013247744263110258,0.01741113877655773,1.1620324089164014,0.0,0.0006097155355869426,0.10271012453791581,0.13051990504203748,0.13051990504203748,0.0,0.00014384526864030952,0.008678984982597634,0.021146933368946953,0.04557859222281398,0.0,4.332989448004065e-05
2,0.00010314212168491748,0.03629246892382797,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0005818727219845342,0.01013920834288002,0.007256157501305502,0.011036604366149595,0.015471875265885412,1.1619151545567432,0.0,0.000593598278289514,0.10269976061881106,0.13051990504203748,0.13051990504203748,0.0,0.0001469601886342814,0.008867820231374984,0.00483711855105213,0.0397334490425724,0.0,5.157106084245874e-05
3,9.915259245073816e-05,0.03628649266428033,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0031250974519185255,0.009454435909495103,0.006780543781786485,0.0106139668941379,0.013328256812076889,1.1619353375118118,0.0,0.0007436621566117567,0.10270154455686023,0.13051990504203748,0.13051990504203748,0.0,0.00015013153000992285,0.009059026842828872,-0.018198730574494455,0.03912623553287087,0.0,4.957629622536908e-05
4,0.00013689376160055808,0.036277226306757726,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.002728502753464486,0.011377567153170084,0.006166078610490092,0.011308360749975334,0.02495277260261538,1.1618192923052535,0.0,0.0007398804408442135,0.10269128751280004,0.13051990504203748,0.13051990504203748,0.0,0.00015371134710713053,0.009275961572193191,-0.04147394954835641,0.04045474577370033,0.0,6.844688080027904e-05
5,4.613648126600663e-05,0.03627305982602219,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0013014030983179174,0.006666545675362552,0.009873364485416546,0.014665540458906449,0.026030580863814736,1.1616826414085406,0.0,0.0005539846113509633,0.10267920916583492,0.13051990504203748,0.13051990504203748,0.0,0.00015455431941725837,0.00932792924175863,-0.02032498197890637,0.03680346657746839,0.0,2.3068240633003314e-05
6,0.00039492132519654705,0.03624636656754075,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0029090225441651203,0.0196585582643816,0.010669037790259833,0.011999549822740641,0.016132006369666434,1.1616418155029353,0.0,0.0017654363631347475,0.10267560063149724,0.13051990504203748,0.13051990504203748,0.0,0.0001675304337166977,0.010111441459304257,0.011838264865098695,0.04346249268679751,0.0,0.00019746066259827353
7,0.00027474158769622513,0.03622854991984417,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0014730492189919252,0.01650974602150658,0.009854936844280947,0.019335003287470436,0.05616158418189182,1.1616995909121755,0.0,0.0012134392082844613,0.10268070730445467,0.13051990504203748,0.13051990504203748,0.0,0.00017696310131717235,0.010680226923286854,-0.011592889986453006,0.04488240402360141,0.0,0.00013737079384811257
8,0.00024856954516553297,0.036211852613069986,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0038196472462903317,0.015296399578967584,0.008099954458841555,0.016763625618114855,0.02763722481321791,1.1615993328476897,0.0,0.0011642570074160607,0.10267184565979635,0.13051990504203748,0.13051990504203748,0.0,0.00018440187402724256,0.011130138595645135,-0.0032416792083622085,0.039943928664759584,0.0,0.00012428477258276648
9,0.0004291277041959176,0.036183496604751404,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0019449420889781058,0.02062389159364544,0.011443878324866789,0.04071279384884936,0.06878682591877466,1.1614652391850766,0.0,0.0017080749638956605,0.10265999334252787,0.13051990504203748,0.13051990504203748,0.0,0.00019736304913594563,0.011913825243624424,0.01709732421395005,0.034983328665925434,0.0,0.0002145638520979588
