iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
0,8.714314015485012e-05,0.033340004011975156,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.00044789178610139227,0.00932429799517331,0.007364099176427333,0.011872760937276752,0.014725213927432692,1.1149742770192772,0.00021030341507016984,0.0006705279079537445,0.09855073401611238,0.14588567017670434,0.14588567017670434,0.0,0.001205695816537402,0.07581663443042991,-0.01491171544001469,0.039040177079098806,0.0,4.357157007742506e-05
1,0.000219617312765167,0.03332548531698199,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0029498826020833936,0.014522930331000444,0.006083933085042011,0.02545478397595485,0.04183504020141152,1.1149133792932195,0.0004314355044559334,0.0009354620286426951,0.0985453513667306,0.14588875072261526,0.14588875072261526,0.0,0.001212424714472913,0.0762439256765088,-0.006465812051963177,0.042187026131585516,0.0,0.0001098086563825835
2,0.00016421077788088276,0.0333154156956329,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0030073386313258046,0.012456592320430903,0.007799576581951683,0.0139257319143562,0.018059103985827097,1.115005963904686,0.00019606868256648777,0.0009639755755309356,0.0985535347675558,0.14588416567206772,0.14588416567206772,0.0,0.0012182659947411758,0.07660489604284337,0.003815336294474691,0.039001652028365474,0.0,8.210538894044138e-05
3,0.00025424695488089513,0.03329817682463035,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0016113985134665499,0.0158634910947021,0.01076688999395377,0.018276519534281926,0.020161683376629536,1.114998656960945,0.0003137221799138524,0.0012185750305118222,0.09855288891887215,0.14587923923888632,0.14587923923888632,0.0,0.0012268217797803134,0.0771433916677993,0.01433785368061347,0.04205755050679026,0.0,0.00012712347744044757
4,0.0002607658468682468,0.033280035992559014,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0038819489693732046,0.01567470315723488,0.008943005754196567,0.012956233177755398,0.02459816768383445,1.114995870509739,0.0003032703896463118,0.0011015214945897403,0.09855264262905425,0.14588391529175923,0.14588391529175923,0.0,0.001235867923273249,0.0777124135590606,0.016289775694045733,0.042294890223256325,0.0,0.0001303829234341234
5,2.7154485142799317e-05,0.0332793917077434,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.001301024855346127,0.005045970617093495,0.008370868685625256,0.012330990653265884,0.02371431163502192,1.1150166097293785,0.00010447383013193715,0.0004084960342566327,0.09855447573440972,0.1458852648782118,0.1458852648782118,0.0,0.0012363707247381927,0.07774258410496411,-0.006357241728706553,0.03894844398928729,0.0,1.3577242571399659e-05
6,0.00013570107346508404,0.03326942325280495,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.001026547057429922,0.011603761226600883,0.006457039068333393,0.012019423258300091,0.012814898434907834,1.1149971504525131,0.00012699749715905744,0.0007802932020920912,0.09855275576108115,0.14588610498130472,0.14588610498130472,0.0,0.0012411854426168949,0.0780466940513581,-0.006876172841783591,0.03626331971952678,0.0,6.785053673254202e-05
7,9.283650636365193e-05,0.03326342106771448,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0002996546476456732,0.00963050951174424,0.007164730867547501,0.017830405335984657,0.021266799670959395,1.1149699063400242,0.00017723419093766113,0.0006225784509757341,0.09855034769899511,0.14588546416662754,0.14588546416662754,0.0,0.0012439492169068896,0.07822239360676844,-0.0008174011811126446,0.03744651659530547,0.0,4.641825318182596e-05
8,0.00010548731581610837,0.03325694591317613,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0022655863604661725,0.010017706037780207,0.006491235551848836,0.012498833781249148,0.025787957561015182,1.1149502082442444,0.00018595317488156592,0.0006145893548489165,0.09854860661685731,0.1458870002082021,0.1458870002082021,0.0,0.0012470152114416931,0.07841657578930208,-0.0154375145217754,0.03942835821374632,0.0,5.274365790805419e-05
9,5.044663927547925e-05,0.03325508916146132,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0012274548662847852,0.0069957125317377826,0.010436337318887828,0.01373264956690863,0.01458506462458543,1.1149432634203629,0.00021791591531447637,0.0005941809693143219,0.09854799277534972,0.1458907125054342,0.1458907125054342,0.0,0.0012478830942622443,0.07847164001109244,0.014714319361856885,0.03352696258907285,0.0,2.5223319637739625e-05
10,0.0002735752650226849,0.03323650610101127,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.004575152500988691,0.01589475525496954,0.008736655421015,0.012369894586264498,0.0150427529277326,1.114949689287577,0.00046844328964953274,0.0012498327277103496,0.09854856074713497,0.14589841398397133,0.14589841398397133,0.0,0.0012572305971279545,0.07905899093105956,-0.01393017952294041,0.04072760086767972,0.0,0.00013678763251134246
11,0.00022529853389473395,0.03322184176058303,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.004297766971779833,0.014381506630079215,0.008524235620222328,0.01348234862933765,0.026291075250612632,1.1149922607652694,0.00042853525410092077,0.0011829224836056832,0.09855232356970516,0.1459161774802829,0.1459161774802829,0.0,0.0012649335951701295,0.07954034494081857,0.001988801392448763,0.040196237070443494,0.0,0.00011264926694736697
12,0.00025728642359729154,0.03320440101684287,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.003538414436713068,0.015645000698988543,0.007168690518670328,0.012355776768260928,0.10077964123524112,1.115062875483122,0.0002678851624254909,0.0011872588363168617,0.0985585650879358,0.14591639520308705,0.14591639520308705,0.0,0.0012742691026427202,0.08012229708879157,-0.014620464807926482,0.03609222523843207,0.0,0.00012864321179864577
13,0.0001253540412960116,0.03319527960392912,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.004543272921440609,0.010232922967428032,0.005443840913644883,0.01071999625127928,0.02032266244854445,1.1149276726905013,0.00023308346685139457,0.0008635168150789605,0.09854661473649862,0.1459126370771511,0.1459126370771511,0.0,0.0012776520710150942,0.08034475010332708,-0.022760604231747795,0.039096212346676776,0.0,6.26770206480058e-05
14,3.3645789233819155e-05,0.033193006334108655,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0009446992777890923,0.005723052726330932,0.009994871386770009,0.013421192443080718,0.01424505691336462,1.114881852840813,0.00018693959106298762,0.0005168636292686322,0.09854256479569518,0.14591502284402205,0.14591502284402205,0.0,0.0012783896061702796,0.08039443371647646,-0.014305572393898002,0.04207855663498375,0.0,1.6822894616909577e-05
15,0.00017832006980299012,0.03317878339727089,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0011990067401089963,0.013299716261641198,0.006970319670378155,0.015064625769134284,0.08147341633589399,1.114792089973881,0.00038288919165417606,0.0008151026744858396,0.09853463080420688,0.1459196448668852,0.1459196448668852,0.0,0.001284719270192943,0.0807989944110411,-0.006363109393748317,0.03785315405258532,0.0,8.916003490149506e-05
16,8.604457459269633e-05,0.03317297476992073,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.192230692260356e-05,0.009275926752237679,0.006118922026595457,0.008172404236873817,0.022189054610623565,1.114772916762917,0.00014927489541716394,0.0005255714653705681,0.09853293611577066,0.1459192257081553,0.1459192257081553,0.0,0.0012874565998046185,0.08097254410097551,-0.010453783813053315,0.031922946421002026,0.0,4.3022287296348166e-05
17,0.0002754844262473812,0.03315349545303498,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0038184347959956074,0.01615252246418841,0.009628636194388241,0.0168044979738485,0.02122910070369309,1.114803565737236,0.0003883358740318772,0.0012646787129550541,0.09853564512796782,0.14593182745684583,0.14593182745684583,0.0,0.0012974631888426253,0.0815996492152469,0.008994372337607673,0.04355566149011626,0.0,0.0001377422131236906
18,0.00022072703462809953,0.033138335850541115,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.004247228704910918,0.014236856498408638,0.006566265281541174,0.009758440927578776,0.012291102296795078,1.1148725068161516,0.0003516025015703652,0.0011682842055918043,0.09854173871601826,0.14592564191546528,0.14592564191546528,0.0,0.0013056434442851655,0.08210904154002767,-0.007058168736258327,0.037137417337951346,0.0,0.00011036351731404977
19,0.00012418503041975598,0.03313068625678724,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0016044607994805753,0.011027725783799945,0.005492478402328629,0.015268748924019799,0.017272445153864918,1.11492334916434,0.00029149217613492996,0.0006829191779958502,0.0985462325871652,0.1459268268571473,0.1459268268571473,0.0,0.0013099110851359274,0.08237366753020528,0.0065903372474967435,0.03795041694238892,0.0,6.209251520987799e-05
20,0.00031038521651495396,0.03310914885125539,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.001867143867558579,0.017518532766553036,0.007464454500579418,0.06965866013502277,0.0887944240394746,1.1149924579676116,0.00038576931006233323,0.0011998356825440892,0.09855234100009433,0.14592683248803562,0.14592683248803562,0.0,0.0013212817676394521,0.08308356215357926,-0.01262992855968248,0.04140434677030031,0.0,0.00015519260825747698
21,8.844461538254567e-05,0.03310297922891897,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.00247212733607752,0.009073764478801725,0.00699619553947327,0.009364977468895561,0.01621409829612984,1.1149527851249175,0.00021234593817482636,0.0008333962960859425,0.09854883438308208,0.14592607326973503,0.14592607326973503,0.0,0.0013240209996402976,0.08325877034325334,0.0189367008469188,0.037127943009914816,0.0,4.4222307691272835e-05
22,0.00010527994534905999,0.033095499270945274,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0013063966328275152,0.01017709551821132,0.009996193323346041,0.016311563453739013,0.017519718743455176,1.1148648021883167,0.0002773250998022261,0.0007450706253281443,0.0985410577166947,0.14594370874346718,0.14594370874346718,0.0,0.0013269946274575522,0.08345234716025629,0.005689979498916066,0.040747650832756485,0.0,5.263997267452999e-05
23,0.00014611383652659074,0.03308685947307165,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0024533168898049702,0.011836176441942237,0.007206492632469348,0.014246064108569875,0.0865650270092956,1.1149516700850715,0.00036765600869920206,0.0008297046806738519,0.09854873582655253,0.14593228541855166,0.14593228541855166,0.0,0.0013320711649377084,0.08376507483486088,0.01066778403274568,0.03819201121704888,0.0,7.305691826329537e-05
24,2.4778845400422578e-05,0.03308601438648453,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00042574061968986336,0.004959595782437181,0.008553411631209644,0.015796208427020175,0.01787539996911222,1.1149543529040067,0.00013135934730242982,0.0003682799667277845,0.09854897295648526,0.14593141570769025,0.14593141570769025,0.0,0.0013325170771144792,0.08379291365464601,-0.008907973791012637,0.03525532949712082,0.0,1.2389422700211289e-05
