iter,td_loss_est,cos_w_wr,w_dot_wr_over_n,w_norm,theta_pi_norm,theta_mu_norm,tracking_gap,mean_rho2,p95_rho2,action_mean,action_var,dist_action_kl
0,4.357157007742506e-05,0.07581663443042991,0.001205695816537402,0.09855073401611238,0.14588567017670434,0.14588567017670434,0.0,1.0,1.0,-0.01491171544001469,0.039040177079098806,0.0
1,0.0001098086563825835,0.0762439256765088,0.001212424714472913,0.0985453513667306,0.14588875072261526,0.14588875072261526,0.0,1.0,1.0,-0.006465812051963177,0.042187026131585516,0.0
2,8.210538894044138e-05,0.07660489604284337,0.0012182659947411758,0.0985535347675558,0.14588416567206772,0.14588416567206772,0.0,1.0,1.0,0.003815336294474691,0.039001652028365474,0.0
3,0.00012712347744044757,0.0771433916677993,0.0012268217797803134,0.09855288891887215,0.14587923923888632,0.14587923923888632,0.0,1.0,1.0,0.01433785368061347,0.04205755050679026,0.0
4,0.0001303829234341234,0.0777124135590606,0.001235867923273249,0.09855264262905425,0.14588391529175923,0.14588391529175923,0.0,1.0,1.0,0.016289775694045733,0.042294890223256325,0.0
5,1.3577242571399659e-05,0.07774258410496411,0.0012363707247381927,0.09855447573440972,0.1458852648782118,0.1458852648782118,0.0,1.0,1.0,-0.006357241728706553,0.03894844398928729,0.0
6,6.785053673254202e-05,0.0780466940513581,0.0012411854426168949,0.09855275576108115,0.14588610498130472,0.14588610498130472,0.0,1.0,1.0,-0.006876172841783591,0.03626331971952678,0.0
7,4.641825318182596e-05,0.07822239360676844,0.0012439492169068896,0.09855034769899511,0.14588546416662754,0.14588546416662754,0.0,1.0,1.0,-0.0008174011811126446,0.03744651659530547,0.0
8,5.274365790805419e-05,0.07841657578930208,0.0012470152114416931,0.09854860661685731,0.1458870002082021,0.1458870002082021,0.0,1.0,1.0,-0.0154375145217754,0.03942835821374632,0.0
9,2.5223319637739625e-05,0.07847164001109244,0.0012478830942622443,0.09854799277534972,0.1458907125054342,0.1458907125054342,0.0,1.0,1.0,0.014714319361856885,0.03352696258907285,0.0
10,0.00013678763251134246,0.07905899093105956,0.0012572305971279545,0.09854856074713497,0.14589841398397133,0.14589841398397133,0.0,1.0,1.0,-0.01393017952294041,0.04072760086767972,0.0
11,0.00011264926694736697,0.07954034494081857,0.0012649335951701295,0.09855232356970516,0.1459161774802829,0.1459161774802829,0.0,1.0,1.0,0.001988801392448763,0.040196237070443494,0.0
12,0.00012864321179864577,0.08012229708879157,0.0012742691026427202,0.0985585650879358,0.14591639520308705,0.14591639520308705,0.0,1.0,1.0,-0.014620464807926482,0.03609222523843207,0.0
13,6.26770206480058e-05,0.08034475010332708,0.0012776520710150942,0.09854661473649862,0.1459126370771511,0.1459126370771511,0.0,1.0,1.0,-0.022760604231747795,0.039096212346676776,0.0
14,1.6822894616909577e-05,0.08039443371647646,0.0012783896061702796,0.09854256479569518,0.14591502284402205,0.14591502284402205,0.0,1.0,1.0,-0.014305572393898002,0.04207855663498375,0.0
15,8.916003490149506e-05,0.0807989944110411,0.001284719270192943,0.09853463080420688,0.1459196448668852,0.1459196448668852,0.0,1.0,1.0,-0.006363109393748317,0.03785315405258532,0.0
16,4.3022287296348166e-05,0.08097254410097551,0.0012874565998046185,0.09853293611577066,0.1459192257081553,0.1459192257081553,0.0,1.0,1.0,-0.010453783813053315,0.031922946421002026,0.0
17,0.0001377422131236906,0.0815996492152469,0.0012974631888426253,0.09853564512796782,0.14593182745684583,0.14593182745684583,0.0,1.0,1.0,0.008994372337607673,0.04355566149011626,0.0
18,0.00011036351731404977,0.08210904154002767,0.0013056434442851655,0.09854173871601826,0.14592564191546528,0.14592564191546528,0.0,1.0,1.0,-0.007058168736258327,0.037137417337951346,0.0
19,6.209251520987799e-05,0.08237366753020528,0.0013099110851359274,0.0985462325871652,0.1459268268571473,0.1459268268571473,0.0,1.0,1.0,0.0065903372474967435,0.03795041694238892,0.0
20,0.00015519260825747698,0.08308356215357926,0.0013212817676394521,0.09855234100009433,0.14592683248803562,0.14592683248803562,0.0,1.0,1.0,-0.01262992855968248,0.04140434677030031,0.0
21,4.4222307691272835e-05,0.08325877034325334,0.0013240209996402976,0.09854883438308208,0.14592607326973503,0.14592607326973503,0.0,1.0,1.0,0.0189367008469188,0.037127943009914816,0.0
