iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
0,0.00020626360007895242,0.0406566696477,6.039273784958954e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.005509594688617788,0.013263030062776269,0.005500806548944543,0.0078016877880057595,0.008512524181174893,1.1684225911063615,0.0005495122284790165,0.001282049135499576,0.1032749421828581,0.14171855902252292,0.1417088241030533,7.771276462048531e-05,-0.001975903747445943,-0.11856525384587466,-0.011044914346976891,0.043997026560775684,1.26967147462409e-08,0.00010313180003947621
1,0.00036516121814023,0.04063086329850492,6.09990218114462e-09,1.0000044638206493,1.000008944806894,1.0000044638206493,1.000008944806894,1.0000044638206493,1.000008944806894,0.9995502427228534,1.0005283169263282,1.0002124733496442,1.0003980139674116,1.000424991868514,1.0007961877740712,1.0010569129714308,0.0,0.0,0.0,0.0,0.003837210871516823,0.01871996343126084,0.018759213460635783,0.026050723961020063,0.1256181309044067,1.1679441527672692,0.0003017635161786812,0.001381015177095749,0.10323265380861411,0.14171253901993713,0.14170956171358368,7.810187053550394e-05,-0.0019673670081001645,-0.11810136123832517,-0.01952707664625384,0.04060672636176817,7.495641670314986e-09,0.000182580609070115
2,0.00037240999112494436,0.040604548319857645,9.07506745366562e-09,1.0000028243106678,1.0000056617531312,1.0000028243106678,1.0000056617531312,1.0000028243106678,1.0000056617531312,0.9996822316588869,1.0004890924317997,1.00017153210775,1.000260053348965,1.0003430936491873,1.0005201747516672,1.0009784240750064,0.0,0.0,0.0,0.0,0.0016505448311406295,0.01922721230145804,0.017060426070969956,0.020139880902918295,0.025147742078742027,1.1676046517157401,0.0003670534975981271,0.001511295823638367,0.1032026458716446,0.1417095528888721,0.14170955194365245,9.526314845555766e-05,-0.001957306867507072,-0.11753161375944919,-0.008207932169157765,0.04202022637148842,1.3324236750970423e-08,0.00018620499556247218
3,0.00027801277950940094,0.04058490047049927,7.868271469202377e-09,0.999991237518648,0.9999824933516396,0.999991237518648,0.9999824933516396,0.999991237518648,0.9999824933516396,0.9995450888406726,1.0004719689096475,1.0002044645972155,1.0003363840166528,1.0004089710054318,1.0006728812546124,1.0009441605739466,0.0,0.0,0.0,0.0,-0.0021575341307152373,0.01653353640284497,0.010494602090122327,0.012042435044667926,0.012232318327572525,1.1675110579143637,0.00032220061128502463,0.0012030253418791497,0.10319437327019082,0.14171670319627885,0.14171097528262644,8.870327766887972e-05,-0.0019483366629681877,-0.117002353119597,0.006674307691049555,0.03545276525868113,9.130488283955647e-09,0.00013900638975470047
4,0.00018956161855639543,0.04057151006414849,8.399317936778655e-09,1.0000088806817893,1.0000177825329597,1.0000088806817893,1.0000177825329597,1.0000088806817893,1.0000177825329597,0.9996328636536846,1.000434248396757,1.0002566012863128,1.0003399409197262,1.0005132684487736,1.000679997643388,1.000868685365184,0.0,0.0,0.0,0.0,-0.005882369585269868,0.012448266811837198,0.00857459841490846,0.012848550465728834,0.01402199221927991,1.1673504670340298,0.00027965439148956717,0.0012441953766748855,0.10318017890763072,0.1417241180804442,0.1417135965309927,9.164779286365086e-05,-0.0019431061374011898,-0.11670429999352404,-0.008221536991964342,0.03326856404137037,1.47010908428206e-08,9.478080927819772e-05
5,0.0002196822248644764,0.04055598479583555,1.0207637377076421e-08,0.9999914953234682,0.9999830045397997,0.9999914953234682,0.9999830045397997,0.9999914953234682,0.9999830045397997,0.9995606621289121,1.0003017742590374,1.00017130106102,1.0002482818061802,1.0003426314670696,1.0004966252768062,1.0006036395857782,0.0,0.0,0.0,0.0,-0.0008749020230075409,0.014795836283043071,0.00945488103873484,0.023964227245142716,0.10017318758132221,1.167062599677242,0.00041079052152584623,0.001035237236958107,0.10315473478762234,0.14172676703015033,0.14171622172515588,0.0001010328529592054,-0.0019379685083977067,-0.11642444057889388,0.0028219728742830182,0.039772314190336666,1.7226869442055203e-08,0.0001098411124322382
6,0.00011261432885682734,0.040548030067321085,7.470191718511356e-09,1.000011783632346,1.0000235928618286,1.000011783632346,1.0000235928618286,1.000011783632346,1.0000235928618286,0.9994959334604344,1.0004627964840982,1.0002524513439468,1.0003770864737112,1.0005049664197907,1.0007543152948561,1.000925807148782,0.0,0.0,0.0,0.0,-0.0048102350203597455,0.009459173743289211,0.006457957101967892,0.015612028563605397,0.01993858072517426,1.1668853213259152,0.00017372096724750245,0.0010256566110832246,0.10313906544707475,0.14173354825413642,0.14171968061153833,8.643027084599096e-05,-0.0019356073880448417,-0.11630026124013468,0.00648042268402768,0.04206872886046134,1.0090756534057259e-08,5.630716442841367e-05
7,0.00016031109889383144,0.04053670400454752,5.973314211588384e-09,1.000012805072994,1.0000256258065428,1.000012805072994,1.0000256258065428,1.000012805072994,1.0000256258065428,0.9996986024751323,1.0004300195820046,1.0002482112399198,1.0003852576725363,1.0004964840999764,1.0007706639200495,1.0008602240808502,0.0,0.0,0.0,0.0,-0.003525716767580722,0.012160609366665456,0.008911598589453743,0.010155812707751304,0.01711463041867411,1.1667596633887642,0.00020834576292021932,0.0010825613214482694,0.10312795874964109,0.14173344000341134,0.14172242732828388,7.728721894070444e-05,-0.001931089829372212,-0.11604132147905907,-0.005911519852954216,0.03744470872499042,6.373265241480889e-09,8.015554944691572e-05
8,0.00023636036706015478,0.04051999985278148,6.399072282171867e-09,0.9999971283457533,0.9999942694394905,0.9999971283457533,0.9999942694394905,0.9999971283457533,0.9999942694394905,0.9997217195221046,1.000386002228986,1.0001678997643304,1.000347910169905,1.0003358278106425,1.000695943466498,1.000772153455693,0.0,0.0,0.0,0.0,0.0015073269554517527,0.015299945506750125,0.021592476613899098,0.025409141850617035,0.029222300412894205,1.1664280782804526,0.0003775501915863855,0.0011260240310285716,0.10309865048981263,0.14172998959704924,0.1417239341703597,7.999420155343678e-05,-0.0019257598250127562,-0.1157539321030717,0.015840613415981836,0.037630512508153746,1.449317666065338e-08,0.00011818018353007739
9,0.00027733255353357166,0.0405004053133525,1.2225947110025281e-08,0.9999900656588909,0.9999801543739412,0.9999900656588909,0.9999801543739412,0.9999900656588909,0.9999801543739412,0.9994779073290918,1.0004880458971517,1.0002484180384659,1.0003477585591447,1.000496897815549,1.000695638066066,1.0009763299831012,0.0,0.0,0.0,0.0,-0.0037385921960112773,0.016228231016518567,0.010660005524744231,0.01451269140176138,0.014854284167856195,1.1663629167326577,0.000589504016882889,0.0014118861788724203,0.10309289096827283,0.14171321585056407,0.1417217797878452,0.00011057100483411227,-0.0019165563376104377,-0.11520716311287918,0.01768673568527124,0.04073940017465931,1.874852394260588e-08,0.00013866627676678583
10,0.00017904211491517934,0.04048775058702013,6.791483486373496e-09,1.0000212575463123,1.0000425424973083,1.0000212575463123,1.0000425424973083,1.0000212575463123,1.0000425424973083,0.9995633087910281,1.0005870293586938,1.0003315382607922,1.0004818059981406,1.0006631865083835,1.0009638443569908,1.0011744033208556,0.0,0.0,0.0,0.0,0.00027639791756331884,0.013377806961768657,0.011010407634750731,0.020536488926366104,0.022362343182577953,1.1663300230646256,0.0002901056490939956,0.0009074027190249267,0.10308998355130738,0.141714543502378,0.1417203265700944,8.241045738480945e-05,-0.0019105287042379346,-0.11484807169191667,0.0029665798641560197,0.03592360522069464,8.607473713414156e-09,8.952105745758967e-05
11,0.0002833760632719461,0.040467730806443794,1.1660135550924782e-08,0.9999961685787168,0.9999923575215216,0.9999961685787168,0.9999923575215216,0.9999961685787168,0.9999923575215216,0.9994786804518401,1.0003725619756103,1.0002223408141144,1.0003403733956517,1.0004447310637652,1.0006808627999275,1.0007452627536464,0.0,0.0,0.0,0.0,-0.007397049357064689,0.015121498737925914,0.008895976451981688,0.019543590158772477,0.022125692945301763,1.165992388468124,0.0006257684238190689,0.0015381910776213076,0.1030601405872137,0.14172482308889858,0.14172121560087392,0.0001079821075499306,-0.0019035948793260562,-0.1144643926871666,0.02032743085507569,0.03782579249732811,3.062030999312349e-08,0.00014168803163597306
12,0.00017366340461024568,0.04045546677142664,1.619379229652822e-08,0.9999997014638928,0.9999994309627759,0.9999997014638928,0.9999994309627759,0.9999997014638928,0.9999994309627759,0.9995305660105837,1.000497417999903,1.0002578470414412,1.0004701347448508,1.0005157606212332,1.000940490534229,1.0009950834244727,0.0,0.0,0.0,0.0,0.0006910362531810673,0.013160010391600575,0.02260711536288241,0.025045605542996327,0.02674242891411242,1.16561489954037,0.0005686651939959852,0.0013895050511512083,0.10302677496463399,0.14171442072723386,0.1417198423689306,0.0001272548321146518,-0.0019009009709389398,-0.11433942351122948,-0.019460247099395426,0.0432112974523622,3.790732857426408e-08,8.683170230512284e-05
13,0.00021697367750305387,0.04044013457016722,1.3724262874827882e-08,0.9999813956983713,0.9999628751806353,0.9999813956983713,0.9999628751806353,0.9999813956983713,0.9999628751806353,0.9989591877450374,1.0010547992985965,1.0004942818539284,1.0005794222963744,1.0009888080774876,1.0011591803230937,1.0021107111987533,0.0,0.0,0.0,0.0,-0.0036940498804484746,0.014259301279649451,0.012118140158924226,0.016864461785993917,0.019916524219374076,1.1653939911763935,0.00032997665398426214,0.0011573644937781283,0.10300724923936042,0.14171059769292504,0.14171798137671565,0.00011715059912278674,-0.0018952463521860398,-0.11402090685158246,0.004417854831476038,0.040225303209806614,3.6193793997070974e-08,0.00010848683875152694
