iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
0,0.0019435493192655738,1.0782852234338076,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.008127700183261956,0.04333001048922763,0.058403810254217536,0.14628194423297858,0.2611482957994932,11.620993022289307,0.0,0.002066059028340217,1.02716037127279,0.13051990504203748,0.13051990504203748,0.0,0.0014061766746917038,0.00848375748101451,-0.011144680418687516,0.03963948309941472,0.0,0.0009717746596327869
1,0.0025849611921754966,1.0781417481478632,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0007699525074272614,0.050836683264270925,0.07711859709893824,0.1478631921318511,0.1943854875584302,11.620189153865024,0.0,0.0022571364237704236,1.027089318671041,0.13051990504203748,0.13051990504203748,0.0,0.0014049344251078726,0.008476849105893712,0.021146933368946953,0.04557859222281398,0.0,0.0012924805960877483
2,0.001489336244489836,1.0780144197041888,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0033564026473475506,0.03844568643890644,0.05441176616246983,0.09350554483661429,0.10442189753159917,11.619526718455937,0.0,0.002152891565709422,1.027030767099808,0.13051990504203748,0.13051990504203748,0.0,0.001408462667683491,0.008498621685940264,0.00483711855105213,0.0397334490425724,0.0,0.000744668122244918
3,0.0012267899272262249,1.077957263478727,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.003973315697681323,0.03479946392680187,0.04485143402006156,0.10908809567776423,0.11802819622214078,11.619238707181436,0.0,0.0016284315061959207,1.0270053102591508,0.13051990504203748,0.13051990504203748,0.0,0.0014108961458515826,0.008513516243662861,-0.018198730574494455,0.03912623553287087,0.0,0.0006133949636131124
4,0.0023881510281489942,1.077824310824321,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.001037283179585267,0.04885770227665586,0.06376174876971068,0.13642077273410014,0.20602248290251315,11.618601553388595,0.0,0.002366099593510274,1.0269489932882037,0.13051990504203748,0.13051990504203748,0.0,0.001419536230634965,0.008566121282283186,-0.04147394954835641,0.04045474577370033,0.0,0.0011940755140744971
5,0.0022679188109739467,1.0776521212169237,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.004045629370010765,0.047450518374138474,0.06508935533648157,0.18821339656687586,0.25652871424472,11.617661755738512,0.0,0.002255967655711355,1.0268659261267892,0.13051990504203748,0.13051990504203748,0.0,0.001420328746620108,0.008571597014448923,-0.02032498197890637,0.03680346657746839,0.0,0.0011339594054869733
6,0.002304118644746085,1.0775162066609676,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00037686231003685177,0.047999756452979624,0.07050244078299545,0.11430416963756482,0.14572789983845283,11.617094848620258,0.0,0.002855279565177589,1.0268158181433367,0.13051990504203748,0.13051990504203748,0.0,0.0014368330991686475,0.00867162292070509,0.011838264865098695,0.04346249268679751,0.0,0.0011520593223730425
7,0.002617057790321383,1.0774126863941111,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.00421367010274841,0.050983357819847315,0.058919686761256695,0.0756825489011771,0.24885382778681314,11.616563165617947,0.0,0.0021369319623194905,1.0267688235612897,0.13051990504203748,0.13051990504203748,0.0,0.0014403395566295746,0.008693183072896894,-0.011592889986453006,0.04488240402360141,0.0,0.0013085288951606914
8,0.0041813277687132566,1.0772203776616882,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.001856214190889018,0.0646365394926956,0.06676629923323919,0.17721160344588263,0.3012540071628931,11.615581361582297,0.0,0.002418471237076118,1.026682043524864,0.13051990504203748,0.13051990504203748,0.0,0.0014473946523190298,0.008736502558158703,-0.0032416792083622085,0.039943928664759584,0.0,0.0020906638843566283
9,0.005784381823100598,1.07696233599839,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-3.558444901765878e-05,0.07605511525760504,0.10779966916350188,0.2522943343876878,0.3724525033806576,11.614346362746078,0.0,0.0038784303872704488,1.026572884018383,0.13051990504203748,0.13051990504203748,0.0,0.001464349336683119,0.008839781234630254,0.01709732421395005,0.034983328665925434,0.0,0.002892190911550299
