iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
0,4.05853029241661e-05,0.03629731138006677,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.002653962514531462,0.0057915270780363225,0.011234957064809304,0.014136867359969314,0.02874105658168749,1.1619023552379026,0.0,0.0025308450208391415,0.10269862930816773,0.13051990504203748,0.13051990504203748,0.0,0.00014442277582255025,0.008714804555938614,-0.011144680418687516,0.03963948309941472,0.0,2.029265146208305e-05
1,8.66289162820269e-05,0.036265121836076324,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.001535776790329181,0.00917988594331722,0.00790723459671089,0.013219765696952223,0.017422299886023965,1.1615134398964087,0.0,0.0030484923065976508,0.10266425372375798,0.13051990504203748,0.13051990504203748,0.0,0.00015698781325762913,0.009476179890769204,0.021146933368946953,0.04557859222281398,0.0,4.331445814101345e-05
2,0.00010292732283978911,0.036223455513705996,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0005830584004742628,0.010128542133072533,0.0072554756953169125,0.01102448596176852,0.015464047157799891,1.1609319032618686,0.0,0.0029653080493308856,0.10261285266153403,0.13051990504203748,0.13051990504203748,0.0,0.00017254524378355852,0.010420482827872479,0.00483711855105213,0.0397334490425724,0.0,5.1463661419894554e-05
3,9.883223301306673e-05,0.03619380389255201,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.003125629235032041,0.009437302310415818,0.0067829945641678414,0.01058385880754734,0.013359054563128983,1.1610424735349703,0.0,0.0037147578167451,0.10262262578527251,0.13051990504203748,0.13051990504203748,0.0,0.00018837395022374618,0.011375338617837457,-0.018198730574494455,0.03912623553287087,0.0,4.9416116506533366e-05
4,0.00013610191167224482,0.036147829488999306,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0027261769838946488,0.011343274250617761,0.00611300576665786,0.011248612707166546,0.024933319134786167,1.160475452554528,0.0,0.003691834372959947,0.10257250773772929,0.13051990504203748,0.13051990504203748,0.0,0.0002062191622713293,0.012459042172709642,-0.04147394954835641,0.04045474577370033,0.0,6.805095583612241e-05
5,4.599099395306904e-05,0.03612715006796054,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0013016722677924026,0.006655572346562632,0.00985835593576985,0.01463354474762071,0.025971705527370877,1.159799141227496,0.0,0.0027678813944120202,0.10251272969703708,0.13051990504203748,0.13051990504203748,0.0,0.00021042907595633957,0.012720804000525528,-0.02032498197890637,0.03680346657746839,0.0,2.299549697653452e-05
6,0.0003912015345803351,0.035995535616892796,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.002904318945177703,0.019564418367153596,0.010313039694538704,0.01197652688312365,0.01611973292812543,1.159662519425413,0.0,0.008787385234353736,0.10250065392169824,0.13051990504203748,0.13051990504203748,0.0,0.0002749984537091879,0.016626093819054957,0.011838264865098695,0.04346249268679751,0.0,0.00019560076729016756
7,0.00027061043548127383,0.03590830375943439,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0014700850276364635,0.016384422037191086,0.009863354650929865,0.01935000735972913,0.05625674277528964,1.1600102623844608,0.0,0.006020321964463907,0.10253139034725481,0.13051990504203748,0.13051990504203748,0.0,0.00032176535852108403,0.019447735998725582,-0.011592889986453006,0.04488240402360141,0.0,0.00013530521774063692
8,0.0002442179828475615,0.035826981602338104,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0038123093333231038,0.015155338346424966,0.008059722302439749,0.0168073344323459,0.027706607233044554,1.159589215091022,0.0,0.005781120162750239,0.10249417467270597,0.13051990504203748,0.13051990504203748,0.0,0.0003586113547182409,0.02168260533655098,-0.0032416792083622085,0.039943928664759584,0.0,0.00012210899142378075
9,0.0004168267829150181,0.035689633422089986,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.001943032148718289,0.020323666228908244,0.011357381157210729,0.0403091650960479,0.06867035859913617,1.1590741792245163,0.0,0.008435586900318207,0.1024486515034859,0.13051990504203748,0.13051990504203748,0.0,0.0004226206213640742,0.025564131859814074,0.01709732421395005,0.034983328665925434,0.0,0.00020841339145750905
