iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
0,0.00045239495318836337,0.036278827847521386,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0010042802755104866,0.021245855462103284,0.010366099634781878,0.01646363683988718,0.029636284783782742,1.161963893311027,0.0,0.0018869308799263705,0.10270406855676864,0.13051990504203748,0.13051990504203748,0.0,0.0001542231602637389,0.009305689576709384,-0.012376926856677775,0.040337295428991095,0.0,0.00022619747659418168
1,0.00020209316547479343,0.0362635225874854,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.004808183892106423,0.01337813638495593,0.0018481708965325957,0.006120199179186245,0.006787664699477451,1.1619025782812082,0.0,0.0011758651563432516,0.10269864902259696,0.13051990504203748,0.13051990504203748,0.0,0.00016131919675829178,0.009734371832885657,0.023817874619325025,0.04566107078580964,0.0,0.00010104658273739672
2,8.91727330843744e-05,0.03625667965076418,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0007397917751025608,0.00941410862556116,0.0055550129069509065,0.008449942424474983,0.012097694335523736,1.1618359396759355,0.0,0.0004879450906127723,0.10269275894638731,0.13051990504203748,0.13051990504203748,0.0,0.00016413577959602547,0.009904899003326806,0.00463185822194088,0.03989369630917343,0.0,4.45863665421872e-05
3,0.000161303650283878,0.03624595150434952,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0018665889052556076,0.012562622980200222,0.004264009016992438,0.006834759743453764,0.012532630480259486,1.1618204505045238,0.0,0.0008061533109760162,0.10269138988411979,0.13051990504203748,0.13051990504203748,0.0,0.00016935926095910394,0.010220250229042709,-0.018286989342254763,0.03943757830627867,0.0,8.0651825141939e-05
4,0.00018114525261313388,0.03623312826645516,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0036629375436870912,0.012950989968499764,0.00775564786193664,0.012866051002665546,0.018200345005812007,1.1617321810857681,0.0,0.001119900045699572,0.1026835878960481,0.13051990504203748,0.13051990504203748,0.0,0.00017496971334285557,0.010559624046123315,-0.04168867841220905,0.040590195680249685,0.0,9.057262630656694e-05
5,0.00011993156202936244,0.03622443853969484,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0015184217399453097,0.010845550122009667,0.0123884083425169,0.01597798758471014,0.028610571300302718,1.161607423254005,0.0,0.0007882136547030361,0.10267256075744237,0.13051990504203748,0.13051990504203748,0.0,0.00017818233136564048,0.010754664187841104,-0.01956804210409706,0.036540144347778275,0.0,5.996578101468122e-05
6,0.00017378949001850547,0.03621067771263339,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0038509273854650037,0.012607927993543632,0.011292966458337031,0.013900590786699574,0.017352495524204332,1.161486374580809,0.0,0.0011688896095421628,0.10266186146523355,0.13051990504203748,0.13051990504203748,0.0,0.00018396427840442148,0.011104806047544812,0.01287934837998646,0.043545830810717244,0.0,8.689474500925273e-05
7,0.0001738760938291864,0.03619812923077273,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0009220663456758607,0.013153930495610746,0.007460323755329023,0.009024596789872637,0.011783879018540862,1.161397479661082,0.0,0.0008405968321603565,0.10265400419016456,0.13051990504203748,0.13051990504203748,0.0,0.000189431907718512,0.011435728856668414,-0.007109888334045574,0.04464082101451593,0.0,8.69380469145932e-05
8,0.00019687447178675058,0.03618370360662805,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.003327131444517802,0.013631018602351455,0.006177348398785132,0.009028287026872236,0.011433899938285376,1.1613931801851816,0.0,0.0011094714654575988,0.10265362416659396,0.13051990504203748,0.13051990504203748,0.0,0.0001966057089218486,0.011868844743712205,-0.002699532247848669,0.041138212565384066,0.0,9.843723589337529e-05
9,0.0004240379109748073,0.036154952953083457,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0050056800829325395,0.019974510704448802,0.006503492537923536,0.012533205377822211,0.013271790321399088,1.1612901202101082,0.0,0.001958443795776957,0.10264451486568855,0.13051990504203748,0.13051990504203748,0.0,0.00021004597443226801,0.012681342355531323,0.011884203038653465,0.03477934916111679,0.0,0.00021201895548740365
