iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
0,0.00019023767094290508,0.041917584511400166,0.15043249416466223,0.912466572604847,1.7567662904454429,0.912466572604847,1.7567662904454429,0.912466572604847,1.7567662904454429,0.0003461216115649452,3.746914949066159,2.920285995255795,3.2166450038159864,8.528142491362873,10.346881291898471,14.039371635535456,0.0,0.0,0.0,0.0,-0.0048076685599868696,0.012927644563501072,0.006849598755063161,0.015414742926686861,0.02095863689287568,1.2091076046210125,0.0003458230104658282,0.0008377542036173338,0.10687102330146761,0.13751253371653455,0.39154912520063356,0.38785628029550095,-0.0022285102099809497,-0.1292234320792913,0.04918016948832518,0.1286986387218948,0.4638157073808121,9.511883547145254e-05
1,0.000236595442778299,0.04189910684422476,0.03760809707386714,1.0202940933512636,1.8458879973268776,1.0202940933512636,1.8458879973268776,1.0202940933512636,1.8458879973268776,0.00015874848423356157,3.1735896620930513,2.7942264363843985,3.0087067866186987,7.808194739032992,9.052995718591346,10.071671343343887,0.0,0.0,0.0,0.0,-0.00563799517565967,0.014311130394819876,0.011268420070757143,0.016042529430594234,0.01962201624449612,1.2090561998582754,0.000334507992603185,0.0015109891744181823,0.10686647971942802,0.13751592090575343,0.2202330036577222,0.19392807190777497,-0.0022197569433332043,-0.12872133361814622,0.03618343667478207,0.11777136886317469,0.4494736082495567,0.0001182977213891495
2,0.0004520337372586291,0.041865884489828635,0.009402783353036409,0.8473005937330738,1.480794691694361,0.8473005937330738,1.480794691694361,0.8473005937330738,1.480794691694361,4.208363264334308e-06,3.0413157859533926,2.6381296496482975,2.983722251613559,6.9604527468143385,8.902728646103505,9.249601709889301,0.0,0.0,0.0,0.0,-0.0037590437578737183,0.020926139808503132,0.010837252229553094,0.07287628619976094,0.09545465602634698,1.2090559172909885,0.0005675817769825641,0.0020884672189273312,0.10686645474377243,0.13749092229994447,0.15588579619214643,0.09696795013320848,-0.0022031484351952217,-0.12775825383353728,0.035270330886756816,0.14652681769667586,0.4465437135718286,0.00022601686862931455
3,0.00023858397959124027,0.041857622142046635,0.0023501429427447832,0.9302707170928464,1.6205879571450004,0.9302707170928464,1.6205879571450004,0.9302707170928464,1.6205879571450004,1.7813155788775106e-05,3.0397515124366925,2.6032611791432942,2.967423616642112,6.776998244456994,8.806517255225899,9.24008925736116,0.0,0.0,0.0,0.0,-0.004306054356234717,0.014833808528910985,0.009623800193089829,0.01677425644707816,0.028238863537974185,1.2089204220138587,0.00041335583819696286,0.0006247824571112348,0.10685447854011278,0.13748686360048512,0.13874929410931836,0.04847827289358381,-0.0022002970440158924,-0.12760720522422528,0.004985849337158291,0.12870324461957452,0.44598722053588885,0.00011929198979562013
4,0.000299261400871973,0.041852517204905,0.0005876212325908672,1.057187366449674,1.9680819945233883,1.057187366449674,1.9680819945233883,1.057187366449674,1.9680819945233883,1.0424594946267165e-05,3.059952890634655,2.8213288263776244,3.04739407476386,7.9599048734010855,9.286700204082281,9.36331169290338,0.0,0.0,0.0,0.0,-0.005660930523905457,0.016346720358392644,0.005114578052158031,0.015487462657674313,0.026322376777318482,1.2088429545451165,0.00020002132315896306,0.0006229764671538791,0.10684763131855415,0.13748447864110888,0.13597445719301457,0.0242408999954801,-0.0021984762082919514,-0.1275097758573662,0.01743754151512568,0.11196282788748158,0.4458201708321862,0.0001496307004359865
5,0.000245354723982529,0.04183849768854922,0.00014701882629701796,0.9981190296107859,1.8548090993624626,0.9981190296107859,1.8548090993624626,0.9981190296107859,1.8548090993624626,0.0008950281242070877,3.0608003450319425,2.779452559126684,3.0126378804072815,7.726131741539095,9.076000427566486,9.368498752147659,0.0,0.0,0.0,0.0,-0.006399678636067565,0.014296812138990615,0.005869755629892586,0.013302894928585489,0.01573199949580163,1.2086879053906778,0.0005292086607256478,0.001039994773991106,0.10683392677998906,0.1374658598270683,0.13618347545560752,0.012125132011529522,-0.0021929306536908636,-0.12720445389689794,0.0022031005479502333,0.1188540193697738,0.44577477718373826,0.0001226773619912645
6,0.0001814900986955248,0.04183183168870482,3.681148554973503e-05,1.0345740903772065,1.863128614410835,1.0345740903772065,1.863128614410835,1.0345740903772065,1.863128614410835,0.0006350344609539223,3.016801694280343,2.7020519048823495,2.8947039734842264,7.301084660303015,8.380656628845946,9.101092462612748,0.0,0.0,0.0,0.0,-0.0043116371015962125,0.012763223895225837,0.00597845132707595,0.008512207749209697,0.01242578421162836,1.2085932122242167,0.00023888864580786094,0.0005511521019399655,0.10682555700747197,0.13746711763413177,0.13669221712794186,0.006067246949789915,-0.0021904917944063746,-0.12707293933203773,-0.02966272356383719,0.10599992844721477,0.44576526148569634,9.07450493477624e-05
7,0.00021102612356566457,0.04181300115619216,9.228073632763578e-06,1.0221203405372659,1.9261083634867506,1.0221203405372659,1.9261083634867506,1.0221203405372659,1.9261083634867506,4.396086296749274e-05,2.9332103265048666,2.8355422540606736,2.9145875980417193,8.04034785311865,8.495181571677435,8.603722819514786,0.0,0.0,0.0,0.0,-0.006094085743151487,0.013186669121532638,0.006104337592864099,0.009743752757755988,0.018091690049957216,1.208631912411277,0.00041040143451655665,0.0015805613274235404,0.1068289776530599,0.13745477866703054,0.13704036313161394,0.0030377744538993634,-0.0021807111099293786,-0.12650149993061893,-0.02635282551687488,0.11534809704903554,0.4457627977230929,0.00010551306178283229
8,0.00032873247671398793,0.041799542017382424,2.3149182751366997e-06,1.0156325764349057,1.8751604242583086,1.0156325764349057,1.8751604242583086,1.0156325764349057,1.8751604242583086,0.00030019495695128237,3.043135054568706,2.643329446326266,2.97872694457014,6.987356826064751,8.872825002256931,9.26067096034488,0.0,0.0,0.0,0.0,-0.0047790098435938335,0.017489812509824718,0.01060692298785393,0.018662330920289724,0.02486780123967801,1.2085465550846088,0.00046915942541088005,0.0010589255420527688,0.10682143305999603,0.137460794626308,0.1372423064328022,0.0015214855487768193,-0.002174787493227889,-0.12616678542926996,-0.009440160464902477,0.11460172535922741,0.44576259267923296,0.00016436623835699396
9,0.0001897924064476164,0.041794265585067956,5.83349512803919e-07,0.9309412115110247,1.6445951151025093,0.9309412115110247,1.6445951151025093,0.9309412115110247,1.6445951151025093,0.002483342302380277,3.058864688085656,2.6101467996954986,3.0460296694765496,6.812907416331507,9.278309742824955,9.356653180017357,0.0,0.0,0.0,0.0,-0.006360957044749817,0.012220091322181846,0.005707550632441221,0.01444085817786337,0.02251027079726777,1.208516235403269,0.00039590387073095226,0.000593344939082188,0.10681875315346118,0.1374710896252945,0.13735462216237088,0.0007637732077023381,-0.0021724355449362267,-0.12603350283975084,0.012957287325566662,0.12186437353435235,0.44576223543492893,9.48962032238082e-05
10,0.0001645383006053959,0.041787980113403275,1.4360758274111554e-07,0.9254592491384137,1.7193650199461956,0.9254592491384137,1.7193650199461956,0.9254592491384137,1.7193650199461956,1.100098286570166e-06,3.0262910373263336,2.724393302890355,2.9744265473744615,7.422381173063801,8.848490604039606,9.158437442601697,0.0,0.0,0.0,0.0,-0.004054320415096042,0.012169666658422956,0.009686175957604513,0.014502057238431783,0.027273513063155445,1.2083828973434096,0.00022609487041120593,0.0006166092345355732,0.10680696762267158,0.1374736556890363,0.1374136292780121,0.00037895591134209206,-0.0021705516553587115,-0.12593810429312421,-0.034316255189120654,0.13718446211450566,0.4457622112657804,8.226915030269795e-05
11,0.00015531509475048927,0.04178452473345271,3.585258607288306e-08,0.8885999982046162,1.5930544203652466,0.8885999982046162,1.5930544203652466,0.8885999982046162,1.5930544203652466,3.2811782029013596e-05,2.996278029043698,2.5685511683748166,2.7421560692831677,6.59748014176819,7.521479375120676,8.977682027329987,0.0,0.0,0.0,0.0,-0.0035040112253127936,0.011959807694247062,0.0073944356059142445,0.015040342661586784,0.02296786017701512,1.208287011691921,0.00012127673920731023,0.00045369904694334646,0.10679849244837332,0.13747022434815068,0.13744179929794592,0.00018934779130711573,-0.002169729137136017,-0.125900371006997,-0.053052796638723754,0.14144892485285354,0.4457621922788229,7.765754737524464e-05
12,0.0004887829804320799,0.041753627259959035,1.016973001205674e-08,0.9437373543425909,1.7181573871948808,0.9437373543425909,1.7181573871948808,0.9437373543425909,1.7181573871948808,0.00045047256831021117,3.0121044582535195,2.7005447096473394,2.9556343583468716,7.2929622452111635,8.736271609085195,9.072773267430728,0.0,0.0,0.0,0.0,-0.006261395178142522,0.021203252365031493,0.008537088922398399,0.027910157834754284,0.09367081203902514,1.2080111135450888,0.00037260214556405797,0.0015935416278656273,0.10677410626705558,0.13747842090083232,0.1374600743273901,0.00010084507926545915,-0.002156884510447564,-0.12518363487626433,-0.0038765044103572146,0.12617392716157821,0.445762189616021,0.00024439149021603996
13,0.00010026867965495307,0.041750524923690996,3.4962346221412947e-09,1.0356512912732945,1.973875282632908,1.0356512912732945,1.973875282632908,1.0356512912732945,1.973875282632908,0.00012584520081616534,3.033277893014367,2.649561406550157,3.0012286353907265,7.020192147752415,9.007439490701122,9.200774776249677,0.0,0.0,0.0,0.0,-0.0053374219475492,0.008472343631414697,0.007621868892418157,0.01020369676170798,0.010574687834540613,1.2079565080289536,0.00028574110240560277,0.0007494898914351161,0.1067692797757119,0.13747668256962656,0.13746836598281845,5.912896601616922e-05,-0.002155848674965664,-0.1251291721097764,-0.0019626231969853336,0.12015125679702132,0.4457621893396888,5.0134339827476534e-05
14,0.0003892368997108049,0.04172607081235606,2.7711706964675846e-09,1.0093801313891413,1.8549552375870246,1.0093801313891413,1.8549552375870246,1.0093801313891413,1.8549552375870246,0.0001293934151312363,2.9974228060380828,2.7333496145827105,2.9907765647840514,7.471221232469235,8.944755407622711,8.984543478157214,0.0,0.0,0.0,0.0,-0.005053636105767634,0.019070858969152036,0.007451942740238657,0.01217776446706167,0.013909914977438837,1.208000309522445,0.0005074652879085516,0.0018712906112058505,0.10677315131734615,0.13748288948085927,0.137475617844858,5.2641910076170145e-05,-0.002143208250091868,-0.12439098954851063,0.031001853984397303,0.12486795678559301,0.44576218989882066,0.00019461844985540244
