iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
0,3.55931740337229e-05,0.03584309730926562,0.4669179750459413,0.8516349866084437,1.730701067414644,0.8516349866084437,1.730701067414644,0.8516349866084437,1.730701067414644,1.0417657062468278e-06,3.978859740200685,2.7682507051758196,3.583087483574231,7.668769611646417,12.841844208392558,15.831324832189864,0.0,0.0,0.0,0.0,-0.000943948751396252,0.005890851788023559,0.007941594014127527,0.012917312947663356,0.020022574562633247,1.1240998056862348,0.0001516970162528912,0.0003106088432891391,0.09935732441640212,0.14465947879639265,0.7071067811863745,0.6833139652062888,3.396453792799158e-05,0.0021184217842507022,-0.005516791984862471,0.14702734406741735,0.5006347786510941,1.779658701686145e-05
1,0.00014731844672811236,0.03582277580366006,0.3781842120349447,1.0858386505117728,2.0604470066447114,1.0858386505117728,2.0604470066447114,1.0858386505117728,2.0604470066447114,7.127690345973774e-05,3.538114926066789,2.8131506236764374,3.0764563053531684,7.913888298287073,9.469444165658384,12.518257230056598,0.0,0.0,0.0,0.0,-0.003652011152429252,0.011575027484660445,0.008257299310159213,0.013423411190081407,0.013745341478553198,1.1240684957049034,0.0004894513197323102,0.0016741486375409687,0.09935455697888734,0.1446349348896008,0.6403682209752051,0.6149668381587292,4.385032937316796e-05,0.002735090365653007,-0.015884853739011592,0.1141985628650734,0.4773504012886914,7.365922336405618e-05
2,0.00037204333548374215,0.035800462569622236,0.30633178365435665,1.0470044417605986,2.0143598060728607,1.0470044417605986,2.0143598060728607,1.0470044417605986,2.0143598060728607,8.79534526502858e-10,3.1468491029780368,2.882376108701517,3.1041320996257205,8.30827132344319,9.635693321345052,9.902659276913674,0.0,0.0,0.0,0.0,-0.0075634802300446075,0.017743649632853624,0.0063131692889244985,0.014975859792497118,0.01791614132430456,1.1240845557875117,0.0005248543666491024,0.0017611899358128407,0.09935597650305218,0.14464410002769124,0.5806200472841531,0.5534724777749627,5.5147983594123215e-05,0.003439713355760888,-0.03233699890317411,0.12921583366062445,0.48631473962024274,0.00018602166774187107
3,0.0002540788905024453,0.03576777287917572,0.24811923387179532,1.060699261270383,2.1428662097421904,1.060699261270383,2.1428662097421904,1.060699261270383,2.1428662097421904,3.49186049225198e-05,3.13521210796812,2.901983723364629,3.109521477713523,8.421675782260458,9.669258104255682,9.829554961949901,0.0,0.0,0.0,0.0,-0.004020713001960229,0.015424420814355178,0.008646205654436316,0.012080270393294186,0.021589627280627258,1.124287394369031,0.00039933589135156966,0.002748683940127291,0.099373905070112,0.14464651201748976,0.5271917421183461,0.4981156832220757,7.327429982166719e-05,0.004569471066448795,0.0017405948604686614,0.12325111732395998,0.4733013595191951,0.00012703944525122265
4,0.0001690513940153809,0.0357409760594964,0.20097460902384623,1.0007217981517502,1.833523703827059,1.0007217981517502,1.833523703827059,1.0007217981517502,1.833523703827059,2.928863435796383e-05,3.271732800187419,2.5586888877675107,3.1612213495948893,6.547113378486467,10.00345270134528,10.70423551582221,0.0,0.0,0.0,0.0,-0.00192715262892061,0.012858362133655488,0.007477361243761378,0.01347676299258684,0.11496063322568165,1.1239256552666927,0.0002735149705796468,0.0018571390767663624,0.09934193154857654,0.14463494508446978,0.47947829385927065,0.44830191726541413,8.349588712054407e-05,0.005208577067446165,-0.015576195412212973,0.12029927507864424,0.47533050961964174,8.452569700769045e-05
5,0.0003131751504420186,0.035716991207018614,0.16278866424743288,0.960484171796683,1.6815216836474969,0.960484171796683,1.6815216836474969,0.960484171796683,1.6815216836474969,8.966222016937588e-05,3.0782907140659623,2.5338725069893497,2.738122115092239,6.420688440667283,7.497441126596799,9.475873720304731,0.0,0.0,0.0,0.0,-0.0041219851408129315,0.017210008394563207,0.00855996461529449,0.01263278729626317,0.024378404254484044,1.1239454939906621,0.0004295019795845494,0.0018776505416985064,0.09934368506060764,0.14462615286255665,0.43693653303693203,0.40347077248226154,9.566251216900582e-05,0.005967440905319452,0.010539215937035155,0.1242063898000659,0.4583532189891237,0.0001565875752210093
6,0.0002567404667790318,0.03568811041978555,0.13186445363992338,0.8826108260682922,1.4995883144631401,0.8826108260682922,1.4995883144631401,0.8826108260682922,1.4995883144631401,0.000693684807036383,2.921392104600552,2.68970470674489,2.8925441928015254,7.234524845622837,8.366813061505646,8.534531828822443,0.0,0.0,0.0,0.0,-0.003913663366238678,0.015537815349488265,0.009945512145144475,0.015533553540620353,0.03546784917766946,1.1240152411545425,0.000478718019436972,0.0022853038081742313,0.09934984989717618,0.14464440395464095,0.39907740466186303,0.36313145504062766,0.00011071536237065686,0.006906011251852094,0.01326800715609841,0.12691568745630444,0.45974772138822495,0.0001283702333895159
7,0.00012890381299164404,0.03568633124205047,0.10680857958430699,1.0165940747066478,2.0089969643845706,1.0165940747066478,2.0089969643845706,1.0165940747066478,2.0089969643845706,1.0877035510774974e-06,2.9902528018356107,2.8066647374173925,2.9842390947207176,7.877578796727711,8.90580960426471,8.94161181888572,0.0,0.0,0.0,0.0,-0.001356801094849798,0.011272218228044488,0.015048076628675765,0.01960232074159779,0.025007049209111728,1.1240596454693252,0.0003019158393600166,0.0006375172682978288,0.09935377472118828,0.14464350970863088,0.3654600552136372,0.32681581905456625,0.00011199488961679302,0.00698554742322561,-0.027686758618251553,0.13346549469028735,0.46109755124227997,6.445190649582202e-05
8,0.0002416512147991338,0.03565236561989035,0.0865092702049978,0.9540113313432997,1.7836349734860064,0.9540113313432997,1.7836349734860064,0.9540113313432997,1.7836349734860064,0.0004350605121992386,3.241739351809184,2.779602909470212,2.986929913640894,7.72650093591423,8.92286523895364,10.508874025068229,0.0,0.0,0.0,0.0,-0.0023958997846537187,0.015359390581042923,0.009895776598192553,0.020262773385414806,0.02559221929255009,1.1240018796668856,0.0005527389108306915,0.0019527237962669436,0.09934866889736006,0.14465126875481915,0.3356861697812833,0.29412458279613046,0.00012847043086117605,0.008013601444280745,0.015732205609196574,0.12029088605886315,0.4590345861315781,0.0001208256073995669
9,0.0002090109228185019,0.03564696575646791,0.07006930817055759,0.955717467944408,1.697996275413515,0.955717467944408,1.697996275413515,0.955717467944408,1.697996275413515,2.0919659925661203e-05,2.9783523245630947,2.5179884840974758,2.8703511570796536,6.340305550059887,8.23939949122788,8.87058256923039,0.0,0.0,0.0,0.0,-0.003307244926751427,0.014073842894283666,0.00874551090333076,0.012413325747678226,0.016414872857047718,1.123961112735158,0.0002911409782150092,0.000638660416099444,0.09934506557562599,0.14465136141886287,0.30939231902974135,0.26470607883189534,0.00013081238384647165,0.008159981428824212,0.022329004516973908,0.13289809963554974,0.45613774104037846,0.00010450546140925095
