iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,w_norm_contract,theta_pi_norm,theta_mu_norm,tracking_gap_contract,w_dot_wr_over_n,cos_w_wr,action_mean,action_var,dist_action_kl,td_loss_est
0,0.0002871205532723405,0.034748502195704876,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0013379681579339109,0.01689172562175622,0.01711074284364626,0.04236606668698845,0.05148351832378388,1.16299033999313,0.0,0.0009389191178747761,0.10279479448294883,0.15117697294144397,0.15117697294144397,0.0,0.0009287080235111168,0.05598796547179811,0.015994819532651493,0.03250507732361374,0.0,0.00014356027663617026
1,5.1398814019859004e-05,0.03474624986129146,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0014691442323922959,0.007017152502567365,0.015070058372042106,0.01809677363687899,0.019067429767760435,1.1629065074715326,0.0,0.0004570257778646995,0.10278738466488564,0.15117697294144397,0.15117697294144397,0.0,0.0009290725274455647,0.056013977595094896,-0.04905992331285197,0.04634711972432189,0.0,2.5699407009929502e-05
2,6.24546204614983e-05,0.03474473847014239,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.004155981692776967,0.00672178820187017,0.0061320931474186735,0.007908136007100443,0.008554032335659595,1.1629263157115226,0.0,0.0008897557296754485,0.10278913548248818,0.15117697294144397,0.15117697294144397,0.0,0.0009300081865151767,0.05606943362417315,0.029938594790250943,0.03995458885040025,0.0,3.122731023074915e-05
3,0.0005377749474614958,0.03472543148068817,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.003117885732735584,0.022979419836434076,0.013445927331154859,0.017906315333994095,0.018882958430873464,1.1628541831174,0.0,0.001215676138435165,0.1027827598016821,0.15117697294144397,0.15117697294144397,0.0,0.0009390063508487664,0.05661543727335986,-0.006995239238740888,0.038702763527945355,0.0,0.0002688874737307479
4,5.0665400046404366e-05,0.03472430946497136,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0020719074565582994,0.006809742986182554,0.007285885321911911,0.008525687234651348,0.008949753799615871,1.16284023918754,0.0,0.0004515899703118517,0.10278152732076205,0.15117697294144397,0.15117697294144397,0.0,0.0009394406816763115,0.056642303553288545,0.0018487339201670994,0.038006388000934054,0.0,2.5332700023202183e-05
5,6.610429463806056e-05,0.03472160697967265,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.004516450676201793,0.006760618901217325,0.0045196635478336085,0.007574483526537929,0.008270419506589851,1.1627517513297432,0.0,0.0007693539526332007,0.10277370602522444,0.15117697294144397,0.15117697294144397,0.0,0.0009399880702110153,0.05667962071392715,0.0029905245596586593,0.0458886134399625,0.0,3.305214731903028e-05
6,0.00042716511288872806,0.03470560706734696,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.008576006210507867,0.018804712982815195,0.007321224018034591,0.012548659707896323,0.013351436128510995,1.162793936935335,0.0,0.001272642430604518,0.10277743474119726,0.15117697294144397,0.15117697294144397,0.0,0.0009483712472847618,0.05718303683928626,-0.02232486007821819,0.0537724703200286,0.0,0.00021358255644436403
7,7.774589889058941e-05,0.03470150613864972,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.00025367128524224103,0.00881371373313389,0.009308051938245857,0.015674697121564447,0.018096011033727308,1.1626311204104272,0.0,0.0006159272610875941,0.1027630436575908,0.15117697294144397,0.15117697294144397,0.0,0.0009489427365288128,0.05722550820121427,0.007140207072005873,0.041183015144453536,0.0,3.8872949445294706e-05
8,6.044553394727972e-05,0.034698623108970525,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0022891989290565575,0.007430013607691848,0.008615814203905597,0.008882206480180916,0.008935399158612255,1.1625179929978622,0.0,0.0007001666821089053,0.10275304451252046,0.15117697294144397,0.15117697294144397,0.0,0.0009493567587784545,0.05725604678303331,-0.01923002733554844,0.03942644648379915,0.0,3.022276697363986e-05
9,8.582174433209042e-05,0.03469786919505386,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.002645591487068969,0.00887820871660712,0.010855973237372533,0.02745981004857706,0.03356752236565343,1.1625347242039985,0.0,0.00040957724048622745,0.10275452335618501,0.15117697294144397,0.15117697294144397,0.0,0.0009498856725191695,0.057287121272097806,0.002580702523976422,0.039661754139604544,0.0,4.291087216604521e-05
