iter,td_loss_est,cos_w_wr,w_dot_wr_over_n,w_norm,theta_pi_norm,theta_mu_norm,tracking_gap,mean_rho2,p95_rho2,action_mean,action_var,dist_action_kl
0,0.00012361064992749398,0.00894810969304336,0.00014830726064217438,0.1027111814730456,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.014098509170423,0.04016819355092592,0.0
1,3.206703739748534e-05,0.009073122752425796,0.0001503743735474447,0.10270785411975009,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.021707352433485476,0.04572825124742533,0.0
2,4.633545692233703e-05,0.009245973058745601,0.00015322857640345626,0.10270078286498169,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.0046030385385927505,0.039872600179688494,0.0
3,4.87721702469575e-05,0.009417379945743373,0.00015606176333103974,0.10269588178731986,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.019723961281008347,0.038989684655910226,0.0
4,6.102243125891005e-05,0.009624606547461364,0.0001594819153949061,0.10268690618603214,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.041984609093381406,0.040369684543875975,0.0
5,0.00011654177020836381,0.010019554437547738,0.00016599798207628464,0.10266939681134349,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.01935838185108016,0.03686010815146038,0.0
6,5.7033830974263006e-05,0.010219193709401829,0.00016928999167733984,0.10266000078107258,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.01385037527304649,0.0433345436788984,0.0
7,9.594895474625918e-05,0.01054516451822686,0.00017467455493270535,0.1026509319800796,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.012678963245111594,0.044679419674175026,0.0
8,8.000860637531733e-05,0.010863694959091352,0.00017994397946581586,0.10264702555651928,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.0038866128242682207,0.04015886943006436,0.0
9,0.00019208942368246224,0.011610277103443227,0.0001922981057571639,0.10264056454379362,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.014204912655554005,0.03456759035791367,0.0
10,0.00015294098320093287,0.012212068882693529,0.0002022458641902031,0.10263063478441975,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.021524532407417352,0.039082359854823376,0.0
11,6.882773708791456e-05,0.01242492999558809,0.00020576287138275107,0.1026265365018927,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.014063098331055643,0.037027538580002725,0.0
12,6.122018797561402e-05,0.01262613307152854,0.00020908255936453448,0.10262048349233832,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.0061675064805145965,0.0416727417800617,0.0
13,8.670143178636214e-05,0.012943972877721,0.0002143331666763816,0.10261442060468731,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.01803538191305957,0.04282090672373681,0.0
14,0.00017100092948427528,0.01359239954200231,0.0002250565724869456,0.10260822611377114,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.012116934032418588,0.03488759145476633,0.0
15,5.682569513811295e-05,0.013790151298864529,0.00022833504946401912,0.10261011181655247,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.031262339188852184,0.03984664003715026,0.0
16,0.0001513630782784781,0.01432752181060755,0.00023721671693344919,0.10260318062813331,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.005921821157620826,0.04390491382987994,0.0
17,9.903470901103155e-05,0.014683105884635245,0.00024309350687868182,0.10259874282296665,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.0059479520978170455,0.04212326616346289,0.0
18,9.254418700784123e-05,0.01502391135724804,0.00024871383230906023,0.10258964757885643,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.0008566792129026737,0.04778152974951325,0.0
19,0.00013010438856230654,0.015496506105736397,0.0002565164808621648,0.10258127497357006,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.0025280511567027115,0.043403590055025754,0.0
20,0.00013594569621809143,0.016023708266099834,0.0002652444571450761,0.10258170160793427,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.008334552329372396,0.04448537796853623,0.0
21,0.00015564682150519908,0.01665242841696761,0.0002756382936385238,0.10257666813432917,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.021957149071868562,0.045268462557180617,0.0
22,0.00013120664481670237,0.017102463209058824,0.0002830585043382507,0.10256617360854872,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.0006136657657351684,0.04426075145665134,0.0
23,0.00012875334821911487,0.017592565982933735,0.0002911456825702924,0.10255758290959462,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.01047017590770888,0.043996433488822526,0.0
24,1.9352384085121815e-05,0.017637752696934742,0.0002918920231501044,0.10255706622686461,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.00686236820488975,0.04515522389587164,0.0
25,0.00021416728159449452,0.01846183863353264,0.00030552114198674723,0.10255407671890479,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.005171446301605761,0.03981652158260899,0.0
26,0.00013115379269573233,0.018943646079170456,0.00031347778820858753,0.1025486184040507,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.005172792898987349,0.0412862641321981,0.0
27,0.00018765881725544645,0.019593573424015364,0.0003241639160912976,0.10252685428563617,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.0010907556663057047,0.03824929872738915,0.0
28,3.381079127743618e-05,0.019658774773590532,0.00032520384415801393,0.10251462671090324,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.02517860965741487,0.04021612944284489,0.0
29,8.567718869979471e-05,0.019984978791041465,0.0003305669394296567,0.10250435948697562,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.023548107196800803,0.03312593106464968,0.0
30,9.837268678215876e-05,0.02033778552711349,0.00033635934367677264,0.10249116844310369,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.018853219641952544,0.03708557682100984,0.0
31,0.00011464081775126373,0.020765569162176624,0.0003434232975081427,0.10248788381668006,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.010288963582195755,0.03686178416606972,0.0
32,9.912885025699807e-05,0.02110440356018651,0.0003489704883341946,0.10247129609364126,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.00021690962487760316,0.03553296291098236,0.0
33,0.00019821310887026977,0.02191070635625848,0.0003623315256592026,0.10247934836309881,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.012457682250784263,0.03733639922629396,0.0
34,0.00012595954314914245,0.022367036789943544,0.0003698231729675756,0.10246422967162223,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.009952445544915773,0.041549562442056015,0.0
35,0.00015373584884304268,0.02296761552160627,0.0003797452677055393,0.10246205740285538,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.025844815129768328,0.036928108493973474,0.0
36,8.377947087183859e-05,0.023259185160992735,0.00038455791396625944,0.10245988600282999,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.000869233207888095,0.03580481671663413,0.0
37,7.857554724739479e-05,0.023530660590320163,0.00038901737181688736,0.10245224678831033,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.021569716591984027,0.03743790616359098,0.0
38,0.00012668919805620558,0.023981922935936567,0.0003964618073991305,0.10244811323494941,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.011871110161377449,0.03875049388495749,0.0
39,8.095023299864619e-05,0.024296337086400423,0.0004016237214691412,0.10243896048693057,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.009066237773712404,0.0371287566789053,0.0
40,6.035452371174123e-05,0.024479620041532577,0.00040463070993521305,0.10243320923724697,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.009323393610100407,0.03755024606828628,0.0
41,5.11526184515586e-05,0.024685978814234424,0.0004080437929684447,0.1024337412526677,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.0025435140647211973,0.03749378030247584,0.0
42,6.966645312050941e-05,0.024985330510190133,0.0004130070428170927,0.1024374997537488,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.006051318082718148,0.04314190471206045,0.0
43,9.685838761373909e-05,0.02534403478584081,0.0004189132126087556,0.10243182568154931,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.001334674668522321,0.04144913991901278,0.0
44,0.00010049884404910955,0.02570746754012105,0.00042487709291226246,0.10242138206186557,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.017653070486490178,0.037224955243108135,0.0
45,7.471231950466635e-05,0.025953910585861707,0.00042891460019450853,0.10241289355163485,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.0017303334437965717,0.04441257077529269,0.0
46,5.532174408444419e-05,0.026153322726746364,0.00043220028317351327,0.10241057043847322,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.004753061959951111,0.03807844895581962,0.0
47,0.00011125180193339582,0.02650490119011352,0.0004379737930145398,0.10240202525972911,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.014877294941088673,0.0449794656778728,0.0
48,5.189372902064646e-05,0.026678065385656684,0.0004407855255563705,0.10239048572178354,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.0002008958823793653,0.037071275507095616,0.0
49,4.119531146511913e-05,0.026833976394209466,0.00044333145637613755,0.10238353614467013,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.027459857913874952,0.03811107280979021,0.0
50,4.874487444819368e-05,0.02701653935075587,0.0004463221004109188,0.10237768040940663,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.005847659521640359,0.03182617348340698,0.0
51,8.701747287798212e-05,0.027321983436704524,0.0004513496609827262,0.10237348974695112,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.0005555293293841423,0.03519908980077184,0.0
52,5.810837507520286e-05,0.027539182669179436,0.0004548932441260467,0.10236348218675094,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.011885337736252274,0.03567339957937593,0.0
53,9.758411044880618e-05,0.027883355084776743,0.0004605515084996092,0.10235752846860008,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.012903474051697224,0.047040171998933206,0.0
54,0.00013474798034715716,0.028381364564559607,0.0004687351569980548,0.10234835510877255,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.00028182873536016645,0.04057709153642022,0.0
55,9.613871948624016e-05,0.028760932731135374,0.00047499887183775945,0.10234726058666094,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.0464320576059573,0.04124015462576062,0.0
56,4.336884321940488e-05,0.02891813244493059,0.00047756500219223196,0.10234081262621354,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.0036764590116050867,0.033959129694042904,0.0
57,6.347295200622921e-05,0.02915321028920125,0.00048144566784515054,0.1023404939879442,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.01955654308800596,0.0406886920630216,0.0
58,0.00010924861381789812,0.029588886002191703,0.0004886200893696715,0.10233620677457404,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.015789739151932984,0.03787857925538286,0.0
59,0.00011792455558471314,0.030039670724589438,0.0004960628637142085,0.10233593437704046,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.012226477720612248,0.041188774940791144,0.0
60,3.763813973059765e-05,0.0301769340832082,0.0004983059010120888,0.1023310727759662,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.014762156412524737,0.03753009409133296,0.0
61,4.1614348317947664e-05,0.030332418511959367,0.0005008793198240057,0.10233228520175373,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.03318613939004349,0.04598814324759705,0.0
62,7.43550552041791e-05,0.03062474049444728,0.0005057341842953146,0.10233790069365253,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.008361551273608561,0.0377185666079973,0.0
63,0.00010475111573890388,0.030986214205077123,0.0005116842503927485,0.10233404521053643,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.005782209955487611,0.045203627198409216,0.0
64,8.998294218274506e-05,0.03131742533627826,0.0005171448060582878,0.10233229816806284,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.0005483669328151695,0.03848290890837032,0.0
65,6.974284245228135e-05,0.0315221385988964,0.0005204491675055458,0.10231734329539097,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.006879609817593543,0.036407974929660844,0.0
66,0.00013752508929206435,0.03204240283256088,0.0005290256821198452,0.10231476024404984,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.0010819980609134653,0.039153003534526644,0.0
67,9.291474043796348e-05,0.03243715079763978,0.0005355594129615058,0.10231788824663152,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-7.034584381586904e-05,0.03866625591838214,0.0
68,6.909995375251305e-05,0.0327285397653797,0.0005403152471932893,0.10230743706251937,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.015578843853173327,0.03093152612589716,0.0
69,0.00019148394650135507,0.0334605059284412,0.0005523693187987526,0.10230188960771854,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.00039264132929551533,0.04328596733799135,0.0
70,0.00019897350646552189,0.034274265833036076,0.0005657997465561948,0.10230131089703715,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.022393753777545742,0.041533929922026466,0.0
71,0.0001516432860584584,0.03489296204002153,0.0005759905277049617,0.10229728663391204,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.01015459872118328,0.03871298392760379,0.0
72,7.508243881871335e-05,0.03518776464039795,0.0005808820042094282,0.10230170097500298,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,-0.0297142667299687,0.03790587255397568,0.0
73,0.00012611602237609835,0.03565563231871144,0.000588541523158536,0.10229056496834228,0.13051990504203748,0.13051990504203748,0.0,1.0,1.0,0.013435880000201142,0.04998025128465407,0.0
