iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,2.8734979174824267e-05,0.0445516578254861,3.940116698584786e-12,0.9637168231657484,4.829928360127712,0.9637168231657484,4.829928360127712,0.9637168231657484,4.829928360127712,0.39069371727188495,58.856481637946544,2.410618417801001,5.977217576206762,5.8110910233505395,35.727175909167656,3464.085430797939,0.0,0.0,0.0,0.0,-0.0007241999277650324,0.0053113570431151955,0.004518501902486328,0.008677728933819314,0.025890311456064116,9.163335700201637,4.536849036550185e-05,0.0009506527582170434,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2.515305668709257e-05,0.044550818504948866,4.933845782339545e-12,0.9971955263571525,5.427609769365202,0.9971955263571525,5.427609769365202,0.9971955263571525,5.427609769365202,0.3906251004925081,83.12033880107471,2.471830288775579,7.225477084134268,6.109951788071748,52.20819975656618,6908.990722405446,0.0,0.0,0.0,0.0,-0.0003639366305333753,0.00500206025713891,0.004321625199970908,0.008154807069413078,0.01982462199682553,9.163314192918138,1.6539687875952087e-05,0.0006997020527429375,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,2.5083554043341174e-05,0.044549723013275026,9.304026958660582e-12,0.9991920680846299,12.225608212098765,0.9991920680846299,12.225608212098765,0.9991920680846299,12.225608212098765,0.39076291622312853,172.4469215117855,2.3058036373739417,5.948910029705332,5.316740186792709,35.389721779352485,29737.940738891906,0.0,0.0,0.0,0.0,-0.0009029009668801962,0.004926289058444295,0.003770433924072954,0.006530891271151567,0.018612258032021742,9.1632802355031,4.526442308008444e-05,0.0010801177793096069,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,2.4286102434165304e-05,0.044548624842390194,1.6036121562873123e-11,0.9716873904307554,6.87259237313596,0.9716873904307554,6.87259237313596,0.9716873904307554,6.87259237313596,0.39066317720310306,112.06973467075069,2.3002908128895543,5.86966588702543,5.291345304662492,34.45347954314156,12559.62542917246,0.0,0.0,0.0,0.0,-0.0006056073151411564,0.004890740456619306,0.004178876615292785,0.007354082624555776,0.021723383475216147,9.16325419391958,4.4773549592485664e-05,0.0010922658025125966,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,2.5720962800675433e-05,0.04454746797954308,2.482741258700723e-11,0.994426023423278,5.389723289834446,0.994426023423278,5.389723289834446,0.994426023423278,5.389723289834446,0.39071741672116983,60.764027709842495,2.357611771682148,5.904416205212879,5.558333822549722,34.86317977317424,3692.2670635225063,0.0,0.0,0.0,0.0,-0.0007463792832519045,0.005016361307382853,0.004233902739795047,0.007235030797062539,0.024356256660140234,9.163226139106616,6.884069432725887e-05,0.0011284081836538166,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,2.7395287776405496e-05,0.04454650794466821,2.8566530919615026e-11,1.0051327292209469,9.615299510250217,1.0051327292209469,9.615299510250217,1.0051327292209469,9.615299510250217,0.3907607208308877,150.63998643642486,2.490156113009186,7.148174891503114,6.20088265674012,51.097193247880696,22692.405513566267,0.0,0.0,0.0,0.0,-0.0007196186188251219,0.005184345360780445,0.004322243611600571,0.006970391297432305,0.02582936021120248,9.163196449717422,2.087412645888011e-05,0.000764572095107508,0.34209017849247403,0.0,0.0,0.9998560831649781,0.037869752841046544,0.6994741623222228,0.6199927415406408,0.33384721248299426,1.409784652765676e-05,1.3297441248748736e-05,0.48539155190774486
6,2.583202113870707e-05,0.044545737533499746,3.963051265591088e-11,1.0671050632481518,19.04862312659946,1.0671050632481518,19.04862312659946,1.0671050632481518,19.04862312659946,0.39071991188112654,172.78305125105172,2.4198978498118713,5.538802484901394,5.855909216234125,30.67867936082221,29853.982799623565,0.0,0.0,0.0,0.0,-0.0008336122789345929,0.0050136924224683495,0.0040071531613697755,0.007126148161944767,0.021274895037871958,9.163175687401726,5.8011544743080726e-05,0.000651584789381221,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,2.610417933124854e-05,0.044544826843453705,4.1442986280798685e-11,0.9558041468450077,3.496501395487651,0.9558041468450077,3.496501395487651,0.9558041468450077,3.496501395487651,0.39064898443930857,48.20291551689114,2.513696689471934,6.138775589820626,6.318671370456951,37.685030826617826,2323.5210643285445,0.0,0.0,0.0,0.0,-0.0006845148729537879,0.005063162916592118,0.004128026349418979,0.00716837145271479,0.024625597042350067,9.163149703468148,1.1609993633534583e-05,0.0007275402119435282,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,2.5838284070981418e-05,0.04454315680883135,1.7290058504540654e-10,1.1025036399072297,42.38152354259084,1.1025036399072297,42.38152354259084,1.1025036399072297,42.38152354259084,0.39065253637538133,323.7115510959658,2.5294833109383656,7.002747874008578,6.398291289762954,49.038492523447644,104789.16831295606,0.0,0.0,0.0,0.0,-0.000581147849728518,0.005049807050545332,0.00438879764370085,0.007241968229610741,0.02354970349853366,9.163049469005957,0.00022192122308458044,0.0025280328349524695,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.6643823744990072e-05,0.04454235749173133,1.76577347831517e-10,0.9460392584670413,4.160603470135725,0.9460392584670413,4.160603470135725,0.9460392584670413,4.160603470135725,0.39064666153360494,70.72796912073856,2.2944631254270984,5.704249005807407,5.264565268448804,32.53889408209021,5002.445615944148,0.0,0.0,0.0,0.0,-0.0008108058355815262,0.005097687479826222,0.003947295861429935,0.0074586314248008875,0.022101589539926574,9.163027054074464,1.3901094371464922e-05,0.0006340968661131264,0.39070314523861066,0.12525804937419324,1.0,0.9998579664696767,0.022409362727685234,0.5058180642714647,0.6199927416920259,0.3338530382683237,1.4248252078650727e-05,1.2395571666339345e-05,0.4652324600619731
