iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.34209017849247403,0.0,0.0,False,2000,4096,1e-07,1.0621023096339117,21.050336495211855,0.3906341277149354,205.47303692896003,2.3786371897027365,6.294936278515247,10.0,0.0
9,0.39070314523861066,0.12525804937419324,1.0,False,2000,4096,1e-07,1.0225597195557665,6.672423503276743,0.3906348427653196,89.46468842285105,2.5074800984438057,7.356082947357189,10.0,0.0
10,0.3558645232168494,0.11385482970189577,1.0,False,2000,4096,1e-07,0.9548340983515249,4.490416083167881,0.39069559542246735,69.95803657090103,2.2635777651808717,6.854085899955163,10.0,0.0
15,0.28116401882428527,0.12993676767255208,1.0,False,2000,4096,1e-07,0.9668159073100211,5.621010979729332,0.39067118275088225,85.60902146269649,2.4240754654568772,5.9247342143487,10.0,0.0
19,0.3350474790296707,0.13381447532390614,1.0,False,2000,4096,1e-07,1.0529124931818532,11.44591453700371,0.3906304351870387,148.35148325182433,2.435202532849722,7.3875817094207505,10.0,0.0
20,0.474629654406238,0.2087713359667616,1.0,False,2000,4096,1e-07,1.0794740514648593,53.04435992684243,0.3906622548942603,451.3014939942935,2.5467248791932553,7.34220207216886,10.0,0.0
25,0.34689174764652014,0.24137893532078547,1.0,False,2000,4096,1e-07,1.1409928077348166,40.87890158631031,0.3906824563691339,342.4934622351614,2.4790610855512636,8.156267379951515,10.0,0.0
29,0.37072793472341864,0.16539833727955272,1.0,False,2000,4096,1e-07,0.9610069520748553,4.6829378187074475,0.39069557775837166,63.52917759899999,2.380152716326499,5.703140546742756,10.0,0.0
30,0.47484872862132754,0.19933367741608973,1.0,False,2000,4096,1e-07,1.047238238845423,31.774078632176266,0.3906426455210276,303.6182012192176,2.3922047270235702,6.075989329237693,10.0,0.0
35,0.2748364939594663,0.2717523619359653,1.0,False,2000,4096,1e-07,0.988145599795558,5.492001822560702,0.3907454759390845,66.99714322703251,2.3779353936262675,6.968821105293298,10.0,0.0
39,0.37887279963143,0.16476691243116545,1.0,False,2000,4096,1e-07,0.9740914294795602,4.024874441462819,0.3906465543854922,43.753672105212296,2.386376426887282,6.399994178541319,10.0,0.0
40,0.43519476836575555,0.14734352370969134,1.0,False,2000,4096,1e-07,1.0508975586364024,25.10909970563385,0.3907627654781781,245.30304413994133,2.564074669709673,6.515317890761331,10.0,0.0
45,0.42859440456532827,0.1558008195833964,1.0,False,2000,4096,1e-07,1.0201721738550793,8.592851008115087,0.3906444120494947,137.67562375292698,2.5376079020388667,6.270476052791182,10.0,0.0
49,0.29017881280807767,0.237141239368837,1.0,False,2000,4096,1e-07,0.9718703811684093,3.863403759502858,0.3907001730964245,54.355486893263176,2.4840839227821454,5.860448770467955,10.0,0.0
50,0.342306928247215,0.1633307484454508,1.0,False,2000,4096,1e-07,0.9605232733602028,2.963364581382566,0.3908193745849173,37.08548370642057,2.4847171995240562,6.385425726542785,10.0,0.0
55,0.3228240319233792,0.15347469547188222,1.0,False,2000,4096,1e-07,0.9334580242581342,3.966495111984087,0.3906762416237315,79.57470410073661,2.367276559827265,5.232825393693417,10.0,0.0
59,0.36324288707643076,0.13256556195368407,1.0,False,2000,4096,1e-07,0.9708076329102433,2.9828269307744764,0.3907677228652609,39.121587489978296,2.505283198075795,6.969312188289898,10.0,0.0
60,0.33535333233704556,0.0994464171008654,1.0,False,2000,4096,1e-07,0.989350015544411,6.371452108627034,0.39063099561570713,103.10734803029194,2.4225305007287226,6.533010896557622,10.0,0.0
65,0.3085177811051049,0.10752155765107156,1.0,False,2000,4096,1e-07,0.9436870889870976,3.2907310235481395,0.39084052365229577,44.02327008799545,2.3089935089259743,6.8526369241620575,10.0,0.0
69,0.46776176102974587,0.23826319138965965,1.0,False,2000,4096,1e-07,1.1321352200768984,29.599901774722895,0.3906740571963491,197.15812136493201,2.3902122058553457,6.895375722078459,10.0,0.0
70,0.2915050646526848,0.22921383084153743,1.0,False,2000,4096,1e-07,1.0003666901054182,5.572154924702568,0.39064019804006633,65.18256470262423,2.4002818280593354,6.094920523827415,10.0,0.0
75,0.300001185996967,0.09757579295225169,1.0,False,2000,4096,1e-07,0.9608883592940969,5.222151333042875,0.3906657106162804,86.07942072574575,2.2828177494413944,5.647557872448161,10.0,0.0
79,0.3049899482523503,0.0950864480555642,1.0,False,2000,4096,1e-07,0.9837876454072203,5.224579019253268,0.3907144244916299,97.18314473609809,2.445858456616567,7.1477247517730556,10.0,0.0
80,0.5084436865902598,0.2668747025930504,1.0,False,2000,4096,1e-07,1.0233843866169874,16.08202182408329,0.39064785319162965,161.5136501431482,2.379162762622062,5.7127633439439895,10.0,0.0
85,0.2870543043591861,0.2839195323783905,1.0,False,2000,4096,1e-07,0.9515992918838218,4.418030427522874,0.3906530155466044,61.27953543497407,2.1788551207608777,5.675987039385988,10.0,0.0
89,0.30069629008311655,0.14464598230109305,1.0,False,2000,4096,1e-07,1.1075161325705012,17.71776500960142,0.3906465951300413,158.8905831691478,2.426426968083821,7.5809673820757,10.0,0.0
90,0.336947120940428,0.1596882850780207,1.0,False,2000,4096,1e-07,0.9367796779048827,3.1482271455806954,0.3906490313484518,47.659507194209965,2.4072846317489067,6.054395875988904,10.0,0.0
95,0.3039504983556812,0.10880303119616805,1.0,False,2000,4096,1e-07,0.9774959476592645,5.394158303796968,0.3906491913409423,63.00057008224026,2.327142591746914,6.895854338271045,10.0,0.0
99,0.3287272710495508,0.11417263999890447,1.0,False,2000,4096,1e-07,0.9854208623596608,5.6773325013478875,0.39064829568573545,99.03639634094286,2.508387586805759,6.475498609019082,10.0,0.0
100,0.3039353537570346,0.12506217316749363,1.0,False,2000,4096,1e-07,1.0209554645984107,25.492451773668556,0.39070129707722967,297.4549650998306,2.316205282732556,6.279284850585315,10.0,0.0
105,0.34111077330005307,0.1706623043264918,1.0,False,2000,4096,1e-07,1.0312772862978987,10.818150786887596,0.3906382701596955,136.40858779585278,2.3543417315626725,6.415482830006912,10.0,0.0
109,0.3583603057694779,0.12602877646449856,1.0,False,2000,4096,1e-07,0.9911493027315119,5.976886395303645,0.3906380074175885,73.28891483221383,2.452372496706018,5.53086931607419,10.0,0.0
110,0.31732016728030527,0.1822316076306584,1.0,False,2000,4096,1e-07,1.0762772770883917,34.56383520373113,0.39084153214780304,328.45508098856607,2.3335912527981626,6.491390060311261,10.0,0.0
115,0.3202346412857291,0.13662490953344084,1.0,False,2000,4096,1e-07,0.9595420380670742,4.321664512292143,0.3906411454477043,85.02538793496927,2.5305690054488554,6.435793426333973,10.0,0.0
119,0.27689670785206344,0.11198848991886168,1.0,False,2000,4096,1e-07,0.9533474123578854,3.2755803840691238,0.3906703113375281,57.019609282613196,2.4389710494909362,6.3530147888889,10.0,0.0
120,0.3823083447049525,0.14346455949841327,1.0,False,2000,4096,1e-07,0.9856308760838065,5.278500977925078,0.39063657501752963,73.74785460271788,2.4680025324427795,6.1147959316922735,10.0,0.0
125,0.27545419264808174,0.1432915115691634,1.0,False,2000,4096,1e-07,0.9760794713491145,4.251842875789322,0.39065803154738493,48.022202894989796,2.5016908570312397,6.735470129939426,10.0,0.0
129,0.30240576020079574,0.0970221579326036,1.0,False,2000,4096,1e-07,0.9512795755130539,3.2256676365204155,0.39072101235765627,42.65035201824073,2.314282693036633,6.4342543792342095,10.0,0.0
130,0.28965722572663705,0.10425786158936383,1.0,False,2000,4096,1e-07,0.9586269223581501,3.543504116288932,0.3906258966176689,50.60052192202275,2.5136470926839287,5.511465799238737,10.0,0.0
135,0.241739592033282,0.11331225042452091,1.0,False,2000,4096,1e-07,1.0134555008276993,6.205434582528907,0.39062986135978595,85.87582978501445,2.453479660859977,7.214775355431647,10.0,0.0
139,0.3553726561168577,0.1797235875482855,1.0,False,2000,4096,1e-07,0.9980206948241628,7.218044923802722,0.3906656054451176,85.2432201981963,2.336564487122314,6.209301684123765,10.0,0.0
140,0.34904215202882516,0.14013371446672054,1.0,False,2000,4096,1e-07,0.9226237676661991,2.767387615857589,0.39068725387629205,51.04752179428898,2.3140064451531943,5.7391337024763525,10.0,0.0
145,0.269839662098628,0.13057718033969584,1.0,False,2000,4096,1e-07,0.9725416027155062,4.867459880389847,0.39077600858468514,62.806947991522456,2.2980205653962953,5.943781618510502,10.0,0.0
149,0.2950192858818747,0.09827732661681836,1.0,False,2000,4096,1e-07,1.005140576893575,9.484801595059952,0.39068372575791105,124.09677854557083,2.41180912754636,6.547173753488107,10.0,0.0
150,0.3289226902421684,0.15082996983117894,1.0,False,2000,4096,1e-07,1.0750895978384465,28.1270098419157,0.39076334143091923,241.31339561666536,2.4397721548859095,6.38654495455319,10.0,0.0
155,0.35115726804371344,0.13685764181740953,1.0,False,2000,4096,1e-07,1.0013816525037433,6.352104470316084,0.3907862266847668,88.86373764480895,2.4033022117858627,6.404711947241898,10.0,0.0
159,0.4183185859190392,0.16906808332871587,1.0,False,2000,4096,1e-07,0.9221759592090377,2.844259466426624,0.3907228744467203,46.541328196328315,2.3399725074857267,5.062539759493016,10.0,0.0
160,0.24801494971847304,0.23421348109373066,1.0,False,2000,4096,1e-07,1.0415576133688615,10.762207602293712,0.3906482890194564,159.60563468007487,2.6635732776107965,7.054245360178986,10.0,0.0
165,0.28605719802502777,0.11715846047473984,1.0,False,2000,4096,1e-07,1.0036391656762182,5.4288820903468675,0.3906951927428548,71.58888140997315,2.566088528676033,6.7560199061771815,10.0,0.0
169,0.3057324546648326,0.1209304105421111,1.0,False,2000,4096,1e-07,0.9519763315453154,4.345996563680324,0.3906408753603982,59.2086094846766,2.4171654352502667,5.779136656222367,10.0,0.0
170,0.32505504311808636,0.10227254067307255,1.0,False,2000,4096,1e-07,0.9583772442854409,3.537472494132413,0.39064513529907463,49.19588264391325,2.3777861745742426,6.203647179712025,10.0,0.0
175,0.3580053858039458,0.1461056865187304,1.0,False,2000,4096,1e-07,1.0216337927397463,8.12711365822614,0.390633174164532,114.04788549936117,2.4192836721721886,7.485132553669603,10.0,0.0
179,0.3200094798653835,0.14223266952055585,1.0,False,2000,4096,1e-07,0.9681849029675557,3.2466141757575446,0.3906287673282798,45.10430515717344,2.523564445579993,6.245801518996944,10.0,0.0
180,0.2239253710175634,0.15899092329155115,1.0,False,2000,4096,1e-07,0.9435496800641368,3.4077032170431814,0.39066790081247943,41.76158964039941,2.3769639179099284,5.806590829957067,10.0,0.0
185,0.26139621492628007,0.11210249389939156,1.0,False,2000,4096,1e-07,0.971313558493691,4.195197211808354,0.3907166409801656,47.376447962947516,2.402787012132759,6.580060401650024,10.0,0.0
189,0.27288955372039336,0.0987890124955549,1.0,False,2000,4096,1e-07,0.9316400708717525,2.3216818816465334,0.3906887353037208,26.523582254364886,2.348534667255948,5.982983483332574,10.0,0.0
190,0.33360728159442693,0.114147041528416,1.0,False,2000,4096,1e-07,0.9353002700351066,2.4811307914339915,0.390662797029053,30.22184753878168,2.4534626935216304,5.853521726426424,10.0,0.0
195,0.25926251617215124,0.12032227259878137,1.0,False,2000,4096,1e-07,0.9215987987228397,2.992219300884941,0.3906907963019566,60.550168705707044,2.3439981652154755,5.950930749728379,10.0,0.0
199,0.2521893018992033,0.11915750734869349,1.0,False,2000,4096,1e-07,0.978503940779903,8.49112728980864,0.3907097086860817,149.82567040290047,2.243075413032482,5.977286940786514,10.0,0.0
