iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.7395287776405496e-05,1.409784652765676e-05,1.3297441248748736e-05,0.48539155190774486,8,200,200
9,2.6643823744990072e-05,1.4248252078650727e-05,1.2395571666339345e-05,0.4652324600619731,8,200,200
10,2.3424924263136734e-05,1.1058673863042697e-05,1.2366250400094036e-05,0.5279099416152444,8,200,200
15,2.6549686099083565e-05,1.424021707046984e-05,1.2309469028613725e-05,0.4636389666783525,8,200,200
19,2.415001030472761e-05,1.2722459633014173e-05,1.1427550671713436e-05,0.4731903020959116,8,200,200
20,2.7006915655715118e-05,1.2859741353562723e-05,1.4147174302152395e-05,0.5238352458496539,8,200,200
25,2.542168552091522e-05,1.2095888009884418e-05,1.3325797511030802e-05,0.5241901643408833,8,200,200
29,2.4471329666260893e-05,1.2048296120485946e-05,1.2423033545774947e-05,0.5076566625189488,8,200,200
30,2.519656269018887e-05,1.2486536384902678e-05,1.2710026305286193e-05,0.5044349287466607,8,200,200
35,2.51240542504893e-05,1.2132143301429488e-05,1.2991910949059811e-05,0.5171104480005169,8,200,200
39,2.3723516030668344e-05,1.1259486363669177e-05,1.2464029666999166e-05,0.5253871159269314,8,200,200
40,2.679643429952058e-05,1.3463135787931587e-05,1.3333298511588994e-05,0.4975773404235183,8,200,200
45,2.6922111023881553e-05,1.421193919296447e-05,1.2710171830917083e-05,0.47210903408140564,8,200,200
49,2.5540334989997147e-05,1.2663462197112123e-05,1.2876872792885023e-05,0.5041779130120353,8,200,200
50,2.3755722923077106e-05,1.2082897309119061e-05,1.1672825613958045e-05,0.49136899145336765,8,200,200
55,2.506353036481596e-05,1.4096467826024791e-05,1.0967062538791168e-05,0.4375705409077832,8,200,200
59,2.550984455826372e-05,1.2855188395973767e-05,1.2654656162289953e-05,0.4960695128261992,8,200,200
60,2.4692547049309467e-05,1.3555794744644174e-05,1.1136752304665293e-05,0.45101674940320646,8,200,200
65,2.4307211733322247e-05,1.286382131702783e-05,1.1443390416294417e-05,0.47078169811665044,8,200,200
69,2.6369723483172488e-05,1.4498936813449153e-05,1.1870786669723335e-05,0.45016727905010195,8,200,200
70,2.5868622266988253e-05,1.1705769247968835e-05,1.4162853019019418e-05,0.547491585475469,8,200,200
75,2.3907868634508906e-05,1.1295784242950981e-05,1.2612084391557924e-05,0.5275285967295926,8,200,200
79,2.4048944300766946e-05,1.2145779344847483e-05,1.1903164955919463e-05,0.4949558203908293,8,200,200
80,2.496942237680373e-05,1.2200953283855925e-05,1.2768469092947805e-05,0.5113642158101962,8,200,200
85,2.3871149114439636e-05,1.0978014485143132e-05,1.2893134629296504e-05,0.5401136982340519,8,200,200
89,2.5065661773575736e-05,1.253027225974776e-05,1.2535389513827975e-05,0.500102076979384,8,200,200
90,2.3620250782164282e-05,1.1673005209876475e-05,1.1947245572287807e-05,0.505805195824136,8,200,200
95,2.5590355227751057e-05,1.2177470565392181e-05,1.3412884662358876e-05,0.5241382756505656,8,200,200
99,2.43443060920007e-05,1.236204176866294e-05,1.198226432333776e-05,0.49219987121649833,8,200,200
100,2.3736819161420137e-05,1.2763705382701013e-05,1.0973113778719124e-05,0.462282402039525,8,200,200
105,2.3764512452325937e-05,1.2816889841065528e-05,1.0947622611260408e-05,0.4606710376752929,8,200,200
109,2.4242020564291117e-05,1.1448908648354422e-05,1.2793111915936695e-05,0.5277246540571437,8,200,200
110,2.3612950054056805e-05,1.1719130235554031e-05,1.1893819818502773e-05,0.5036990207184792,8,200,200
115,2.6297719814267537e-05,1.4007826048514127e-05,1.228989376575341e-05,0.4673368585775891,8,200,200
119,2.4581346112868377e-05,1.2857870413585269e-05,1.1723475699283109e-05,0.4769256998967135,8,200,200
120,2.3514472761586927e-05,1.204915256055135e-05,1.1465320201035577e-05,0.4875856804140317,8,200,200
125,2.1741064625950134e-05,1.0979200009431337e-05,1.0761864616518796e-05,0.4950017306729973,8,200,200
129,2.500712826948028e-05,1.2855227239600558e-05,1.2151901029879722e-05,0.4859374854613114,8,200,200
130,2.3288095979400383e-05,1.0884955183032927e-05,1.2403140796367456e-05,0.5325957436511222,8,200,200
135,2.490656419453876e-05,1.2414182136916904e-05,1.2492382057621856e-05,0.5015698656806726,8,200,200
