iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9998560831649781,0.9998560831649781,1.4314629098184293e-05,20,4096,0.00025,1.012217372505638,28.50278074184834,0.39063296941243375,839.2556965920205,2.401875663500867,6.452779964842819,10.0,0.0
9,0.9998579664696767,0.9998579664696767,1.39954685793159e-05,20,4096,0.00025,1.033275359407139,74.4239632279474,0.39064032081468525,1425.6720378117652,2.4086542620416505,6.373952704649273,10.0,0.0
10,0.9998389793912188,0.9998389793912188,1.7068441904738222e-05,20,4096,0.00025,0.994269508343216,19.438687516574255,0.3906265221917123,672.0800669850884,2.386897613612245,6.351581331636032,10.0,0.0
15,0.9998463841942169,0.9998463841942169,1.2257094999474287e-05,20,4096,0.00025,0.9772721569073984,5.169098042241352,0.3906372056210686,147.06757585997218,2.4507494646203565,6.274702501261529,10.0,0.0
19,0.9998445472615065,0.9998445472615065,2.248094876455566e-05,20,4096,0.00025,0.9754340924115519,5.75452024711425,0.3906264158996891,261.1191929414074,2.491307510283095,6.380969291155393,10.0,0.0
20,0.9998485006082266,0.9998485006082266,1.2146785525992069e-05,20,4096,0.00025,0.9676047342791897,4.317232164930008,0.39062927557523447,146.41305902116773,2.4355371551817857,6.466195921358748,10.0,0.0
25,0.9998435144041098,0.9998435144041098,1.6706740376203026e-05,20,4096,0.00025,1.005938227638374,16.49843301264561,0.3906480454346905,565.9828117398572,2.4634883256650593,6.757254850677299,10.0,0.0
29,0.999843910444953,0.999843910444953,2.024014732418643e-05,20,4096,0.00025,0.9739221570986641,5.61614421823919,0.3906336945705465,214.5878908604531,2.414317146427515,6.4110666462260095,10.0,0.0
30,0.9998456205187729,0.9998456205187729,2.347351127117889e-05,20,4096,0.00025,0.9984914313201741,9.233011660371655,0.3906266037561909,220.13474624381556,2.4472676458701845,6.4882450698533,10.0,0.0
35,0.9998469486763796,0.9998469486763796,1.0382153617005287e-05,20,4096,0.00025,0.9882972767584657,6.597477798041069,0.39062882801884563,179.0270771440581,2.4805013614410822,6.479588883559371,10.0,0.0
39,0.999834527664972,0.999834527664972,2.1443775675365987e-05,20,4096,0.00025,1.0100003529435257,11.576754176560485,0.39062545065099996,317.15544245433296,2.4380192884155436,6.530162167841417,10.0,0.0
40,0.999832925088004,0.999832925088004,1.8271152099513192e-05,20,4096,0.00025,0.9978670786467609,6.461068673555337,0.39063459052138727,195.25064511301025,2.4676964527093763,6.563131720641963,10.0,0.0
