iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,1.817276970917235e-05,0.013945478319103167,4.7200257052207744e-14,1.00347507941695,1.0815533003485793,1.00347507941695,1.0815533003485793,1.00347507941695,1.0815533003485793,0.0696958002442007,1.3609692397155284,1.341099057199669,1.3570660479006915,1.7985466815329205,1.8416282585548438,1.8522372714518633,0.0,0.0,0.0,0.0,-0.001003333319913481,0.004143198276491694,0.0024197750218165294,0.004369873074138372,0.02423327973469177,4.581680301090807,5.17468069973208e-06,0.0001972003531556592,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,1.8048091045436842e-05,0.013945247782961592,1.0763565139894072e-13,0.9997962632302645,1.075490544390376,0.9997962632302645,1.075490544390376,0.9997962632302645,1.075490544390376,0.05680275972468911,1.3611109032718585,1.3310936502149058,1.355584333038318,1.7718103080652383,1.837608885305705,1.8526228910055345,0.0,0.0,0.0,0.0,-0.0010382573712001012,0.004119479660902028,0.0025707001056810954,0.0042744328778664105,0.023766657124349472,4.581675802692036,4.6956845410242865e-06,0.00019011398900680443,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,1.895678418423287e-05,0.013944995129784393,1.5763418604232462e-13,1.0002685379221576,1.0755161683230046,1.0002685379221576,1.0755161683230046,1.0002685379221576,1.0755161683230046,0.03685942286220852,1.3608264363787317,1.336507422902513,1.3564444478039634,1.7862521029583505,1.8399415402408106,1.8518485899472383,0.0,0.0,0.0,0.0,-0.001128348409809947,0.004205188943473554,0.0022848397130141767,0.004219265286635734,0.01901876853495414,4.581669708536172,4.159167338529765e-06,0.00021653243529012368,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,1.741838040073307e-05,0.013944772540993912,2.560113126363785e-13,1.0043898480353297,1.0836493000491147,1.0043898480353297,1.0836493000491147,1.0043898480353297,1.0836493000491147,0.047583868703894694,1.3610322693515258,1.3386471765510983,1.3562504461557443,1.7919762658541925,1.8394152727051292,1.852408838216164,0.0,0.0,0.0,0.0,-0.0010947084868261564,0.0040274053346545415,0.0023201938251095414,0.004245320447475258,0.022747924706936755,4.581665919318036,4.844494057907588e-06,0.00019562605434448455,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,1.8965911273215777e-05,0.013944524949686546,3.3348109748863224e-13,0.9954349572447652,1.067272705135695,0.9954349572447652,1.067272705135695,0.9954349572447652,1.067272705135695,0.06839080566813499,1.3609203076705145,1.3358913877426666,1.3563317676822548,1.7846057998451068,1.839635864106776,1.852104083830008,0.0,0.0,0.0,0.0,-0.0009957167927655357,0.004239629623188857,0.0024313145548551063,0.00448088218694647,0.024441497743331278,4.581660179310869,4.419829276722454e-06,0.0002013392929096678,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,1.96135010305553e-05,0.01394427614489625,5.157905091165638e-13,0.9953378183918992,1.067518056665198,0.9953378183918992,1.067518056665198,0.9953378183918992,1.067518056665198,0.03993353570643882,1.3608309734092507,1.3305829605850965,1.3541252578699114,1.770451015403996,1.833655214004463,1.8518609381899689,0.0,0.0,0.0,0.0,-0.001152458360620677,0.004276136194930045,0.0023032514213150936,0.004379988500816025,0.024481613688588703,4.581655789638681,5.503524639341125e-06,0.0002114894476546372,0.09802657009656482,0.0,0.0,0.9999391898016046,0.004019309422889639,0.19113053648203987,0.042995237205843514,0.11281145654561481,8.84320638454934e-06,1.0770294646005962e-05,0.5491265750682264
6,1.760095120637622e-05,0.013944045685540023,6.636690862818365e-13,0.9984846063449399,1.071824124734559,0.9984846063449399,1.071824124734559,0.9984846063449399,1.071824124734559,0.036816835849209396,1.3609151672747652,1.3366533369451914,1.3564028937290789,1.786642143456384,1.8398288102237177,1.8520900925185022,0.0,0.0,0.0,0.0,-0.0010953350312411189,0.004049838561685174,0.0023425181527257405,0.0043530088801078575,0.021927107175823985,4.581650297753563,4.380334258221461e-06,0.00019489972596321405,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.7214829039541283e-05,0.013943820510753721,8.28796111566797e-13,1.0058599529254133,1.086334106738173,1.0058599529254133,1.086334106738173,1.0058599529254133,1.086334106738173,0.078450212259638,1.3610616172876517,1.3379528719435871,1.355311816250936,1.7901178887450864,1.8368701194009915,1.8524887260536782,0.0,0.0,0.0,0.0,-0.0009703649031633494,0.0040340080557988555,0.002498541916687686,0.004300081717701947,0.02100287462293242,4.581644722447728,4.721656703598764e-06,0.00019089970159065514,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.864811523012686e-05,0.01394357346029299,1.1440896496651712e-12,1.0022252034958867,1.0798957872724428,1.0022252034958867,1.0798957872724428,1.0022252034958867,1.0798957872724428,0.02537877292477187,1.361054282921677,1.336175474123158,1.3559777325404103,1.785364900576918,1.8386756111582516,1.8524687610594404,0.0,0.0,0.0,0.0,-0.0010620561458966258,0.004185708061139724,0.0023631529846369005,0.004007350530252246,0.0266375255073129,4.58164018239784,6.243607923868071e-06,0.00020650193665931065,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,1.7549369263203146e-05,0.013943333514995066,1.2481644824092647e-12,0.9997685729657205,1.0720699617100222,0.9997685729657205,1.0720699617100222,0.9997685729657205,1.0720699617100222,0.06250650725627799,1.361066372115112,1.337862298749428,1.3573843660339882,1.7898755304827927,1.8424923224699772,1.8525016693025924,0.0,0.0,0.0,0.0,-0.00099242391199689,0.004069946442166032,0.0024433972379574813,0.0046166853201765196,0.022756417295530493,4.581634942205373,4.13721778792631e-06,0.0001837096065765086,0.09944211729575693,0.019034478983348924,1.0,0.9999390509014655,0.008050672498000955,0.24294836520701096,0.042995237206365916,0.11295739853514943,8.848627308817315e-06,8.70074195438583e-06,0.49578659061150515
