iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.09802657009656482,0.0,0.0,False,2000,4096,1e-07,1.0010778286068114,1.0765050795838236,0.033223406788488535,1.361092253248186,1.3375777740226318,1.3559899432338,10.0,1.0
9,0.09944211729575693,0.019034478983348924,1.0,False,2000,4096,1e-07,0.9930609672450293,1.062838801151346,0.05438059583540005,1.3610907727530905,1.3330595622138965,1.3563433707862966,10.0,1.0
10,0.09169100489952119,0.01964217022671375,1.0,False,2000,4096,1e-07,1.0046154160180296,1.0826696734520493,0.06291128887039445,1.3609652740654992,1.3355972903818332,1.3546915911179085,10.0,1.0
15,0.09378395570755499,0.01966168937872725,1.0,False,2000,4096,1e-07,1.000874543491752,1.076912327725729,0.05581716224829231,1.3610159504624342,1.3373926096184459,1.3572955651303282,10.0,1.0
19,0.09515069043482693,0.018390764077882798,1.0,False,2000,4096,1e-07,0.9963995962627741,1.0699160268169576,0.040296026799988914,1.3610998449115423,1.3360036118690506,1.355671952154479,10.0,1.0
20,0.0941892510792005,0.021322560280148308,1.0,False,2000,4096,1e-07,0.9978067185467915,1.071255386751064,0.020842340855881672,1.361034049300533,1.3346109742096817,1.3551946346777437,10.0,1.0
25,0.09516293315123271,0.023565014118811147,1.0,False,2000,4096,1e-07,0.9945866873382812,1.0661243873764332,0.02454438280133467,1.3609926383912174,1.3354626465814032,1.3559553368062511,10.0,1.0
29,0.086368250537969,0.019343111273826298,1.0,False,2000,4096,1e-07,1.0049705339041852,1.085158311483934,0.0666095344380701,1.3609653944572346,1.3370682553651574,1.3570209274364426,10.0,1.0
30,0.09182215102943427,0.01931480288184749,1.0,False,2000,4096,1e-07,0.9969346107500995,1.068767844007122,0.026361386988399196,1.3610748432146762,1.3345856031320718,1.3573049711905694,10.0,1.0
35,0.08860179569410925,0.01834883623934927,1.0,False,2000,4096,1e-07,1.003061259027331,1.0813049637493044,0.064544976836761,1.3608624519629895,1.3381658182365022,1.3569962051361648,10.0,1.0
39,0.09709550332107693,0.020127867390799217,1.0,False,2000,4096,1e-07,0.9988725722748943,1.073129714998741,0.08308200862839349,1.3610665075769153,1.3372649290801353,1.3554369748775756,10.0,1.0
40,0.11357314251667501,0.02582226501533838,1.0,False,2000,4096,1e-07,0.9969642476243288,1.070490462115103,0.029913234143686157,1.3608267856622314,1.3362340360603187,1.35553469617803,10.0,1.0
45,0.09533418463563971,0.027966474137397626,1.0,False,2000,4096,1e-07,0.9932044430876271,1.0623811109396817,0.042121287171887505,1.3610709763191686,1.3333468497789096,1.356235058614496,10.0,1.0
49,0.09561026549330498,0.02158555400949953,1.0,False,2000,4096,1e-07,0.9951702584247313,1.0674531782257264,0.07305967916525334,1.3609558779192878,1.336023897423519,1.356447677228287,10.0,1.0
50,0.09564889992849666,0.020371625357941372,1.0,False,2000,4096,1e-07,0.9936078256154486,1.0640217564326804,0.09163694524951414,1.3607104077643066,1.3349708238910405,1.3560162871891912,10.0,1.0
55,0.08899136775677685,0.020171199632552157,1.0,False,2000,4096,1e-07,1.0032633281850383,1.0807898922050487,0.05828929240180635,1.3610055062580697,1.3358822842672378,1.3554204993418708,10.0,1.0
59,0.09715838190972843,0.021437835625825498,1.0,False,2000,4096,1e-07,0.9941460422348496,1.0654754874101646,0.08878142041029953,1.3608167480342457,1.3334764249616042,1.3546601291024636,10.0,1.0
60,0.09857393514061355,0.020372634909272998,1.0,False,2000,4096,1e-07,0.9996709594901627,1.0748916590554227,0.049993646481027505,1.36109877574028,1.3363633129537922,1.3570805658294194,10.0,1.0
65,0.09943665842874742,0.021439668570915383,1.0,False,2000,4096,1e-07,1.0067882723054684,1.0877447846609967,0.08277901665759932,1.3606657923699108,1.338392519575705,1.3566274690886841,10.0,1.0
69,0.08561391172168134,0.024865374978978786,1.0,False,2000,4096,1e-07,0.9998311180284063,1.0766776815645223,0.03404521095795628,1.3610101192984376,1.3348272551421938,1.3557381827223811,10.0,1.0
70,0.0940739334416197,0.021060201166813165,1.0,False,2000,4096,1e-07,0.9911176716722528,1.0574855961794578,0.06560285612482948,1.3610797236708831,1.3341306359937681,1.3564404566154,10.0,1.0
75,0.09966677048464824,0.021658899566855336,1.0,False,2000,4096,1e-07,1.002678483772765,1.0788917416256805,0.05563754735346216,1.3610269666928156,1.3334742101797517,1.354943939298794,10.0,1.0
79,0.08871838162517913,0.02184327093029703,1.0,False,2000,4096,1e-07,1.000076692693273,1.077506313712364,0.051778768594822666,1.3609262771487967,1.3385437511081992,1.3561770224425833,10.0,1.0
80,0.10079720168647431,0.02233854026748737,1.0,False,2000,4096,1e-07,1.0027156422241794,1.078747401205618,0.03831758412029429,1.361063921993069,1.3337534738597996,1.3545867011159867,10.0,1.0
85,0.09001200438792524,0.022694754579351002,1.0,False,2000,4096,1e-07,1.0018497259414514,1.076041702441099,0.06804829940101517,1.3610533396858724,1.336538045736414,1.3566314092115321,10.0,1.0
89,0.09164105088071305,0.019841166104004195,1.0,False,2000,4096,1e-07,0.9924704547593224,1.0627900487037985,0.03869109419232389,1.361066429965376,1.3390009379672414,1.356593366574113,10.0,1.0
90,0.10304988132719752,0.022407374647714876,1.0,False,2000,4096,1e-07,1.0068248154883919,1.088348379926282,0.07897905991099295,1.3610615701701876,1.335530438745315,1.3567991573450149,10.0,1.0
95,0.09357030945241966,0.02107654309807107,1.0,False,2000,4096,1e-07,1.0073730755743173,1.0890601798411788,0.0669430228954744,1.3610611400107384,1.3381108500837984,1.3568514928715607,10.0,1.0
99,0.0923862916173552,0.020945029753483894,1.0,False,2000,4096,1e-07,0.9964630347155299,1.07010878347937,0.05119871963322672,1.361063219763354,1.3353943356147089,1.3556815914143718,10.0,1.0
100,0.09259645924984346,0.019510047390062783,1.0,False,2000,4096,1e-07,1.0048977703730941,1.0840371263147341,0.02668413841860185,1.3609536677130682,1.3376762005184881,1.3560553267048039,10.0,1.0
105,0.09553486502281495,0.019606583540404145,1.0,False,2000,4096,1e-07,1.0015107841139628,1.079537505931253,0.04235338916361577,1.3610835911228656,1.33585086555747,1.3549845915227812,10.0,1.0
109,0.09823565640800179,0.019016185508981594,1.0,False,2000,4096,1e-07,0.9996173828724628,1.0736127209198307,0.06120285105574683,1.3610841682575074,1.333110779283046,1.3555545851863813,10.0,1.0
110,0.09262813802935527,0.02009277660282599,1.0,False,2000,4096,1e-07,1.0026885412360396,1.080808279296539,0.025160896169753547,1.3606644342847312,1.3370882218518978,1.3560526995562054,10.0,1.0
115,0.0972786473130176,0.01981650509263908,1.0,False,2000,4096,1e-07,1.0004073162217708,1.0749058497491384,0.0560443613448724,1.3610777431373031,1.3360188239243103,1.3558870102262137,10.0,1.0
119,0.08435409125408816,0.02346740508959556,1.0,False,2000,4096,1e-07,0.9977720614133267,1.071299305907944,0.07101803954414632,1.361017618657923,1.3380985093198914,1.356242219481452,10.0,1.0
120,0.0942820773408637,0.022638689872786336,1.0,False,2000,4096,1e-07,0.9959080786827914,1.0675379474127895,0.06097725021966439,1.3610872986363427,1.335010132399522,1.3552457357301746,10.0,1.0
125,0.09971798998880314,0.0206661749195989,1.0,False,2000,4096,1e-07,1.0019967019317622,1.0807355699716754,0.07862257188639867,1.361043019964135,1.3377761334344676,1.356467631570452,10.0,1.0
129,0.09561968366352364,0.01978491772932633,1.0,False,2000,4096,1e-07,1.0018751580415473,1.0794109879551383,0.08435034371551801,1.3609128671408373,1.3347879462320038,1.3561038051070728,10.0,1.0
130,0.09102303075747126,0.020092237765285355,1.0,False,2000,4096,1e-07,0.9985836783218591,1.0727159039997352,0.07622218127008416,1.3611092417653554,1.3361451785542338,1.3555001407128122,10.0,1.0
135,0.08863942777725337,0.01714435864392442,1.0,False,2000,4096,1e-07,0.9918959421106223,1.0606783607868706,0.05571723133918578,1.3611011443265764,1.3343852962561702,1.3554767558506178,10.0,1.0
139,0.10107758094389879,0.021923743084598827,1.0,False,2000,4096,1e-07,0.9983450811608815,1.0711886446424133,0.05596119134993311,1.361027085666442,1.3355708870594665,1.3555527739893183,10.0,1.0
140,0.09733982015621247,0.01937530302662688,1.0,False,2000,4096,1e-07,1.0052508408257756,1.0847939542908782,0.07582857175264526,1.3609826727912686,1.3361198023791554,1.3559888244226475,10.0,1.0
145,0.09043285169794289,0.019053996042628828,1.0,False,2000,4096,1e-07,1.0025491704701284,1.0785464808244887,0.06706509588298806,1.3607998276577284,1.3340914662858094,1.3552101079665804,10.0,1.0
149,0.09742569945655949,0.02086139531363218,1.0,False,2000,4096,1e-07,1.0050884648797458,1.0857445820939575,0.04479567976050712,1.360989792335053,1.3382646314748285,1.3553058713453712,10.0,1.0
150,0.09359052956045112,0.02156148292102043,1.0,False,2000,4096,1e-07,1.0008854614412905,1.0782509529639759,0.03020377265265706,1.3608255271534087,1.3385168536096945,1.3568214705452717,10.0,1.0
155,0.09520467169234395,0.01989250405601756,1.0,False,2000,4096,1e-07,0.999730321887652,1.075810477385452,0.05459532702277108,1.3607783490793954,1.335930694540177,1.3551760518158182,10.0,1.0
159,0.1039163451243627,0.023566853255606948,1.0,False,2000,4096,1e-07,1.0036070817834455,1.0807324204120772,0.08009585311572166,1.3609091310478596,1.3369822525381334,1.356914098711008,10.0,1.0
160,0.08305227068895632,0.029437075659185238,1.0,False,2000,4096,1e-07,0.9950029635454994,1.0684215618108834,0.03859095852423803,1.361062927631483,1.3376171920137172,1.3555336269088025,10.0,1.0
165,0.10258792697453929,0.028635406423180385,1.0,False,2000,4096,1e-07,0.997866947903832,1.0737960259311163,0.06205764047673039,1.3609656455884824,1.334964234925067,1.3546980498378278,10.0,1.0
169,0.10500091721653937,0.019394034332424842,1.0,False,2000,4096,1e-07,1.0034392698049626,1.0809619438449856,0.06944939082014745,1.3610785479588425,1.3380702119950143,1.3564695866457888,10.0,1.0
170,0.08761104473244345,0.02590510057002596,1.0,False,2000,4096,1e-07,0.9976333276852326,1.0707135441448727,0.07750917282690907,1.3610695928728453,1.3333784927729668,1.3558885284701976,10.0,1.0
175,0.09124699981591483,0.019399329748678702,1.0,False,2000,4096,1e-07,0.9975211866011059,1.0715070097435457,0.04709044132478277,1.361094300624888,1.3336742160661839,1.3549045638985968,10.0,1.0
179,0.09919869180169082,0.02273883066704569,1.0,False,2000,4096,1e-07,0.9963866000068423,1.0705735559430272,0.08160272305785601,1.3611033121517546,1.3387332216692158,1.356865274817067,10.0,1.0
180,0.0954106570529801,0.01874293394007383,1.0,False,2000,4096,1e-07,1.007921965952885,1.0911061777389577,0.0854123914532297,1.3610225644120508,1.3368506657748882,1.355945933733427,10.0,1.0
185,0.08362065354631679,0.022118470314629334,1.0,False,2000,4096,1e-07,1.004154041971881,1.0837227830548348,0.07926200086673967,1.3609215642580499,1.3355292366034495,1.355928294035449,10.0,1.0
189,0.08933767232086937,0.018794537779052423,1.0,False,2000,4096,1e-07,0.9991088791705411,1.0744665051538078,0.11177642620791774,1.3609791014606003,1.3351185372569698,1.3554391286829848,10.0,1.0
