iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,1.96135010305553e-05,8.84320638454934e-06,1.0770294646005962e-05,0.5491265750682264,8,200,200
9,1.7549369263203146e-05,8.848627308817315e-06,8.70074195438583e-06,0.49578659061150515,8,200,200
10,1.9049830002556668e-05,8.595882917196373e-06,1.0453947085360294e-05,0.54876852360138,8,200,200
15,1.7045493774655133e-05,9.028146632148434e-06,8.017347142506699e-06,0.4703499498751779,8,200,200
19,1.8932693313424478e-05,1.0182017687737576e-05,8.750675625686901e-06,0.4621991959000423,8,200,200
20,1.807647325948754e-05,9.03917858918699e-06,9.037294670300549e-06,0.4999478903085962,8,200,200
25,1.6326265276046653e-05,7.694373630704895e-06,8.631891645341758e-06,0.5287119558204275,8,200,200
29,1.613648470486703e-05,8.23243140740494e-06,7.904053297462088e-06,0.48982497997708857,8,200,200
30,1.6369635522125995e-05,9.331605747412175e-06,7.03802977471382e-06,0.4299441954709912,8,200,200
35,1.8622660009978195e-05,9.311282083752435e-06,9.31137792622576e-06,0.5000025732756028,8,200,200
39,1.8769668390334202e-05,8.710215708888629e-06,1.0059452681445573e-05,0.5359419501852191,8,200,200
40,1.9443792380834456e-05,1.017532280401533e-05,9.268469576819127e-06,0.476680134990279,8,200,200
45,1.6027247547874148e-05,7.2235321150111055e-06,8.803715432863041e-06,0.5492967776635337,8,200,200
49,1.604011974150256e-05,7.906347644788372e-06,8.133772096714188e-06,0.5070892379729989,8,200,200
50,1.6307561007727908e-05,7.519720548378437e-06,8.78784045934947e-06,0.5388813480559751,8,200,200
55,1.892146526637237e-05,9.944712299744288e-06,8.976752966628081e-06,0.4744216602813397,8,200,200
59,1.945689359566527e-05,1.0318111021122493e-05,9.138782574542775e-06,0.4696938146682763,8,200,200
60,1.858418357102551e-05,9.981408176416525e-06,8.602775394608986e-06,0.46290843833578577,8,200,200
65,1.6606074000739615e-05,8.271779553905361e-06,8.334294446834253e-06,0.5018822899658916,8,200,200
69,1.9023050329132508e-05,9.73472064188427e-06,9.288329687248239e-06,0.48826710367389364,8,200,200
70,1.6443919646061776e-05,8.732384280914629e-06,7.711535365147147e-06,0.46895968425593804,8,200,200
75,1.5527504301493904e-05,8.227936377692692e-06,7.299567923801212e-06,0.4701056771305431,8,200,200
79,1.583958567109916e-05,7.310919657048156e-06,8.528666014051005e-06,0.5384399687683985,8,200,200
80,1.786034678683056e-05,8.50948143965671e-06,9.35086534717385e-06,0.5235545232564448,8,200,200
85,1.8215562089970124e-05,9.053769912721226e-06,9.161792177248897e-06,0.5029651092838675,8,200,200
89,1.9476433760880487e-05,9.663784276559549e-06,9.812649484320938e-06,0.5038216751996044,8,200,200
90,1.7056130600884898e-05,7.4413274058478465e-06,9.61480319503705e-06,0.5637153830504921,8,200,200
95,1.9597739437235674e-05,1.0144020935460366e-05,9.453718501775308e-06,0.48238821278607563,8,200,200
99,1.7059729577376595e-05,9.370462402868394e-06,7.6892671745082e-06,0.4507262052210465,8,200,200
100,1.841351192410153e-05,9.558260832574495e-06,8.855251091527035e-06,0.4809104926875115,8,200,200
105,1.9401797929487725e-05,1.0197016495419696e-05,9.20478143406803e-06,0.47442930121842924,8,200,200
109,1.691031113512595e-05,9.322262295757666e-06,7.588048839368284e-06,0.44872319490363816,8,200,200
110,1.7129080798029368e-05,8.724593888023928e-06,8.40448691000544e-06,0.4906560374782249,8,200,200
115,1.7032037920046086e-05,8.624333973851008e-06,8.407703946195078e-06,0.4936405135817316,8,200,200
119,1.942631959180751e-05,1.0740947600742611e-05,8.685371991064898e-06,0.4470930250075626,8,200,200
120,1.5940002341565347e-05,7.574369290717704e-06,8.365633050847642e-06,0.5248200641121183,8,200,200
125,1.7579281227525316e-05,8.990805996950524e-06,8.588475230574792e-06,0.48855667756922366,8,200,200
129,1.6960460200087212e-05,8.383683368028368e-06,8.576776832058845e-06,0.5056924594542984,8,200,200
130,1.723029350299015e-05,8.918158962524589e-06,8.312134540465561e-06,0.4824139843597598,8,200,200
135,1.5788035257250924e-05,7.932099134947125e-06,7.8559361223038e-06,0.4975879515277765,8,200,200
139,1.6251952992853293e-05,8.198127068529359e-06,8.053825924323934e-06,0.4955604983515249,8,200,200
140,1.7254752829593272e-05,8.464001814530465e-06,8.790751015062807e-06,0.5094683825308682,8,200,200
145,1.7119518122022344e-05,8.887594346841547e-06,8.231923775180797e-06,0.4808502036392805,8,200,200
149,1.7446503563842716e-05,8.657750805149855e-06,8.78875275869286e-06,0.5037543899000629,8,200,200
150,1.823163874427172e-05,1.0252532932746806e-05,7.979105811524914e-06,0.4376515969543278,8,200,200
155,1.9952213561531626e-05,1.0305879353315523e-05,9.646334208216103e-06,0.48347188037393907,8,200,200
159,1.6463600856654784e-05,7.445372542251572e-06,9.018228314403212e-06,0.547767672025281,8,200,200
160,1.9097360347024752e-05,9.367990152578683e-06,9.72937019444607e-06,0.5094615181182275,8,200,200
165,1.759730022126911e-05,9.0406588434497e-06,8.556641377819411e-06,0.4862473942154696,8,200,200
169,1.6406888421715317e-05,8.843301720185552e-06,7.563586701529765e-06,0.4610006789294056,8,200,200
170,1.8717399239491233e-05,9.300243912886774e-06,9.417155326604458e-06,0.5031230677996924,8,200,200
175,1.7859311482130243e-05,8.737542660027084e-06,9.121768822103159e-06,0.5107570261726082,8,200,200
179,1.6625113526556897e-05,9.135567865672948e-06,7.489545660883948e-06,0.45049591083514556,8,200,200
180,1.8004933159191018e-05,8.90802994301716e-06,9.096903216173858e-06,0.5052450423305316,8,200,200
185,1.919757502340339e-05,9.04264904812103e-06,1.015492597528236e-05,0.5289692038136424,8,200,200
189,1.7032042875166656e-05,8.626890137744982e-06,8.405152737421674e-06,0.4934905811960288,8,200,200
190,1.8139459083524316e-05,9.563185530926127e-06,8.576273552598188e-06,0.4727965433317598,8,200,200
195,1.7416448812564022e-05,7.994268214178767e-06,9.422180598385255e-06,0.5409932127833204,8,200,200
199,1.8628833809270976e-05,8.02176472608614e-06,1.0607069083184836e-05,0.569389860459544,8,200,200
