iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999391898016046,0.9999391898016046,7.771566736236964e-06,20,4096,0.0001,1.0015715066487345,1.0784179882330975,0.014431023252072765,1.3610946473898642,1.3377126691096184,1.356468850025751,10.0,1.0
9,0.9999390509014655,0.9999390509014655,3.4809914849088115e-06,20,4096,0.0001,1.002649319440847,1.0810211899156508,0.010541838401750743,1.3610794511305635,1.33646352308243,1.356443493939706,10.0,1.0
10,0.9999381817205882,0.9999381817205882,2.813326805725034e-06,20,4096,0.0001,1.0005018356614488,1.0760282678215023,0.01646109746126382,1.3611079810879758,1.3355987297907181,1.35587167455208,10.0,1.0
15,0.9999403172585555,0.9999403172585555,3.725841636330405e-06,20,4096,0.0001,0.9983931884929124,1.072140930113248,0.040506034649614484,1.3610860232059119,1.3353763496286104,1.355964576440981,10.0,1.0
19,0.9999361432239695,0.9999361432239695,1.0766523909474819e-05,20,4096,0.0001,0.9991318919054801,1.0744312098413797,0.028824783766312017,1.3611082349246686,1.335607506001599,1.3559953226266848,10.0,1.0
20,0.9999354983997345,0.9999354983997345,6.923367411652405e-06,20,4096,0.0001,0.9981046847409321,1.0719221933255252,0.040613416516726966,1.3611022854280759,1.335784294027833,1.3562977334069022,10.0,1.0
25,0.9999385682751831,0.9999385682751831,7.754684386453502e-06,20,4096,0.0001,1.0004224767796577,1.0767731760373378,0.018225315660252674,1.3610634682152174,1.3366363280609386,1.356004170858943,10.0,1.0
29,0.9999392115207915,0.9999392115207915,3.000213443579623e-06,20,4096,0.0001,0.9992451821991521,1.0739157680537297,0.03238088352349259,1.361093155222806,1.3353044967037109,1.3562087861587813,10.0,1.0
30,0.9999367500313147,0.9999367500313147,9.622064479537719e-06,20,4096,0.0001,0.9972844142845463,1.0703485600288103,0.03189454373841163,1.3611078015777585,1.334882869420942,1.3555798224944706,10.0,1.0
35,0.999938635415184,0.999938635415184,3.550408441671355e-06,20,4096,0.0001,1.0010852838520994,1.0788070857257632,0.03604984490015333,1.3611032396963556,1.3371528675623185,1.356519524940332,10.0,1.0
39,0.9999343109735632,0.9999343109735632,7.525194588867253e-06,20,4096,0.0001,1.0019584421258356,1.079549008102459,0.025688513201419,1.3611101919074842,1.3363568754128257,1.3565798727934235,10.0,1.0
40,0.9999339422773368,0.9999339422773368,6.213419287255633e-06,20,4096,0.0001,0.9974702990761602,1.0716864932999615,0.034243123035057485,1.3610913315857058,1.3361384425357323,1.3564357804652492,10.0,1.0
45,0.9999305267888183,0.9999305267888183,1.2018786614718552e-05,20,4096,0.0001,0.9998037404057877,1.0754511635317447,0.00916507583185219,1.361076805241268,1.3361614250621894,1.3559294303888714,10.0,1.0
49,0.9999391726489301,0.9999391726489301,4.0488381382677405e-06,20,4096,0.0001,1.003103488010312,1.0820925409140232,0.016467043620100392,1.3611085668952398,1.336937696865853,1.3562010689961772,10.0,1.0
50,0.9999347953961677,0.9999347953961677,1.1772481468945616e-05,20,4096,0.0001,0.9998719572780844,1.0756619286972398,0.021417577426859024,1.3611068920998213,1.3364142199651075,1.356217840483704,10.0,1.0
55,0.9999338951702695,0.9999338951702695,7.422818166787488e-06,20,4096,0.0001,1.000029619050396,1.0756151967047614,0.013489117569554208,1.361110636757428,1.3369190402194655,1.3558986975310758,10.0,1.0
59,0.9999372201181923,0.9999372201181923,4.310418135595235e-06,20,4096,0.0001,0.9987042204235302,1.073871176070052,0.03486586618433315,1.3610872435469208,1.3354434014306782,1.3562677672590482,10.0,1.0
60,0.9999354900215067,0.9999354900215067,3.6982486848184663e-06,20,4096,0.0001,1.0017142529879857,1.0788530980795976,0.02829371109743173,1.3611083738587997,1.3371033948082416,1.3563529249376292,10.0,1.0
65,0.999930287872353,0.999930287872353,1.4727839847731714e-05,20,4096,0.0001,0.9972641877561073,1.0701442343700656,0.04011536055282402,1.361106720477843,1.335505532273029,1.3564260629049174,10.0,1.0
69,0.9999363791242067,0.9999363791242067,3.663650436440995e-06,20,4096,0.0001,0.9982044837007352,1.0721947031143078,0.03110239726243642,1.3610729166988749,1.337621047738459,1.3568321495243993,10.0,1.0
70,0.9999354688445611,0.9999354688445611,4.8956310163455116e-06,20,4096,0.0001,0.9993838370587964,1.0744826201222706,0.007272533038627932,1.3611096233223816,1.335961752093616,1.3562570030848098,10.0,1.0
75,0.9999378536945277,0.9999378536945277,6.2924226406201095e-06,20,4096,0.0001,1.0003007597665794,1.076028290513446,0.029172540588902743,1.361086095681264,1.3360289495699693,1.3561215141955592,10.0,1.0
79,0.999937412831478,0.999937412831478,6.46513892018811e-06,20,4096,0.0001,1.0014388590172651,1.0779969001355445,0.025640858061234714,1.3611076258741241,1.3357448347488472,1.356173207459223,10.0,1.0
80,0.9999368024710168,0.9999368024710168,8.067488437874184e-06,20,4096,0.0001,1.000054001956537,1.0767608127225516,0.02589101859868674,1.3611107829886921,1.336495366709473,1.3558475815238802,10.0,1.0
85,0.9999319724496916,0.9999319724496916,1.2703668514988918e-05,20,4096,0.0001,0.997824970111893,1.0719169295469029,0.01062165845378281,1.3610942886451292,1.3357749446656009,1.356063843709189,10.0,1.0
89,0.9999310324004134,0.9999310324004134,1.2923746099499478e-05,20,4096,0.0001,1.0008935409741442,1.076916332717014,0.027553129907899335,1.3610920350098685,1.335840142517943,1.355817836021887,10.0,1.0
90,0.9999376925127526,0.9999376925127526,4.494934819080436e-06,20,4096,0.0001,1.0016070407025066,1.0791335094147951,0.030789325954833517,1.3611009955446336,1.3364958841241383,1.3565852445514743,10.0,1.0
95,0.9999397167443169,0.9999397167443169,6.82146119937959e-06,20,4096,0.0001,0.9996529142521238,1.0745095031099299,0.02145190254284872,1.3611090151764893,1.3363441044283357,1.3564911019401467,10.0,1.0
99,0.9999334900385829,0.9999334900385829,1.049654033028489e-05,20,4096,0.0001,1.0005878195421611,1.0765143090378766,0.012084806648216631,1.3610978217843734,1.3364488889117407,1.3561658011867859,10.0,1.0
100,0.9999356642103634,0.9999356642103634,4.458883457940993e-06,20,4096,0.0001,1.0010561300812126,1.0774547964218635,0.026988538648967567,1.3611084689886594,1.3359905685920745,1.3557726805549986,10.0,1.0
105,0.9999375013765859,0.9999375013765859,9.717652220022587e-06,20,4096,0.0001,1.0011972784726442,1.0784826769791849,0.024008850769506353,1.3611034116855087,1.3373636648531342,1.3559987262300188,10.0,1.0
109,0.9999350555417974,0.9999350555417974,5.014251945120437e-06,20,4096,0.0001,0.9994601177595926,1.0746805146289375,0.019806094595438178,1.361108351650692,1.336206159762458,1.3562198787621231,10.0,1.0
110,0.999937667402901,0.999937667402901,7.390111711271035e-06,20,4096,0.0001,0.9986377176979501,1.0730457977422758,0.014065609589939713,1.3611040923700082,1.3360611484074125,1.356047058635474,10.0,1.0
115,0.9999370709992272,0.9999370709992272,5.129369355080435e-06,20,4096,0.0001,1.0024351615672356,1.0795364967876095,0.011032255789062887,1.3611017975357464,1.3365447373240502,1.3560909174775324,10.0,1.0
119,0.9999369929533573,0.9999369929533573,5.490125344734801e-06,20,4096,0.0001,0.9990095076635712,1.0734029886955034,0.03440486784481032,1.3610914528242952,1.335920264148256,1.3563090113982494,10.0,1.0
120,0.9999404004198773,0.9999404004198773,6.642242280264049e-06,20,4096,0.0001,1.0001634311765086,1.0764196123789287,0.022584176308353344,1.3610955476754416,1.3361085240244726,1.3562079772255804,10.0,1.0
125,0.9999401065053983,0.9999401065053983,4.1017999966929964e-06,20,4096,0.0001,0.9983188004757997,1.0728777487741286,0.03089329499301639,1.3610996627689036,1.3365508174494216,1.3566442557198488,10.0,1.0
129,0.9999383472355016,0.9999383472355016,6.83916907431656e-06,20,4096,0.0001,1.0002163799351995,1.0767644500234617,0.01928684335168066,1.361105427659045,1.3365525931525115,1.3559608125032474,10.0,1.0
130,0.9999365595581786,0.9999365595581786,8.747859145562311e-06,20,4096,0.0001,1.003261930343077,1.0817481322926032,0.034791696476577844,1.3610544346026336,1.3363530557921286,1.3565551157291615,10.0,1.0
135,0.999934956581245,0.999934956581245,4.950588513545925e-06,20,4096,0.0001,0.9994569722611584,1.0745832200516414,0.01047492134204296,1.3611041809811701,1.3367599110946875,1.3562814250930337,10.0,1.0
139,0.9999328610880949,0.9999328610880949,1.2641243676630855e-05,20,4096,0.0001,0.9983731099248387,1.0728307798264838,0.03478604172662281,1.36106779196391,1.3360147070824393,1.3563553890701556,10.0,1.0
140,0.9999375120944647,0.9999375120944647,5.7919620882156845e-06,20,4096,0.0001,1.0023041663964187,1.0801864427231238,0.03300207561092021,1.3611076901111991,1.335664107009757,1.3559851525552735,10.0,1.0
145,0.9999377913753167,0.9999377913753167,7.920178576627332e-06,20,4096,0.0001,0.9998237036036864,1.0754141520482032,0.031973545790026384,1.3611016964732057,1.3361715899143871,1.3567063598286542,10.0,1.0
149,0.9999304089458547,0.9999304089458547,1.0602528038363422e-05,20,4096,0.0001,1.0007457764783827,1.0772261691554708,0.022794232529053538,1.361108173415927,1.3361648552972205,1.3562362093880764,10.0,1.0
150,0.9999369724861807,0.9999369724861807,5.727742066117707e-06,20,4096,0.0001,1.0015858189119697,1.07929854921291,0.03797176369925474,1.3610866464507623,1.3364477027409294,1.3561242271823153,10.0,1.0
155,0.9999368527152815,0.9999368527152815,6.585646759315795e-06,20,4096,0.0001,0.9996135921120837,1.0753328355821057,0.05224523038715946,1.3611069280019292,1.3372319228635587,1.356104299926162,10.0,1.0
159,0.9999339610932774,0.9999339610932774,9.15707795560176e-06,20,4096,0.0001,0.9977947307435684,1.0718395182146008,0.017747211586823568,1.3610949729130157,1.3364150568009359,1.3564821389950685,10.0,1.0
160,0.9999364801966526,0.9999364801966526,6.891390537494086e-06,20,4096,0.0001,0.9989351369883417,1.0734576349193374,0.021304304725469684,1.361050354147859,1.3361027683003617,1.3561925400971548,10.0,1.0
165,0.9999351680756661,0.9999351680756661,7.242208720952101e-06,20,4096,0.0001,1.0007998917681205,1.0772689914532907,0.04407110448632753,1.3611086588485262,1.3356703687125062,1.356286744689516,10.0,1.0
169,0.999938140325428,0.999938140325428,6.191978911819046e-06,20,4096,0.0001,0.9977529222966308,1.0716473960800483,0.018807956312772996,1.3610964340113918,1.3365253638117,1.3560040330455019,10.0,1.0
170,0.9999375101497123,0.9999375101497123,5.77217630134199e-06,20,4096,0.0001,1.0007434295602504,1.0762085741340983,0.03402520750461252,1.3610983521234024,1.336141357060615,1.3561404880801398,10.0,1.0
175,0.999935845855527,0.999935845855527,4.770280097564904e-06,20,4096,0.0001,1.000800015558133,1.0770069867127763,0.04075504447542533,1.361102503906375,1.3352401685289712,1.3554916989710475,10.0,1.0
179,0.9999381519196647,0.9999381519196647,4.204432970755728e-06,20,4096,0.0001,1.0006381709519856,1.077109094618889,0.0374490763158357,1.3610983666989096,1.3358804011230923,1.3560125133526733,10.0,1.0
180,0.9999302532786809,0.9999302532786809,1.2130558840490669e-05,20,4096,0.0001,0.9989026596188746,1.0730859997720643,0.02792785784835893,1.3610998841659938,1.3363505599595302,1.3562231693133822,10.0,1.0
185,0.9999307380231985,0.9999307380231985,6.831703800021078e-06,20,4096,0.0001,1.0001538764723592,1.0768003945506588,0.03337112107531469,1.3610690869868038,1.3351961437161792,1.3555643306291447,10.0,1.0
189,0.9999366230196632,0.9999366230196632,4.801880408253623e-06,20,4096,0.0001,1.002353569781648,1.0798318680010128,0.03028934775559904,1.361081417236973,1.3357325602305,1.356528336055213,10.0,1.0
190,0.9999283472292375,0.9999283472292375,7.287233939905943e-06,20,4096,0.0001,0.997550026162481,1.07130443987805,0.03350993069612997,1.361102712883984,1.3357910068699694,1.3561546040854402,10.0,1.0
195,0.9999378449012482,0.9999378449012482,8.890388585882626e-06,20,4096,0.0001,1.0028751669981721,1.080038329914486,0.016568920497082303,1.3611009390043367,1.3366671545998143,1.3562752991365346,10.0,1.0
199,0.9999365051589537,0.9999365051589537,5.132657861161083e-06,20,4096,0.0001,1.0002551524410472,1.0757589588678507,0.019631997280356767,1.3610962865380236,1.335307207839769,1.3556324446625443,10.0,1.0
