iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,1.817276970917235e-05,0.013945655794976381,5.177776674548559e-14,1.00347507941695,1.0815533003485793,1.00347507941695,1.0815533003485793,1.00347507941695,1.0815533003485793,0.0696958002442007,1.3609692397155284,1.341099057199669,1.3570660479006915,1.7985466815329205,1.8416282585548438,1.8522372714518633,0.0,0.0,0.0,0.0,-0.001003333319913481,0.004143198276491694,0.0024197750218165294,0.004369873074138372,0.02423327973469177,4.581684454900007,5.17468069973208e-06,4.930008828891441e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,1.805186771253169e-05,0.01394559814520349,1.2397102270410618e-13,0.9997962629015441,1.0754905436944713,0.9997962629015441,1.0754905436944713,0.9997962629015441,1.0754905436944713,0.056802758983139044,1.3611109032612028,1.3310936457809863,1.355584331947065,1.771810296261482,1.837608882347124,1.8526228909765272,0.0,0.0,0.0,0.0,-0.0010383490166255625,0.004119914930214508,0.0025707722551044365,0.004274326416635601,0.023767081493187518,4.58168332802162,4.696017353998631e-06,4.753459233201789e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,1.8964758197968646e-05,0.01394553495017686,1.9113026155145912e-13,1.000268538103991,1.0755161685516363,1.000268538103991,1.0755161685516363,1.000268538103991,1.0755161685516363,0.03685942011103469,1.3608264365473457,1.3365074109297341,1.3564444486807474,1.7862520709552514,1.8399415426194383,1.851848590406147,0.0,0.0,0.0,0.0,-0.0011285211415397911,0.0042060906113713685,0.0022856031520908254,0.004220246250817006,0.019019485852384214,4.581681800159418,4.159534255175586e-06,5.414641435842822e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,1.7429106439331895e-05,0.013945479261139947,3.2185206411547855e-13,1.0043898475634836,1.083649299400931,1.0043898475634836,1.083649299400931,1.0043898475634836,1.083649299400931,0.0475838590116285,1.3610322683710645,1.3386471851037842,1.356250439677981,1.7919762887526156,1.8394152551341876,1.8524088355472854,0.0,0.0,0.0,0.0,-0.0010949560848290982,0.004028669459216979,0.0023206212654895814,0.004245435480474957,0.022748554450377115,4.581680847471098,4.845338691303701e-06,4.8925671692118345e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,1.8981315412662995e-05,0.013945417305952012,4.4051817193865295e-13,0.9954349575808342,1.067272705766602,0.9954349575808342,1.067272705766602,0.9954349575808342,1.067272705766602,0.06839078429924254,1.3609203051940275,1.3358914274789517,1.3563317778504664,1.7846059060118244,1.8396358916896787,1.852104077089405,0.0,0.0,0.0,0.0,-0.0009960945775058965,0.004241357212653321,0.0024343725225290597,0.004481986589615339,0.024439702308819377,4.581679405077285,4.421148460056258e-06,5.036135812482449e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,1.9634889295502982e-05,0.013945355030231105,7.010438815294944e-13,0.9953378169921677,1.067518054774862,0.9953378169921677,1.067518054774862,0.9953378169921677,1.067518054774862,0.03993350065962092,1.360830976735207,1.3305829356178334,1.354125252536219,1.7704509489617255,1.8336551995594734,1.8518609472420973,0.0,0.0,0.0,0.0,-0.0011529425369181047,0.004278505907681773,0.0023036389036136936,0.004378378893381383,0.02448385939365867,4.5816782983104005,5.504527248772693e-06,5.290734070869481e-05,0.02537092672106698,0.0,0.0,0.9999839229616087,0.00401930876521317,0.19113051346163307,0.042995237205952413,0.11281145672163893,8.852841899198562e-06,1.078204739630442e-05,0.5491269766809357
6,1.762377330976846e-05,0.013945297334116452,9.425016980656974e-13,0.9984846016111306,1.071824118159224,0.9984846016111306,1.071824118159224,0.9984846016111306,1.071824118159224,0.03681680689967281,1.360915161672328,1.3366532724490081,1.3564028872064942,1.7866419710380996,1.8398287925292003,1.852090077269619,0.0,0.0,0.0,0.0,-0.0010958803921109694,0.004052507800850625,0.0023428927225810172,0.004352937585629847,0.02193021496561211,4.58167691514056,4.382525645776438e-06,4.876355699009232e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.724094007117355e-05,0.013945240948199291,1.227338017484521e-12,1.005859956309835,1.0863341133252322,1.005859956309835,1.0863341133252322,1.005859956309835,1.0863341133252322,0.07845014793528188,1.361061620850545,1.3379528853810023,1.3553118269781061,1.7901179247027337,1.8368701484783032,1.8524887357523128,0.0,0.0,0.0,0.0,-0.0009709628474766295,0.004037099357211019,0.002498650724801533,0.0043197728200629545,0.021004853884866354,4.581675509777782,4.722615750533302e-06,4.776883744680768e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.8679223781936905e-05,0.013945179072758329,1.7275616909867336e-12,1.0022252002774326,1.0798957838090013,1.0022252002774326,1.0798957838090013,1.0022252002774326,1.0798957838090013,0.025378772053263263,1.3610542827118828,1.336175483167582,1.3559777426751816,1.7853649247450103,1.8386756386433225,1.8524687604883576,0.0,0.0,0.0,0.0,-0.0010627708975985812,0.004189241196345039,0.002363865952662157,0.004010506904758776,0.026639010921134226,4.581674360808214,6.247778310075164e-06,5.167905337947888e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,1.7578235453371047e-05,0.013945118976503029,1.992773819522807e-12,0.9997685747697905,1.0720699650866916,0.9997685747697905,1.0720699650866916,0.9997685747697905,1.0720699650866916,0.06250658880779683,1.3610663676290342,1.337862130595603,1.357384397857648,1.7898750805500014,1.8424924088640717,1.8525016570908932,0.0,0.0,0.0,0.0,-0.0009932145804349287,0.004073298448503684,0.002444263642047104,0.004614570927601981,0.02276047714984579,4.581673037020524,4.137815568689466e-06,4.597937025444497e-05,0.02574654111248718,0.004837210619326041,1.0,0.9999842791977007,0.008050671738586201,0.24294839104660476,0.042995237206855205,0.11295739828080797,8.863608278691337e-06,8.71462717467971e-06,0.49576234189128876
