iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,1.9634889295502982e-05,8.852841899198562e-06,1.078204739630442e-05,0.5491269766809357,8,200,200
9,1.7578235453371047e-05,8.863608278691337e-06,8.71462717467971e-06,0.49576234189128876,8,200,200
10,1.908935634149584e-05,8.613862477599927e-06,1.0475493863895914e-05,0.5487609784476921,8,200,200
15,1.7098539008509875e-05,9.055257725001524e-06,8.04328128350835e-06,0.4704075172449086,8,200,200
19,1.900575035970486e-05,1.0221690183020427e-05,8.784060176684434e-06,0.46217907793359236,8,200,200
20,1.8144775220824784e-05,9.072574200362666e-06,9.072201020462117e-06,0.49998971660172126,8,200,200
25,1.6409321577669456e-05,7.736095552125584e-06,8.673226025543872e-06,0.5285548207761854,8,200,200
29,1.622774194223304e-05,8.278705274229874e-06,7.949036668003165e-06,0.4898424374937606,8,200,200
30,1.646855914199153e-05,9.390926504635905e-06,7.077632637355624e-06,0.42976635517002076,8,200,200
35,1.87472350610382e-05,9.372046702198357e-06,9.375188358839842e-06,0.5000837898663791,8,200,200
39,1.8925938299107234e-05,8.786999320729576e-06,1.0138938978377658e-05,0.535716582086497,8,200,200
40,1.9596702695813267e-05,1.0253268779879453e-05,9.343433915933814e-06,0.476786021657102,8,200,200
45,1.6179833759650827e-05,7.290257141476313e-06,8.889576618174514e-06,0.5494232357530946,8,200,200
49,1.6200540569452415e-05,7.98806033335055e-06,8.212480236101865e-06,0.506926309087935,8,200,200
50,1.6468612566410298e-05,7.593699205509886e-06,8.874913360900411e-06,0.5388986670924457,8,200,200
55,1.9128586395208243e-05,1.004928470876389e-05,9.079301686444353e-06,0.474645721270796,8,200,200
59,1.968094421875092e-05,1.0432354736184154e-05,9.248589482566767e-06,0.4699261061750899,8,200,200
60,1.8800120199733674e-05,1.009595985656976e-05,8.704160343163914e-06,0.4629842921582607,8,200,200
65,1.683612161261055e-05,8.389484336499762e-06,8.446637276110787e-06,0.5016973309211611,8,200,200
69,1.9295397303380307e-05,9.865966305803997e-06,9.42943099757631e-06,0.4886880974419943,8,200,200
70,1.6694214217131785e-05,8.864436434256871e-06,7.829777782874914e-06,0.46901145996077553,8,200,200
75,1.5765702971714187e-05,8.353656518351603e-06,7.4120464533625845e-06,0.47013739042659897,8,200,200
79,1.6090759792587814e-05,7.430208472497067e-06,8.660551320090748e-06,0.5382313471661058,8,200,200
80,1.815872440211167e-05,8.655575205587507e-06,9.503149196524164e-06,0.5233379276034965,8,200,200
85,1.8510988615610634e-05,9.19788568745238e-06,9.313102928158254e-06,0.5031121309374236,8,200,200
89,1.982604021125163e-05,9.836702899760786e-06,9.989337311490843e-06,0.5038493418278107,8,200,200
90,1.7368662107645953e-05,7.572397763215865e-06,9.796264344430088e-06,0.5640195130583847,8,200,200
95,1.9963494330906248e-05,1.0323127317238465e-05,9.640367013667783e-06,0.4828997796614775,8,200,200
99,1.7392654513129318e-05,9.556292200461809e-06,7.836362312667509e-06,0.45055585429768746,8,200,200
100,1.8785740860174062e-05,9.758943342521155e-06,9.026797517652906e-06,0.48051325656204474,8,200,200
105,1.9793258846542563e-05,1.0395938916689883e-05,9.39731992985268e-06,0.47477376023373635,8,200,200
109,1.730427580200233e-05,9.532478073616677e-06,7.771797728385652e-06,0.44912585867860205,8,200,200
