iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.03127799648004052,0.0,0.0,False,2000,4096,1e-07,1.0010193927402058,1.0764509975243182,0.03268946616034109,1.3611986309730597,1.3361439905556172,1.3555619864574688,10.0,1.0
9,0.02606576628468811,0.007626145006356991,1.0,False,2000,4096,1e-07,0.9929108278154637,1.0626453600777246,0.055771318800882715,1.3613087094747267,1.333105355361742,1.3561645731215217,10.0,1.0
10,0.028334306832398414,0.0059260383551452646,1.0,False,2000,4096,1e-07,1.0045318066732845,1.0826283004293964,0.06565558710389786,1.361067914134983,1.3352060265626204,1.354980634940013,10.0,1.0
15,0.02648990479373015,0.005779911681773576,1.0,False,2000,4096,1e-07,1.0009400577723373,1.0771867418153342,0.05511612478695512,1.3610757398467994,1.3373508207624347,1.3572213061012242,10.0,1.0
19,0.03141333810426908,0.007609923579652611,1.0,False,2000,4096,1e-07,0.9964508256616902,1.0701048235196995,0.041149385551687664,1.3615429248862962,1.3359557378856863,1.3555122759260492,10.0,1.0
20,0.03022079170013449,0.005896543066034546,1.0,False,2000,4096,1e-07,0.9977294679539616,1.0711713096316111,0.020900471356711338,1.361217655702465,1.3341517780782182,1.3555034765526663,10.0,1.0
25,0.03371438249694359,0.00677065909295645,1.0,False,2000,4096,1e-07,0.9946026106871353,1.0662266530998081,0.024954963238803224,1.3614079376548867,1.334735490775981,1.3562069990442407,10.0,1.0
29,0.02619548940886743,0.009204242357635926,1.0,False,2000,4096,1e-07,1.005064334408203,1.0854178702915287,0.06462907352279597,1.3613732555927143,1.3370487810378795,1.3569392401173785,10.0,1.0
30,0.028797908833740518,0.00613824897208595,1.0,False,2000,4096,1e-07,0.9972167859890102,1.0693583182440238,0.027253623240858588,1.361333405739152,1.3349886721431832,1.3574260884100764,10.0,1.0
35,0.027558170269084997,0.005720053239473312,1.0,False,2000,4096,1e-07,1.0030996381754356,1.0814728860387302,0.06765402828651987,1.36124251850938,1.3388332105326683,1.356638184026169,10.0,1.0
39,0.03022643160373677,0.006365556823597486,1.0,False,2000,4096,1e-07,0.9986270016558132,1.0727673889301221,0.08321842785406819,1.3610383312409844,1.33751946553013,1.355794712214277,10.0,1.0
40,0.03120368796656081,0.00575365158106796,1.0,False,2000,4096,1e-07,0.9968444229541252,1.0703655332673587,0.03151848982180757,1.3613037473280731,1.3365689698942254,1.3558606130540327,10.0,1.0
45,0.030810917170409617,0.0055876423689060865,1.0,False,2000,4096,1e-07,0.9931318518826797,1.0622794565899742,0.04245151086605097,1.3612357800899457,1.333787829875901,1.3567687573201692,10.0,1.0
49,0.026190097852342848,0.007150988831635625,1.0,False,2000,4096,1e-07,0.9951021800824921,1.0674553083027283,0.06968572341948633,1.3610622035595752,1.3360123938874247,1.356428366044799,10.0,1.0
50,0.028515664960401307,0.006210462927756375,1.0,False,2000,4096,1e-07,0.9933288943533527,1.0635511140454406,0.08820747745981519,1.3607780333209638,1.3350797153045202,1.3559163505027398,10.0,1.0
55,0.02740017757142998,0.0060102335721204225,1.0,False,2000,4096,1e-07,1.003090471728092,1.0804908284511652,0.05680836328843311,1.3609457985861246,1.336116490431899,1.3552668254895082,10.0,1.0
59,0.03192600499846796,0.007493776019025322,1.0,False,2000,4096,1e-07,0.9940914502461384,1.0653231048914944,0.08701712077924209,1.3611368324296615,1.3336503344589596,1.3548121734102603,10.0,1.0
60,0.03155285590274509,0.00564502508071579,1.0,False,2000,4096,1e-07,0.9998435133454232,1.0751576124364917,0.05009152714690048,1.361021190689604,1.3373659457057014,1.3571175881551412,10.0,1.0
65,0.030436137743565954,0.005799963324774678,1.0,False,2000,4096,1e-07,1.006932583602734,1.088058004571256,0.08363869075753345,1.3606693388211883,1.3383723846121391,1.356532651787298,10.0,1.0
69,0.02887166770429633,0.006044267702900654,1.0,False,2000,4096,1e-07,0.999888994935094,1.0768497003697608,0.03499196164962779,1.3609880087626007,1.3344264538940962,1.3555206726895883,10.0,1.0
70,0.03069822602875664,0.00556982869529461,1.0,False,2000,4096,1e-07,0.9910741574823316,1.057455257792202,0.06597751202667734,1.36116228600101,1.3335486384534623,1.3571671750763898,10.0,1.0
