iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999832718916286,0.9999832718916286,2.8132526156259624e-06,20,4096,2.5e-05,1.0015092508872687,1.078325863772028,0.01475680404642452,1.361507503727805,1.338072952243102,1.356483269246784,10.0,1.0
9,0.9999841981702171,0.9999841981702171,1.1858147147009195e-06,20,4096,2.5e-05,1.0026671460728487,1.081139746002926,0.010654393631899304,1.361383794001144,1.3366006070673824,1.356696712705079,10.0,1.0
10,0.9999834094407538,0.9999834094407538,1.4775756766723757e-06,20,4096,2.5e-05,1.0005263482885662,1.0761525674857466,0.015925712450109392,1.3615052214056207,1.3355698136391745,1.3562254837209589,10.0,1.0
15,0.9999845280989811,0.9999845280989811,1.0143317287084426e-06,20,4096,2.5e-05,0.9983588959887153,1.0721275237442076,0.03874575509310263,1.3614517792518412,1.3354088445030114,1.3562022599949406,10.0,1.0
19,0.9999832862396578,0.9999832862396578,3.4814853781195885e-06,20,4096,2.5e-05,0.9991984006846473,1.0746028640452434,0.030023860024937978,1.3614825524763428,1.3360709231851928,1.3563398144113417,10.0,1.0
20,0.9999833298991776,0.9999833298991776,2.2208169813837483e-06,20,4096,2.5e-05,0.998112916411307,1.0720355915426039,0.03894319525593246,1.3613631580701901,1.3359687715896995,1.356659150166436,10.0,1.0
25,0.9999835983913492,0.9999835983913492,2.840312790952409e-06,20,4096,2.5e-05,1.0004983150612077,1.0769544400565496,0.017620935940598974,1.361570479458363,1.3367615130243033,1.3562127563976332,10.0,1.0
29,0.9999840604387074,0.9999840604387074,8.277861222330189e-07,20,4096,2.5e-05,0.9992278206274098,1.0739288103200137,0.03098327289839562,1.3615678340877182,1.3352823625616403,1.356124953470548,10.0,1.0
30,0.9999832700236579,0.9999832700236579,3.0603800156002503e-06,20,4096,2.5e-05,0.9972827091542056,1.0703879131803369,0.03241435875466798,1.3614191453116453,1.334978676203944,1.3557328284238421,10.0,1.0
35,0.999983629763326,0.999983629763326,1.7095358480629906e-06,20,4096,2.5e-05,1.0010957128379252,1.078873924728808,0.03563641205446422,1.3613288715383751,1.3371531181994603,1.3565846875103018,10.0,1.0
39,0.9999823744709709,0.9999823744709709,2.4909201491336032e-06,20,4096,2.5e-05,1.0020865175080675,1.079845363906666,0.025915966720828677,1.3615680450834124,1.3362548646199879,1.356537031921519,10.0,1.0
40,0.9999830662360282,0.9999830662360282,1.3464185612301814e-06,20,4096,2.5e-05,0.9975176138785237,1.0718178372584184,0.03319718838621946,1.3613808990208964,1.3361124640460826,1.3564898757790314,10.0,1.0
45,0.9999811538411838,0.9999811538411838,4.4023752449548695e-06,20,4096,2.5e-05,0.9997937569378932,1.075480678283892,0.009516273251809093,1.361447339400012,1.3362220886454905,1.3560465883995034,10.0,1.0
49,0.9999840370404076,0.9999840370404076,1.531343358754055e-06,20,4096,2.5e-05,1.0030671673581844,1.0820654299084875,0.017411824820665833,1.3613647739227728,1.3366835080427193,1.3563480480627814,10.0,1.0
50,0.9999828771261821,0.9999828771261821,3.979883460524576e-06,20,4096,2.5e-05,0.9998872144500996,1.0757442192793731,0.020263923051926622,1.361330331523064,1.3362509350463885,1.3561653940348268,10.0,1.0
55,0.9999824301633498,0.9999824301633498,2.552499965600771e-06,20,4096,2.5e-05,1.0000063163150728,1.0756191697483954,0.013680236784712693,1.36141908659819,1.3368369610075235,1.3561114474157283,10.0,1.0
59,0.9999839140247586,0.9999839140247586,1.985371865885647e-06,20,4096,2.5e-05,0.9986924068152322,1.0738654862614603,0.03511858942728236,1.3612814637024546,1.3357710030857703,1.3563024089551654,10.0,1.0
60,0.9999826421911375,0.9999826421911375,1.7310955826507092e-06,20,4096,2.5e-05,1.0017301943883203,1.078913205635267,0.028759174066490013,1.361381300686365,1.337222255491082,1.356467495142371,10.0,1.0
65,0.9999810518734435,0.9999810518734435,5.046418420028171e-06,20,4096,2.5e-05,0.9972906683399704,1.0702397908193764,0.040953386981143085,1.3613477275658992,1.3356009531293722,1.3564443073243553,10.0,1.0
69,0.9999829833323395,0.9999829833323395,5.64488555747868e-07,20,4096,2.5e-05,0.9981566021548174,1.0721135174747274,0.03176307688690887,1.361415921767686,1.337647982486855,1.356980473891942,10.0,1.0
