iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,2.6169652177069053e-05,0.013992516444561514,0.02545925110353915,1.0032627059712256,1.0815102347544305,1.0032627059712256,1.0815102347544305,1.0032627059712256,1.0815102347544305,0.07435076813208902,1.36265750373444,1.3401224001235783,1.3574321818139166,1.7959280483860212,1.8426221311077604,1.8568354724837752,0.0,0.0,0.0,0.0,-0.0008866551061619965,0.005038203538939839,0.0030369018948325143,0.00805784532800955,0.023459719360510948,4.530368810332809,4.654237839981759e-06,6.0381388054441015e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2.5165133493206923e-05,0.013992436287908467,0.025205294278319877,0.9998446926459229,1.0758306279961072,0.9998446926459229,1.0758306279961072,0.9998446926459229,1.0758306279961072,0.05412227701441781,1.3624422121506792,1.3337104540692586,1.3553905363324632,1.7787835758791635,1.8370835064517586,1.8562487814500364,0.0,0.0,0.0,0.0,-0.0008779568334370419,0.004939061175145346,0.0027837974795141772,0.0066484005601501325,0.02266772977701297,4.530365102335344,5.358129660570267e-06,5.5462907061512264e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,2.831560599372848e-05,0.013992344047636045,0.024953873546052392,1.0005385774192996,1.0761735545374649,1.0005385774192996,1.0761735545374649,1.0005385774192996,1.0761735545374649,0.04057386729580923,1.3631098606925915,1.3376826242115385,1.3575948651740783,1.7893948033820741,1.843063817980941,1.8580684923173763,0.0,0.0,0.0,0.0,-0.0010277390775082413,0.005221049547963607,0.0031675441269119163,0.007986082217624698,0.019691917480076187,4.530360144700431,5.5907941172381014e-06,6.645090465128076e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,2.5013812373329176e-05,0.01399226712480353,0.024704959340887102,1.0045401018266165,1.083992891425828,1.0045401018266165,1.083992891425828,1.0045401018266165,1.083992891425828,0.04747119048268541,1.3621314485133023,1.3382412788730305,1.356229528443532,1.790889721658237,1.8393585357656903,1.855402083028947,0.0,0.0,0.0,0.0,-0.0009525668998096083,0.004909829800992728,0.002985187014995231,0.007375254568988882,0.02273602530869621,4.530356042880883,6.123087630647096e-06,5.4035997458803454e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,2.7821516782181982e-05,0.013992182257419494,0.024458530406592783,0.9954478168375259,1.067587705831123,0.9954478168375259,1.067587705831123,0.9954478168375259,1.067587705831123,0.07578126289201914,1.3631271972820656,1.3347699002806246,1.35694727228358,1.7816106877014317,1.8413059021089464,1.8581157559700592,0.0,0.0,0.0,0.0,-0.0009385294239201593,0.005190441147206861,0.0030699464833147685,0.008001568690033397,0.02210451354721617,4.530351652621512,4.737326062602937e-06,5.8678799156707846e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,3.0213311661276068e-05,0.013992088714471046,0.02421455873143402,0.9952462466586129,1.0675197650308734,0.9952462466586129,1.0675197650308734,0.9952462466586129,1.0675197650308734,0.04021686549542887,1.362198284198084,1.330330781002673,1.3552365644608908,1.7697799868855861,1.8366661456520859,1.855584165472204,0.0,0.0,0.0,0.0,-0.0010813121061236032,0.005389255587780803,0.003009178325252342,0.007450335016653132,0.02383808586622457,4.5303468887993725,3.827870116837375e-06,6.626350736339096e-05,0.030304078792761428,0.0,0.0,0.9999838140270806,0.004331855772548798,0.19965028459021678,0.043136716524992874,0.11296388303515623,1.400095652792741e-05,1.621235513334866e-05,0.5365964285910366
6,2.732305570946711e-05,0.013992003735273432,0.023973019963202308,0.9981990808986084,1.0716253759549546,0.9981990808986084,1.0716253759549546,0.9981990808986084,1.0716253759549546,0.03613565271583241,1.3632294193011727,1.3376935066294524,1.3571329089596553,1.7894239202219269,1.841809732642366,1.8583944496482125,0.0,0.0,0.0,0.0,-0.001029715282246031,0.005124718738328581,0.0028911665643650175,0.008088010852217897,0.021694246394108097,4.530342424616047,6.380475885532742e-06,6.046275904146439e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,2.4606300248974613e-05,0.013991928650628881,0.02373389148408408,1.0058952646753376,1.0865380018266615,1.0058952646753376,1.0865380018266615,1.0058952646753376,1.0865380018266615,0.08061360712374814,1.3618678479262798,1.3395179516071358,1.3560002499102328,1.7943083487057447,1.83873667781716,1.8546840352153569,0.0,0.0,0.0,0.0,-0.0008874934952607402,0.004880435999461983,0.002929091751343767,0.007661201582887589,0.02033044300450091,4.530338442466962,6.129294709326008e-06,5.420575221172255e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,3.040726280538427e-05,0.01399183344595649,0.023497147482817834,1.002315217869658,1.0802127381647106,1.002315217869658,1.0802127381647106,1.002315217869658,1.0802127381647106,0.027171236062092936,1.363168700736324,1.3369446412123085,1.3568722993333617,1.7874209774266163,1.8411024367551292,1.8582289066671578,0.0,0.0,0.0,0.0,-0.001028628878895737,0.005417488849539607,0.002930941197761365,0.0074991814623412015,0.023984509676419213,4.530333645474777,8.394260686436487e-06,6.732287815179586e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.5855684820165533e-05,0.013991751832932798,0.023262764545453857,1.0000315059973255,1.0729024333650778,1.0000315059973255,1.0729024333650778,1.0000315059973255,1.0729024333650778,0.06839219265715418,1.3626055965385673,1.3385894171091497,1.358044057556585,1.7918216277700956,1.8442836632759492,1.8566940117182247,0.0,0.0,0.0,0.0,-0.0009564542098686185,0.004994084517165296,0.002870843344150637,0.0075674888232846824,0.022695418736778664,4.530329842438931,3.923430413925854e-06,5.428508894610656e-05,0.029685574167617836,0.005513773553756852,1.0,0.9999845107478651,0.00787316515730585,0.25247693697470247,0.043128603613925454,0.11313432313361191,1.1534366763203272e-05,1.4321318056962261e-05,0.5538943623644688
