iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,3.0213311661276068e-05,1.400095652792741e-05,1.621235513334866e-05,0.5365964285910366,8,200,200
9,2.5855684820165533e-05,1.1534366763203272e-05,1.4321318056962261e-05,0.5538943623644688,8,200,200
10,2.6927238685764348e-05,1.1510274366852276e-05,1.5416964318912072e-05,0.5725415999325091,8,200,200
15,2.520115414812786e-05,1.2674726573148683e-05,1.2526427574979178e-05,0.497057694316343,8,200,200
19,2.8168671120447114e-05,1.5210985869865494e-05,1.295768525058162e-05,0.4600034270404711,8,200,200
20,2.7551821832275025e-05,1.273182541442925e-05,1.4819996417845774e-05,0.5378953344016325,8,200,200
25,2.3316677679645962e-05,1.0381901859340244e-05,1.2934775820305719e-05,0.5547435186959327,8,200,200
29,2.2564061324743226e-05,1.0130905181524705e-05,1.243315614321852e-05,0.551015881595066,8,200,200
30,2.4716312558158495e-05,1.427683321668163e-05,1.0439479341476865e-05,0.4223720393935116,8,200,200
35,2.754964691835082e-05,1.4047054101953104e-05,1.3502592816397717e-05,0.49011854331256927,8,200,200
39,2.755767304265036e-05,1.3958259716782693e-05,1.3599413325867667e-05,0.4934891746781441,8,200,200
40,2.940380686774679e-05,1.399942569352382e-05,1.540438117422297e-05,0.5238907071968333,8,200,200
45,2.4312186803049476e-05,1.068933501826037e-05,1.3622851784789106e-05,0.5603301708376308,8,200,200
49,2.3016651087981247e-05,1.1417427590765688e-05,1.1599223497215559e-05,0.5039492258399138,8,200,200
50,2.2502795371711322e-05,9.182822550863713e-06,1.331997282084761e-05,0.591925251988577,8,200,200
55,2.6109236955491158e-05,1.4119049422162207e-05,1.199018753332895e-05,0.4592316333782109,8,200,200
59,2.8990126510071657e-05,1.5812951645338158e-05,1.3177174864733498e-05,0.4545400952339938,8,200,200
60,2.8859159590497158e-05,1.509693870735639e-05,1.3762220883140769e-05,0.4768753171756408,8,200,200
65,2.5151637451236883e-05,1.3966087344120866e-05,1.1185550107116017e-05,0.44472452852432254,8,200,200
69,2.8294965650988466e-05,1.3349275470295335e-05,1.4945690180693132e-05,0.5282102252762768,8,200,200
70,2.474705713785495e-05,1.3069807941983742e-05,1.1677249195871207e-05,0.4718641546274532,8,200,200
