iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999838140270806,0.9999838140270806,3.0543807827334457e-06,20,4096,2.5e-05,1.001545887461881,1.0785785104727483,0.014247824603687825,1.3629040606549772,1.3379406702297607,1.357327087727595,10.0,1.0
9,0.9999845107478651,0.9999845107478651,1.1139153473109961e-06,20,4096,2.5e-05,1.0027651012424044,1.0814512456986227,0.01016813327006594,1.3638969762235422,1.3372417194402921,1.3570527606601792,10.0,1.0
10,0.9999844767853008,0.9999844767853008,1.7489188938017924e-06,20,4096,2.5e-05,1.0003757043803252,1.0760643366962483,0.015408182880586858,1.3632517410922675,1.3360967486815594,1.3563929380780837,10.0,1.0
15,0.9999846834650996,0.9999846834650996,7.521358977633068e-07,20,4096,2.5e-05,0.9983878069813579,1.0723691867925478,0.03898388527942359,1.3634558495516405,1.3360284060636307,1.356708438077077,10.0,1.0
19,0.9999831180990428,0.9999831180990428,3.6875133692616857e-06,20,4096,2.5e-05,0.9991788468503027,1.0747189020482122,0.030412201568425924,1.3638475581697171,1.335856102685157,1.3567600558275368,10.0,1.0
20,0.9999826181533252,0.9999826181533252,2.2530804301158195e-06,20,4096,2.5e-05,0.9983254408282956,1.0726214919940282,0.036536927527781315,1.3630787777375326,1.3359538146703176,1.3570559815612,10.0,1.0
25,0.9999836287235279,0.9999836287235279,2.6792319201143133e-06,20,4096,2.5e-05,1.0006308211010022,1.07738246462689,0.01933524845297927,1.3621253323167763,1.3369570287765775,1.3566827287891752,10.0,1.0
29,0.9999838193112628,0.9999838193112628,9.430519030780593e-07,20,4096,2.5e-05,0.9992301132310737,1.0740817584092008,0.029624381416643385,1.3629349174968524,1.3361507019783143,1.356661492189318,10.0,1.0
30,0.999983396513294,0.999983396513294,3.101932942581049e-06,20,4096,2.5e-05,0.9972032930120533,1.070310218296997,0.03319031008649888,1.3632085434932808,1.3349348316330123,1.3561019294825993,10.0,1.0
35,0.9999835286980048,0.9999835286980048,1.7775315042484757e-06,20,4096,2.5e-05,1.001009580458048,1.0788331909128333,0.034090520416035136,1.3637466354286902,1.337875682209695,1.3571775472112872,10.0,1.0
39,0.9999824113688547,0.9999824113688547,3.0111977813630544e-06,20,4096,2.5e-05,1.0021345853198693,1.0800315250953125,0.02502307229281458,1.3633346009900982,1.336312147841031,1.356866642257112,10.0,1.0
40,0.9999830418460582,0.9999830418460582,1.408555977881108e-06,20,4096,2.5e-05,0.9975149466690972,1.0718862580539092,0.03218120255676789,1.363234322943889,1.3368838908828569,1.3566590746251639,10.0,1.0
45,0.999981158474311,0.999981158474311,4.052199815734111e-06,20,4096,2.5e-05,0.9997469623774222,1.0755037391889806,0.009882011744763452,1.3623241131110488,1.3364611677750062,1.3562371039332928,10.0,1.0
49,0.999984069479745,0.999984069479745,1.2174125182824765e-06,20,4096,2.5e-05,1.0031128096425066,1.082290972518848,0.018401989155285393,1.3623893791481279,1.3371217493718137,1.3565469340210572,10.0,1.0
50,0.9999834654379626,0.9999834654379626,3.686322441933275e-06,20,4096,2.5e-05,0.9999032304097073,1.075865481612538,0.019152977031013044,1.3623212114073913,1.3365093560878822,1.356515483872412,10.0,1.0
55,0.9999826786829288,0.9999826786829288,1.8360716315835904e-06,20,4096,2.5e-05,1.0000272353426105,1.0757380232122982,0.013874394107608054,1.36238901321762,1.3368642846503656,1.3568236420183133,10.0,1.0
59,0.9999835897170763,0.9999835897170763,2.050994361516687e-06,20,4096,2.5e-05,0.9986171408947089,1.0737901340448377,0.03938856354746366,1.3628927388861205,1.3361480540176536,1.3565382576241787,10.0,1.0
60,0.9999825869262142,0.9999825869262142,1.4262115546368195e-06,20,4096,2.5e-05,1.0017410164927854,1.0790435015867639,0.02961860859634295,1.363306504532966,1.3374794180423673,1.3567432793151097,10.0,1.0
65,0.9999807777492095,0.9999807777492095,5.78365605857348e-06,20,4096,2.5e-05,0.9972813195777244,1.070310053345251,0.043057200301770786,1.362717880805172,1.3358108215431228,1.356434722171416,10.0,1.0
69,0.9999830055641075,0.9999830055641075,9.059159300609066e-07,20,4096,2.5e-05,0.9981263351760827,1.0721187480294119,0.03297981016529969,1.3623309045554808,1.3377560604577856,1.3573294287350846,10.0,1.0
70,0.9999822787899437,0.9999822787899437,2.2572906786925564e-06,20,4096,2.5e-05,0.9994177084886009,1.0746241722820087,0.007036444293340841,1.362110198674848,1.336125221076965,1.3565618432941142,10.0,1.0
