iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,2.590439917856861e-05,0.013992517928492834,0.05442222055565119,1.0031876178827281,1.0817298040912322,1.0031876178827281,1.0817298040912322,1.0031876178827281,1.0817298040912322,0.07677533909749411,1.3638848882143564,1.3401429327936534,1.3583030915818446,1.7959830804712815,1.844987289034702,1.8601819882994874,0.0,0.0,0.0,0.0,-0.0008993836847284445,0.00500954171219413,0.0030761722332075477,0.00764098456100777,0.023481774482827622,4.530369081482002,4.676057318383495e-06,5.837727636264042e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2.5720743666525713e-05,0.013992437520795513,0.05387935721831933,1.0000062954890339,1.0765100153989047,1.0000062954890339,1.0765100153989047,1.0000062954890339,1.0765100153989047,0.05297292404945941,1.3661509806956702,1.334786733806402,1.3565789203362266,1.7816556287541998,1.8403063671464392,1.8663685020557415,0.0,0.0,0.0,0.0,-0.0009077802007792186,0.004989657179967273,0.002776163233949284,0.0066095483438844945,0.022655812214807666,4.530365305042869,5.904815917815439e-06,5.685960003968308e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,2.6616429956375672e-05,0.013992351937742876,0.053341912392354855,1.0010554343064173,1.0773501864739041,1.0010554343064173,1.0773501864739041,1.0010554343064173,1.0773501864739041,0.04245712521742878,1.3651063075083323,1.3380272668350082,1.357951451293949,1.7903169670588652,1.8440321440732201,1.8635152307990335,0.0,0.0,0.0,0.0,-0.0009782670710948343,0.005065513152089056,0.003070540660993399,0.007805967832981216,0.02849352709830021,4.530360632697274,5.778058163673874e-06,6.045779687914793e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,2.6401874095441583e-05,0.013992269643204833,0.0528098302884812,1.0046735286412407,1.084487753231274,1.0046735286412407,1.084487753231274,1.0046735286412407,1.084487753231274,0.04741723865741343,1.365046631884849,1.339417426533615,1.3571937220747299,1.7940390426409691,1.8419747998077085,1.8633523072201708,0.0,0.0,0.0,0.0,-0.0009446915209807949,0.005050686292537735,0.0030052147081627567,0.008027893234738905,0.023345076508937385,4.530356188841045,4.947460134625338e-06,5.6818851502590494e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,2.6335920571255758e-05,0.013992188216304272,0.052283057033716225,0.995570861612737,1.0681219015133114,0.995570861612737,1.0681219015133114,0.995570861612737,1.0681219015133114,0.07558455866556185,1.3662630368059954,1.3370988421295453,1.3578081945382041,1.7878333180889738,1.8436430931580863,1.8666746857423406,0.0,0.0,0.0,0.0,-0.0009093591152826845,0.0050506421938906,0.0030312443811373996,0.007428808285286675,0.021893955709793512,4.530352012985234,4.624280665184281e-06,5.6556058157741344e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,2.994810130343975e-05,0.013992094847713982,0.0517615369169014,0.9953231431292494,1.067907535961338,0.9953231431292494,1.067907535961338,0.9953231431292494,1.067907535961338,0.04025417180764733,1.3657365036598519,1.3305707044304136,1.355985721527999,1.7704184003876682,1.8386972809584141,1.8652361974290366,0.0,0.0,0.0,0.0,-0.0010473725432101073,0.005371323119974197,0.0030300982786016844,0.007610245463825563,0.023841061402792706,4.530347258735842,4.186760897074225e-06,6.466765604656849e-05,0.031243678746879257,0.0,0.0,0.9999840253998128,0.004685498482610795,0.20815773080618585,0.043296322189897415,0.11316544598696748,1.4423995500451947e-05,1.5524105802987803e-05,0.5183669457270318
6,2.7084269648605677e-05,0.013992010809091297,0.05124521854614444,0.9981108781232928,1.0717275489531672,0.9981108781232928,1.0717275489531672,0.9981108781232928,1.0717275489531672,0.03584116950144674,1.3651328587903713,1.338314156649976,1.3574784766375287,1.7910847822839464,1.8427478145915166,1.8635877221491717,0.0,0.0,0.0,0.0,-0.0009796202274953458,0.00511122430132817,0.0029367100725365756,0.00804682830202668,0.023071799370315532,4.530342860583372,6.297121555453756e-06,5.9458231191955864e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,2.4314333115487676e-05,0.013991937327791241,0.05073405090711499,1.0059598392005529,1.086770025012744,1.0059598392005529,1.086770025012744,1.0059598392005529,1.086770025012744,0.08163642084141869,1.3643330426595106,1.3394621724065483,1.3563908856753046,1.7941589117554555,1.8397962347570316,1.861404651292558,0.0,0.0,0.0,0.0,-0.0009222086110438476,0.004843951320276067,0.0028847518892866795,0.0075188901620803356,0.020351612775354605,4.530339105110838,5.9008808315494975e-06,5.2915935415760174e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,3.027281922101346e-05,0.013991842717421007,0.0502279807950393,1.0025392382920268,1.0807826375583007,1.0025392382920268,1.0807826375583007,1.0025392382920268,1.0807826375583007,0.028125407168102443,1.364709535078627,1.3371284790574625,1.3581100148116578,1.7879125696275016,1.84446281245089,1.862432115134522,0.0,0.0,0.0,0.0,-0.0010133099496742765,0.005407959149892367,0.0029466121274025364,0.0076195884451951395,0.02397311932684353,4.5303342888050775,8.619130158363252e-06,6.659303075376588e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.6196800994582637e-05,0.013991758774359044,0.04972696055302787,1.000151631178869,1.0734851605198232,1.000151631178869,1.0734851605198232,1.000151631178869,1.0734851605198232,0.061470791297470344,1.3643354220010675,1.3388534748782892,1.3591392730682537,1.7925286273591867,1.8472595637797653,1.861411143726831,0.0,0.0,0.0,0.0,-0.0009482822038467784,0.00502966816563977,0.00286183037702247,0.007600408609973596,0.02270299083411423,4.530330244554257,4.583263341380912e-06,5.520221231671278e-05,0.025669635212703365,0.007978521914378797,1.0,0.9999843669826258,0.011155989216670381,0.33784990706389123,0.043285729847932684,0.11333742630580573,1.1785360986270237e-05,1.44114400083124e-05,0.5501221317554236
