iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.031243678746879257,0.0,0.0,False,2000,4096,1e-07,1.000992171434354,1.0766619129122796,0.031667288009703275,1.3657281043739495,1.3373471324551889,1.3569684849027104,10.0,1.0
9,0.025669635212703365,0.007978521914378797,1.0,False,2000,4096,1e-07,0.9926948564229741,1.0627123014781368,0.050893215995966676,1.3646882343616338,1.3341222664227739,1.3584485833239577,10.0,1.0
10,0.029218870169753487,0.006605077674488351,1.0,False,2000,4096,1e-07,1.0041939562738729,1.0820311715020954,0.06951807503731666,1.3635487556341503,1.3367013214327321,1.3563701384324998,10.0,1.0
15,0.030896716941012068,0.0061211884493438925,1.0,False,2000,4096,1e-07,1.0013500397713508,1.0786937240328758,0.05641737424710397,1.3639643117528728,1.3392180429755862,1.3595671157593352,10.0,1.0
19,0.02829561971816249,0.006604002106880754,1.0,False,2000,4096,1e-07,0.9970812314342924,1.0717890373598353,0.04988122500446453,1.3682776513732315,1.3348661163785143,1.3577840011516034,10.0,1.0
20,0.031304272194479385,0.006916276073579426,1.0,False,2000,4096,1e-07,0.9975542931514007,1.0712877029252188,0.021271273966865338,1.3650388644028788,1.335645605451699,1.3565465897211604,10.0,1.0
25,0.02973530416104555,0.005482280708121936,1.0,False,2000,4096,1e-07,0.9945848077105757,1.066290505853294,0.020531162151626984,1.3629074499886824,1.335241865216925,1.356804289641656,10.0,1.0
29,0.028053235844681782,0.005542766119529901,1.0,False,2000,4096,1e-07,1.0058643717518594,1.087174734622009,0.06756086441026107,1.3651538741862066,1.3378361036266186,1.3585860353740702,10.0,1.0
30,0.02697579394416334,0.005201038227037976,1.0,False,2000,4096,1e-07,0.997059178055889,1.0693943030314716,0.02518914402899376,1.3650408891007195,1.3355127681905545,1.358152267781575,10.0,1.0
35,0.024247046335408366,0.005788343401587956,1.0,False,2000,4096,1e-07,1.003195172211058,1.081929974764147,0.07222062779409792,1.3631427702315622,1.3385115390462337,1.3575909977043665,10.0,1.0
