iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.994810130343975e-05,1.4423995500451947e-05,1.5524105802987803e-05,0.5183669457270318,8,200,200
9,2.6196800994582637e-05,1.1785360986270237e-05,1.44114400083124e-05,0.5501221317554236,8,200,200
10,2.576910767474216e-05,1.1702663821197881e-05,1.4066443853544278e-05,0.5458646077734247,8,200,200
15,2.6008161104382302e-05,1.3466590787824645e-05,1.2541570316557658e-05,0.4822167267506059,8,200,200
19,2.7657773296284665e-05,1.4711566241164182e-05,1.2946207055120483e-05,0.46808565955161613,8,200,200
20,2.57163424608701e-05,1.2744762765156598e-05,1.2971579695713502e-05,0.5044099764751155,8,200,200
25,2.2557429969075475e-05,9.975338649594166e-06,1.2582091319481308e-05,0.5577803560392475,8,200,200
29,2.238643067156147e-05,1.0400108202571249e-05,1.1986322468990223e-05,0.5354280298116934,8,200,200
30,2.5548702431291044e-05,1.4300842872491404e-05,1.124785955879964e-05,0.4402516953277324,8,200,200
35,2.8319909774131543e-05,1.4792981318623827e-05,1.3526928455507716e-05,0.47764730055262095,8,200,200
39,2.8098739137178076e-05,1.4085550418155837e-05,1.4013188719022239e-05,0.4987123675055253,8,200,200
40,2.848045839764336e-05,1.3566374166447163e-05,1.4914084231196196e-05,0.5236602593598099,8,200,200
45,2.540118080327094e-05,1.2129486334728122e-05,1.327169446854282e-05,0.5224833668690633,8,200,200
49,2.5133207071829157e-05,1.2830553630803632e-05,1.2302653441025525e-05,0.4894979540758686,8,200,200
50,2.3897505238228257e-05,9.53216104763383e-06,1.4365344190594427e-05,0.6011231736279541,8,200,200
55,2.605536854866919e-05,1.4011143539930628e-05,1.2044225008738562e-05,0.4622550238059763,8,200,200
59,2.919565536914282e-05,1.589003643729703e-05,1.330561893184579e-05,0.4557396901563865,8,200,200
60,2.8693707429231766e-05,1.540954180427358e-05,1.3284165624958186e-05,0.46296442025560347,8,200,200
65,2.4021455812254615e-05,1.2779122837568516e-05,1.12423329746861e-05,0.4680121414186226,8,200,200
69,2.7927460754636635e-05,1.3048782022236933e-05,1.4878678732399703e-05,0.5327616020346383,8,200,200
70,2.4765721869661178e-05,1.3085644219868851e-05,1.1680077649792327e-05,0.47162274175826896,8,200,200
75,2.3760012051650567e-05,1.2025193067483437e-05,1.173481898416713e-05,0.4938894373730729,8,200,200
79,2.5332867354521987e-05,1.1608606699871909e-05,1.3724260654650078e-05,0.5417570961307016,8,200,200
80,2.5210246678082204e-05,1.3221822040470488e-05,1.1988424637611716e-05,0.4755377759962363,8,200,200
85,2.6937159681545882e-05,1.3234064233156297e-05,1.3703095448389585e-05,0.5087060258167199,8,200,200
89,2.8941440821248797e-05,1.4368333532680485e-05,1.4573107288568311e-05,0.5035377256639116,8,200,200
90,2.2807685514617355e-05,1.0491960724464435e-05,1.231572479015292e-05,0.5399813489299394,8,200,200
95,3.037638323993466e-05,1.517128146992752e-05,1.520510177000714e-05,0.5005566874076562,8,200,200
99,2.674436665503468e-05,1.5461946334891234e-05,1.1282420320143445e-05,0.4218615630600288,8,200,200
100,2.7853352744933048e-05,1.4993846629009927e-05,1.285950611592312e-05,0.4616861113160771,8,200,200
105,2.8930768925290033e-05,1.5632717460003824e-05,1.329805146528621e-05,0.45965081327864826,8,200,200
109,2.7972442005544496e-05,1.3793475949990162e-05,1.4178966055554334e-05,0.50689053364536,8,200,200
110,2.5140004540857487e-05,1.236133498809079e-05,1.2778669552766697e-05,0.5083002086176567,8,200,200
115,2.581899807439534e-05,1.337207374439453e-05,1.244692433000081e-05,0.4820839404432353,8,200,200
119,2.9045285464947027e-05,1.672494297805011e-05,1.2320342486896916e-05,0.42417701495017435,8,200,200
120,2.5069612393576923e-05,1.1537812983191568e-05,1.3531799410385354e-05,0.5397689919550703,8,200,200
125,2.7633532495855516e-05,1.322666109007652e-05,1.4406871405778997e-05,0.5213546768926391,8,200,200
129,2.4901957549608372e-05,1.3218349424223042e-05,1.168360812538533e-05,0.4691843242488009,8,200,200
130,2.6520485586764863e-05,1.3497797620917343e-05,1.302268796584752e-05,0.49104259132972045,8,200,200
135,2.2709943107983204e-05,1.1849742421563047e-05,1.0860200686420157e-05,0.4782134695265917,8,200,200
139,2.458565846973057e-05,1.204252249729005e-05,1.254313597244052e-05,0.5101810060480344,8,200,200
140,2.488104920085001e-05,1.277963582709205e-05,1.210141337375796e-05,0.4863707022991836,8,200,200
145,2.8635846055415562e-05,1.4389326426878468e-05,1.4246519628537094e-05,0.49750650289736476,8,200,200
149,2.7402776974880542e-05,1.4027149908725635e-05,1.3375627066154906e-05,0.488112101865297,8,200,200
150,2.9931060440746756e-05,1.6402780646442945e-05,1.3528279794303811e-05,0.45198130621149124,8,200,200
155,2.868586208175182e-05,1.4724312449243366e-05,1.3961549632508454e-05,0.4867048998813228,8,200,200
159,2.472005454005559e-05,1.1262684621780269e-05,1.3457369918275323e-05,0.5443907858888186,8,200,200
160,2.7578326322867066e-05,1.3481454054966465e-05,1.4096872267900601e-05,0.5111576425220528,8,200,200
165,2.7315327926870583e-05,1.4433869954958151e-05,1.2881457971912432e-05,0.47158350089733714,8,200,200
169,2.4502402947420006e-05,1.2964158992722149e-05,1.1538243954697857e-05,0.4709025469647981,8,200,200
170,2.768651998113948e-05,1.3594105067287518e-05,1.4092414913851964e-05,0.5089991419453204,8,200,200
175,2.6361563485087137e-05,1.2164375793714078e-05,1.4197187691373058e-05,0.538556360642436,8,200,200
179,2.2790121835902468e-05,1.2982110338170067e-05,9.808011497732401e-06,0.43036239860207015,8,200,200
180,2.9267775875686865e-05,1.552986320725382e-05,1.3737912668433044e-05,0.4693869710764497,8,200,200
185,2.8011736242928284e-05,1.2514893369632219e-05,1.5496842873296063e-05,0.553226788189837,8,200,200
189,2.67621815767343e-05,1.2461744926295561e-05,1.4300436650438738e-05,0.5343524259947037,8,200,200
190,2.820779268823887e-05,1.4812418881826575e-05,1.3395373806412295e-05,0.4748820283267838,8,200,200
195,2.6854886278160593e-05,1.2398140290495907e-05,1.4456745987664685e-05,0.5383283264700122,8,200,200
199,2.843463306375714e-05,1.3242439990677938e-05,1.5192193073079202e-05,0.534284829314123,8,200,200
