iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,2.568773375256599e-05,0.013992517607688312,0.061793042325392816,1.003122635650211,1.0820875516413424,1.003122635650211,1.0820875516413424,1.003122635650211,1.0820875516413424,0.0792664643209292,1.3653678149424888,1.3413206927323056,1.3584857052417063,1.7991412134532683,1.845483412033628,1.8642292700808265,0.0,0.0,0.0,0.0,-0.0009075091100309252,0.004986397594233423,0.002984188945538097,0.007459901707861123,0.023503744782328046,4.530369090953404,5.297918827526124e-06,5.922507203875069e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2.5672109784927616e-05,0.013992436650434235,0.061176655728187736,1.0000350595760021,1.0766459830953568,1.0000350595760021,1.0766459830953568,1.0000350595760021,1.0766459830953568,0.05261462923399695,1.3673847512632178,1.3350389967272058,1.356978511866601,1.7823291252805447,1.8413906824912685,1.869741057987172,0.0,0.0,0.0,0.0,-0.0008777341131772439,0.004990159577758268,0.0028449628321923046,0.0066670588288741265,0.022653524408213183,4.530365246396593,5.924733988283925e-06,5.688108565147007e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,2.6878895685214927e-05,0.01399234972806097,0.06056642094913541,1.0008308857322188,1.076954946734091,1.0008308857322188,1.076954946734091,1.0008308857322188,1.076954946734091,0.042879130856762135,1.3657554565434622,1.3388553514884194,1.3577345636182434,1.7925336522631843,1.843443145272763,1.865287967078241,0.0,0.0,0.0,0.0,-0.0009996788384401662,0.0050871935195341104,0.0031482417689168594,0.0074493157828559135,0.01965832839561804,4.530360544174742,5.296826712836413e-06,6.265189714764743e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,2.6403411535796812e-05,0.013992267559038683,0.05996227494704403,1.0046006721570864,1.0844731872957292,1.0046006721570864,1.0844731872957292,1.0046006721570864,1.0844731872957292,0.047596885711001034,1.3656907226530401,1.3393269194979336,1.3573451689226024,1.793796597452756,1.8423859076648192,1.865111149940583,0.0,0.0,0.0,0.0,-0.0009401919305199308,0.0050516780053346646,0.003009783594214107,0.008099272058185208,0.0233500145590885,4.530356095162585,4.992225327906192e-06,5.670057099560837e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,2.7344692754070445e-05,0.01399218201670133,0.059364153970738125,0.9956563472472452,1.0683843949625038,0.9956563472472452,1.0683843949625038,0.9956563472472452,1.0683843949625038,0.0761137771783991,1.367425305791147,1.337313550592818,1.3582291178332004,1.788407532829613,1.8447863365302428,1.8698519669180118,0.0,0.0,0.0,0.0,-0.0009259934253330962,0.005146574485063859,0.002959711188580324,0.007980580044266298,0.02189887771737855,4.53035171883527,4.871299691393205e-06,5.915457597723967e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,2.8951940861001475e-05,0.013992090841255928,0.058771999593565404,0.995425774406875,1.068114232440169,0.995425774406875,1.068114232440169,0.995425774406875,1.068114232440169,0.03951805044804614,1.3676218321360607,1.330486287460347,1.3566738564836267,1.7701937616525276,1.8405639531097029,1.8703894757351953,0.0,0.0,0.0,0.0,-0.0010526530132480498,0.005276728389324324,0.0029771916882169644,0.007317709474321158,0.023841621197288422,4.530347093291097,3.83878570287826e-06,6.443676753138261e-05,0.029640372097597397,0.0,0.0,0.9999835894333027,0.008643929577555332,0.3154685814847656,0.04332775432430517,0.11322200748352135,1.3440562881335194e-05,1.551137797966628e-05,0.5357629754128245
6,2.6816308758993235e-05,0.013992007029899558,0.05818575183083382,0.9983844217194201,1.072313774011225,0.9983844217194201,1.072313774011225,0.9983844217194201,1.072313774011225,0.035926387560190114,1.3661044085748575,1.3384133130240552,1.3577772599323281,1.7913501964834806,1.8435590876279073,1.8662412551276613,0.0,0.0,0.0,0.0,-0.0009888652320542365,0.005083153972862475,0.002864812420195455,0.008065670448687536,0.021681212470037233,4.530342690066257,6.7099660885456e-06,5.927972255324313e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,2.5167441458592038e-05,0.013991930084936703,0.05760535224246136,1.0058285803805074,1.086511901322662,1.0058285803805074,1.086511901322662,1.0058285803805074,1.086511901322662,0.08187580481463255,1.3654813214144659,1.3392888553035815,1.356675493864113,1.793694650962771,1.8405683972287943,1.8645392391317959,0.0,0.0,0.0,0.0,-0.0009249516519378359,0.0049307104863467194,0.0029520036432994726,0.007518306093435426,0.020330160008024286,4.530338859256565,5.453550632330753e-06,5.497740451637693e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,3.055928679081857e-05,0.013991833577859977,0.05703073897854009,1.0025718798642518,1.0808371623661788,1.0025718798642518,1.0808371623661788,1.0025718798642518,1.0808371623661788,0.02894658599652395,1.3649530453817782,1.3374432813124089,1.3578285884051844,1.7887545308372654,1.8436984807089785,1.8630968160969907,0.0,0.0,0.0,0.0,-0.0010478375837960196,0.005427828588745511,0.0029233250449578934,0.0075838700243934624,0.023973037196546785,4.530333986236198,8.469843999561772e-06,6.810991705484238e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.6416778225569072e-05,0.013991750109403307,0.056461861589697626,1.0000861649057846,1.0734208815269222,1.0000861649057846,1.0734208815269222,1.0000861649057846,1.0734208815269222,0.06120982331153877,1.3645258489090817,1.33835437890495,1.3591062928129778,1.7911924546725508,1.847169915403951,1.86193079234105,0.0,0.0,0.0,0.0,-0.0009558803743165553,0.005050056527957436,0.002880210203140609,0.007601382872852601,0.022699635642730004,4.530329933332944,4.705503503903679e-06,5.474806003271741e-05,0.029628575885808802,0.00541620604304008,1.0,0.9999843926684311,0.01235905410481275,0.35323413774560214,0.04331779996925244,0.1133932593521943,1.1956587924639987e-05,1.4460190300929085e-05,0.5473865956497647
