iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.8951940861001475e-05,1.3440562881335194e-05,1.551137797966628e-05,0.5357629754128245,8,200,200
9,2.6416778225569072e-05,1.1956587924639987e-05,1.4460190300929085e-05,0.5473865956497647,8,200,200
10,2.5601025325672336e-05,1.1702762509741665e-05,1.3898262815930671e-05,0.5428791479688783,8,200,200
15,2.586646611986371e-05,1.3397087186879545e-05,1.2469378932984167e-05,0.48206735605868173,8,200,200
19,2.8077401923679345e-05,1.5020790019436284e-05,1.3056611904243062e-05,0.4650220821617987,8,200,200
20,2.5731730467464644e-05,1.2746007194180667e-05,1.2985723273283977e-05,0.504657985971958,8,200,200
25,2.2573306238789554e-05,9.979860925866557e-06,1.2593445312922997e-05,0.557891040847293,8,200,200
29,2.2872744077969992e-05,1.0546451642275845e-05,1.2326292435694147e-05,0.538907460935843,8,200,200
30,2.5666589204997487e-05,1.4433563803959539e-05,1.1233025401037948e-05,0.4376516611272521,8,200,200
35,2.8236556274784308e-05,1.4731647707356586e-05,1.3504908567427722e-05,0.47827746542476995,8,200,200
39,2.8182417953352942e-05,1.4128989201326082e-05,1.405342875202686e-05,0.4986594399134899,8,200,200
40,2.9044612457642854e-05,1.3315284189763504e-05,1.572932826787935e-05,0.5415575191722106,8,200,200
45,2.419537276191852e-05,1.1562734216684746e-05,1.2632638545233772e-05,0.5221096888871447,8,200,200
49,2.529773076107609e-05,1.2810921456458075e-05,1.2486809304618015e-05,0.49359404693446357,8,200,200
50,2.437054412245311e-05,9.746792755527081e-06,1.462375136692603e-05,0.6000584678555803,8,200,200
55,2.6164452794563636e-05,1.4124603070092336e-05,1.20398497244713e-05,0.46016057813266786,8,200,200
59,2.9201788728040284e-05,1.5885796060532907e-05,1.3315992667507378e-05,0.45599921263456816,8,200,200
60,2.858037577625971e-05,1.529384865780326e-05,1.328652711845645e-05,0.4648828700668416,8,200,200
65,2.3897808853119376e-05,1.2778302835142532e-05,1.1119506017976843e-05,0.46529395587350747,8,200,200
69,2.8532130906651263e-05,1.364512095404426e-05,1.4887009952607003e-05,0.5217629906897918,8,200,200
70,2.4725966411394484e-05,1.303555126035227e-05,1.1690415151042214e-05,0.4727991196192401,8,200,200
75,2.4078479755781145e-05,1.2353589033390899e-05,1.1724890722390246e-05,0.4869448088629909,8,200,200
