iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999835894333027,0.9999835894333027,3.029345053890568e-06,20,4096,2.5e-05,1.0011128716121576,1.0781440647437917,0.017257016726532272,1.367878937609738,1.3384545323432095,1.358285283148264,10.0,1.0
9,0.9999843926684311,0.9999843926684311,1.3161629834228715e-06,20,4096,2.5e-05,1.0027290554078623,1.0817477354541079,0.011095017433967987,1.3685750397427354,1.3381809101415298,1.3577473711257202,10.0,1.0
10,0.9999839903486947,0.9999839903486947,1.6679675956520316e-06,20,4096,2.5e-05,1.0007955482608992,1.0771735300803407,0.014814511962826123,1.367845628928769,1.3372578815278258,1.3576226414717987,10.0,1.0
15,0.999984491688464,0.999984491688464,1.0385242171199612e-06,20,4096,2.5e-05,0.9983459476448672,1.0725622377828756,0.03311130898296253,1.3681965153962243,1.3366252385947588,1.3575746242169597,10.0,1.0
19,0.9999834859499417,0.9999834859499417,3.5879302235714313e-06,20,4096,2.5e-05,0.9991225204059353,1.0748840893660692,0.02813421028364643,1.3667263737431816,1.3374127144313164,1.3574468931887387,10.0,1.0
20,0.9999827983245961,0.9999827983245961,2.0761155358619696e-06,20,4096,2.5e-05,0.9981055977021493,1.0725294906416276,0.033718128407476254,1.3672801628144295,1.3368671372385983,1.3578120398462892,10.0,1.0
25,0.9999836292633311,0.9999836292633311,3.152418385204949e-06,20,4096,2.5e-05,1.0002643504805304,1.0768878246900564,0.01817044038106407,1.3668806159645581,1.3382745720021125,1.357566309204385,10.0,1.0
29,0.9999841628962063,0.9999841628962063,8.202889918173039e-07,20,4096,2.5e-05,0.9992774741915172,1.074459344739252,0.02900362749470552,1.3659112412109287,1.3366545325227837,1.3573683099453122,10.0,1.0
30,0.9999834947645304,0.9999834947645304,3.0730503668946498e-06,20,4096,2.5e-05,0.9971263287367013,1.070515106049943,0.03153030305965568,1.365927872101428,1.3359785874284518,1.3564900052283528,10.0,1.0
35,0.9999838445795561,0.9999838445795561,1.3582218375292957e-06,20,4096,2.5e-05,1.00106571717843,1.0792773705698266,0.034252405796930105,1.3661594402959734,1.338136955836508,1.3578879063439235,10.0,1.0
39,0.9999824483439335,0.9999824483439335,2.9626920650358074e-06,20,4096,2.5e-05,1.0021506704254364,1.0801850984081671,0.024963826451330436,1.3662331418868374,1.3370908025102652,1.3573120651542059,10.0,1.0
40,0.9999832075928601,0.9999832075928601,1.3236272445824625e-06,20,4096,2.5e-05,0.9976520250983789,1.0723529660809943,0.02901855022171472,1.3659277061477133,1.337443244798362,1.3572372432490571,10.0,1.0
45,0.9999812360028024,0.9999812360028024,4.010108820749934e-06,20,4096,2.5e-05,0.9997384662415884,1.0756723495451093,0.008411505406836411,1.3649224002352107,1.3363629181461736,1.3571173616782244,10.0,1.0
49,0.9999840386169048,0.9999840386169048,1.43162545505378e-06,20,4096,2.5e-05,1.0031028606447425,1.0824330770880402,0.017908349823660217,1.366304525963129,1.3379982839561184,1.3574013417807722,10.0,1.0
50,0.9999833104389655,0.9999833104389655,3.7073210964296574e-06,20,4096,2.5e-05,1.000177729955373,1.07665927260813,0.026327882315122553,1.3658728187047813,1.3375484183452415,1.3573416884500902,10.0,1.0
