iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.008647466392136982,2.3598264523531935,0.3154178741843997,4096,0.04334724155835839,0.11324997435187899,64,0.9994049503481746,1.0751859362839942,0.06307621979165996,1.3637060152649514,1.3384091370568603,1.35707920820783,10.0,1.0
9,0.012420567293575435,2.357876035791241,0.354563769569453,4096,0.04334317414484511,0.11342946627835254,64,1.004788310150098,1.0822981371172165,0.07029821016682636,1.363893538371827,1.3336805309776185,1.355589102352177,10.0,1.0
10,0.00931554044303251,2.367234332903109,0.3283082718020551,4096,0.04335553125012442,0.11341916833659017,64,1.0055828553664967,1.0837656320783438,0.037318257710935755,1.3655905603446512,1.3387682401062981,1.3584158978418526,10.0,1.0
15,0.005573569339447859,2.355776449834534,0.20893638738779896,4096,0.043308545198475185,0.11333260255342217,64,1.0029970782110813,1.0829984872530045,0.06567860132834233,1.3645633787860953,1.3390597296368072,1.358221481701365,10.0,1.0
19,0.0048323632140518935,2.3555414392312377,0.21816378069721862,4096,0.04329306112611212,0.1137868602301085,64,1.0029897664950502,1.0805488601684081,0.07541961490757174,1.3640812155090571,1.3394168609254808,1.3571412738603137,10.0,1.0
20,0.014030261407838474,2.3594447526538245,0.3985566434535756,4096,0.043306359763986876,0.11341097387655563,64,0.9954418665428354,1.067685135733773,0.08452247427342052,1.3633745390967178,1.3358182996062669,1.3572048477238468,10.0,1.0
25,0.00633496676368317,2.3669640323187617,0.21534693227405394,4096,0.043279861805807944,0.11286170821436067,64,0.996722577958415,1.0686520707892981,0.04953574553703662,1.3657624610079904,1.3356816143368813,1.3573672326668347,10.0,1.0
29,0.005562946472350894,2.3587964701016264,0.21023421585194504,4096,0.04326155293951283,0.1131514107538297,64,1.0023282617663154,1.078935510638063,0.04970720403633052,1.366039014354746,1.3366906966428287,1.3569797817677827,10.0,1.0
30,0.004010441089320915,2.3469816223589017,0.1754600483653197,4096,0.04326765429337595,0.11328195609824993,64,1.0029654734997646,1.0787287744632157,0.05179403405432759,1.363019109109629,1.333487405043691,1.3568101973365965,10.0,1.0
35,0.009879325891333446,2.36068332825846,0.32887519695389095,4096,0.04325690127504639,0.1133096216918249,64,0.9953446951908318,1.0672966188572324,0.07497711840399908,1.3650807343210298,1.3385946127561423,1.3574217138238425,10.0,1.0
