iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.03215348217002968,0.0,0.0,False,2000,4096,1e-07,1.0010625456259943,1.076698149248646,0.031480405841577484,1.3691769162161507,1.3379919585530224,1.3578785674477105,10.0,1.0
9,0.02945088656176304,0.0061405897551914355,1.0,False,2000,4096,1e-07,0.9928535238617594,1.0633535901182691,0.050632919390672146,1.3657250376919734,1.3338154110700375,1.358114510559907,10.0,1.0
10,0.02831105163652097,0.005816303003186094,1.0,False,2000,4096,1e-07,1.0045043757741463,1.0829132955349485,0.0733306318288947,1.365279885795649,1.3370072674545779,1.3571069125382682,10.0,1.0
15,0.03162372767102994,0.0075761908038190755,1.0,False,2000,4096,1e-07,1.0002335062553538,1.0765063976422211,0.05522979126951525,1.3678341433846835,1.3375379192100465,1.3591678151478972,10.0,1.0
19,0.02973731772700171,0.006170179262772715,1.0,False,2000,4096,1e-07,0.996238537068075,1.0698915856187616,0.037834362596790766,1.364509651895621,1.3365475208420068,1.3575444564467471,10.0,1.0
20,0.03072458871964073,0.006156122572739677,1.0,False,2000,4096,1e-07,0.9976006447594736,1.0715035086728664,0.017143089127781053,1.3650533564030385,1.3341519390201637,1.3564415485914985,10.0,1.0
25,0.03156610215387503,0.005704006047266745,1.0,False,2000,4096,1e-07,0.9946141015146397,1.0665447507124128,0.02413785047867475,1.3634543220296016,1.3349694741382985,1.3578771792736128,10.0,1.0
29,0.026822004945297694,0.007048392696716306,1.0,False,2000,4096,1e-07,1.0058177367549288,1.0873195775056623,0.06719615273885954,1.3658974763644445,1.337669159410995,1.359046376938217,10.0,1.0
30,0.030671898788859345,0.006797163467455918,1.0,False,2000,4096,1e-07,0.9973081581523414,1.0698140209853588,0.02660348626807027,1.3632001315953215,1.3368596669703134,1.358191919466932,10.0,1.0
35,0.027904818443545084,0.006300067313510934,1.0,False,2000,4096,1e-07,1.0018857467791682,1.079467858729612,0.06536142640925648,1.3653001967795098,1.338920189010072,1.3579078882388869,10.0,1.0
39,0.03079281811796798,0.006418785120375629,1.0,False,2000,4096,1e-07,0.9984094707456828,1.0731811321747,0.08341515833614632,1.3654081572376742,1.3391785220374066,1.356738574936922,10.0,1.0
40,0.030090561773427102,0.00578351140603007,1.0,False,2000,4096,1e-07,0.997047127548979,1.0714044909242593,0.036556599845504044,1.3648634688163743,1.3379195017929246,1.3571844516762377,10.0,1.0
45,0.030403090479289675,0.005934414759369353,1.0,False,2000,4096,1e-07,0.9935954891769203,1.063554823622951,0.041247087757117,1.3649427195335058,1.3336859809997161,1.3565198729606422,10.0,1.0
49,0.029251934159828012,0.005912878921093681,1.0,False,2000,4096,1e-07,0.9948708925280432,1.0672806012474796,0.08058039125786914,1.36500243835773,1.3388793290836407,1.3581655124980692,10.0,1.0
50,0.02608789588310009,0.006139357085075101,1.0,False,2000,4096,1e-07,0.9934254474595172,1.0641264992947734,0.08471537853410407,1.3651052549743876,1.335872552292271,1.3568480763885788,10.0,1.0
55,0.026450702234085795,0.005258953482927933,1.0,False,2000,4096,1e-07,1.0025862985000327,1.0795648641854823,0.052367180986517166,1.364240662884439,1.3356195597314304,1.357407552875769,10.0,1.0
