iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.8965218375227424e-05,1.3062986848671223e-05,1.5902231526556202e-05,0.5490112769236577,8,200,200
9,2.6612906430373463e-05,1.1929303497710142e-05,1.4683602932663321e-05,0.5517474376983057,8,200,200
10,2.5298047242371416e-05,1.1403844028088415e-05,1.3894203214283001e-05,0.5492203837382261,8,200,200
15,2.561930603752756e-05,1.3175581029318056e-05,1.2443725008209505e-05,0.48571670871887557,8,200,200
19,2.8653356721360595e-05,1.5588144077016675e-05,1.306521264434392e-05,0.45597494113504766,8,200,200
20,2.5695113996982102e-05,1.2682534987690084e-05,1.3012579009292018e-05,0.5064223109039465,8,200,200
25,2.265686502374151e-05,9.980085716166987e-06,1.2676779307574524e-05,0.5595116223842475,8,200,200
29,2.190680449020099e-05,1.0547236304689362e-05,1.135956818551163e-05,0.518540629263972,8,200,200
30,2.5545711285854994e-05,1.4353475471122037e-05,1.1192235814732957e-05,0.43812582431127095,8,200,200
35,2.8238582381054267e-05,1.4733997494544606e-05,1.350458488650966e-05,0.4782316868558569,8,200,200
39,2.8048071325170684e-05,1.4128138894954775e-05,1.3919932430215909e-05,0.49628839961355886,8,200,200
40,2.9041323893198207e-05,1.3310377431381458e-05,1.573094646181675e-05,0.5416745641372468,8,200,200
45,2.420985987083466e-05,1.1564861324664671e-05,1.2644998546169988e-05,0.5223077958168305,8,200,200
49,2.52200138352276e-05,1.2805735990856398e-05,1.2414277844371202e-05,0.4922391369599805,8,200,200
50,2.426192491388892e-05,9.743150077160312e-06,1.4518774836728608e-05,0.5984180928866542,8,200,200
55,2.631550341709016e-05,1.4110702177224459e-05,1.2204801239865702e-05,0.46378748855473156,8,200,200
59,2.9292903909223807e-05,1.618309944872278e-05,1.3109804460501028e-05,0.44754198836438974,8,200,200
60,2.9032214665891405e-05,1.5237304317942489e-05,1.3794910347948917e-05,0.47515873338302067,8,200,200
65,2.4447991417347847e-05,1.3883310590914115e-05,1.0564680826433732e-05,0.4321287849821981,8,200,200
69,2.8525545312523803e-05,1.3635016053986535e-05,1.4890529258537268e-05,0.5220068221447727,8,200,200
70,2.4680108383227944e-05,1.2994016327958462e-05,1.1686092055269482e-05,0.4735024609215692,8,200,200
75,2.4142514686806145e-05,1.2417852589950512e-05,1.1724662096855633e-05,0.4856437802340096,8,200,200
79,2.4679934038653265e-05,1.1468559739205118e-05,1.3211374299448147e-05,0.5353083310010769,8,200,200
80,2.4989869657064458e-05,1.3061374953966327e-05,1.192849470309813e-05,0.477333210088434,8,200,200
85,2.6933023728725495e-05,1.3255405336590853e-05,1.3677618392134642e-05,0.5078382037567782,8,200,200
89,2.933612904280799e-05,1.4192669776172764e-05,1.5143459266635226e-05,0.5162050945623236,8,200,200
90,2.345046587748223e-05,1.0518244473006131e-05,1.2932221404476098e-05,0.551469700945002,8,200,200
95,3.0450183894450345e-05,1.5204913884032249e-05,1.5245270010418096e-05,0.5006626581718806,8,200,200
99,2.7234697764735474e-05,1.595403376502476e-05,1.1280663999710715e-05,0.4142019161423318,8,200,200
100,2.7391044950641468e-05,1.4800760052139316e-05,1.2590284898502152e-05,0.45964967459948264,8,200,200
105,2.910733767189773e-05,1.6135550855149178e-05,1.2971786816748553e-05,0.4456534968250438,8,200,200
109,2.7295432050854046e-05,1.311780732577183e-05,1.4177624725082216e-05,0.5194138234803509,8,200,200
110,2.497429210244209e-05,1.2757657005561233e-05,1.2216635096880857e-05,0.4891684235440757,8,200,200
115,2.5226448910413415e-05,1.2846355008914076e-05,1.2380093901499339e-05,0.49075848707302067,8,200,200
119,2.977957462202141e-05,1.6563852323227123e-05,1.3215722298794287e-05,0.44378479096949625,8,200,200
120,2.4550929169936112e-05,1.191454121021527e-05,1.2636387959720843e-05,0.5147010067217641,8,200,200
125,2.7240962437636308e-05,1.3176669762488113e-05,1.4064292675148195e-05,0.5162920622700492,8,200,200
129,2.5194467692463953e-05,1.3575332798894103e-05,1.161913489356985e-05,0.4611780266762814,8,200,200
130,2.6295069008461358e-05,1.327595545389624e-05,1.3019113554565118e-05,0.4951161584849145,8,200,200
135,2.3707590056978398e-05,1.1863659961999619e-05,1.1843930094978779e-05,0.4995838913408444,8,200,200
139,2.435003852069551e-05,1.2165378651143463e-05,1.2184659869552047e-05,0.5003959176161508,8,200,200
140,2.4292345907906014e-05,1.2525767484312808e-05,1.1766578423593206e-05,0.4843739039531682,8,200,200
145,2.8444450389654737e-05,1.4190969982395685e-05,1.4253480407259052e-05,0.5010988158323865,8,200,200
149,2.728278097132744e-05,1.4188241977008045e-05,1.3094538994319395e-05,0.47995616752122766,8,200,200
150,3.0024028838331763e-05,1.6078828326305168e-05,1.3945200512026595e-05,0.46446799618786394,8,200,200
155,2.869270116425433e-05,1.4747591806584786e-05,1.3945109357669543e-05,0.4860159131703678,8,200,200
159,2.465957406939531e-05,1.1270973444454483e-05,1.3388600624940828e-05,0.542937221351169,8,200,200
160,2.7720839651225825e-05,1.3639394615336243e-05,1.4081445035889582e-05,0.5079732509208787,8,200,200
165,2.714191608714313e-05,1.42609874536104e-05,1.2880928633532732e-05,0.47457698241261254,8,200,200
169,2.468324954722437e-05,1.3139965587675739e-05,1.1543283959548632e-05,0.46765657566536545,8,200,200
170,2.771895534032407e-05,1.3633537845990445e-05,1.4085417494333624e-05,0.5081510944910288,8,200,200
175,2.6307761363190766e-05,1.2099401977187633e-05,1.4208359386003133e-05,0.5400824186387502,8,200,200
179,2.2386875608671387e-05,1.2581656552147656e-05,9.805219056523731e-06,0.43798961623415433,8,200,200
180,2.856951627277649e-05,1.5089155405062131e-05,1.3480360867714359e-05,0.47184421111671443,8,200,200
185,2.7972075761830382e-05,1.2583878546211396e-05,1.5388197215618987e-05,0.5501271105742224,8,200,200
189,2.7045868580249957e-05,1.269472429459156e-05,1.4351144285658396e-05,0.5306224217971026,8,200,200
190,2.812348974653685e-05,1.4706992998420347e-05,1.3416496748116504e-05,0.4770566124272903,8,200,200
195,2.653026310820675e-05,1.2004091990058898e-05,1.4526171118147851e-05,0.5475321167717478,8,200,200
199,2.7772010403762708e-05,1.2536407143190564e-05,1.5235603260572144e-05,0.5485956198010044,8,200,200
