iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,2.7113797230427076e-05,0.01399251349216164,0.07030480072268415,1.0028349901808824,1.0826784741035704,1.0028349901808824,1.0826784741035704,1.0028349901808824,1.0826784741035704,0.08445395963456957,1.3827274024080323,1.342932439290584,1.3616581205873521,1.803467537625697,1.8541128382857137,1.9119350693700643,0.0,0.0,0.0,0.0,-0.000960747267745799,0.005117691072929867,0.0029885844244482472,0.00791875234496959,0.023547427270152705,4.530368919034255,5.302581285809785e-06,6.189355392486538e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2.6504410421274703e-05,0.013992429255955357,0.06960351072997557,0.9999593308148772,1.076449425616113,0.9999593308148772,1.076449425616113,0.9999593308148772,1.076449425616113,0.05227452904058353,1.3684947570703583,1.3341972849962602,1.3574420340834632,1.7800823963601262,1.8426488759962925,1.872777900129059,0.0,0.0,0.0,0.0,-0.0009118552404092546,0.005066846202699751,0.0028558954281152236,0.0067932032590359605,0.022651536332838545,4.530364752408154,6.578704689143149e-06,5.8648646423562876e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,2.661301364199369e-05,0.013992343880183236,0.0689092182225506,1.0007189440429587,1.07688627499018,1.0007189440429587,1.07688627499018,1.0007189440429587,1.07688627499018,0.043254653803165954,1.3663834236401757,1.3392312733454521,1.3579958595114239,1.793540406619724,1.844152754471508,1.867003660398648,0.0,0.0,0.0,0.0,-0.0010017875477445336,0.005060576582878445,0.003124357994063285,0.007247510702115032,0.019638813235165812,4.5303601227239305,5.394624923334392e-06,6.157224097738639e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,2.6142255973371966e-05,0.013992262617496316,0.06822185298991981,1.0045199837017333,1.0844781934108225,1.0045199837017333,1.0844781934108225,1.0045199837017333,1.0844781934108225,0.04780447872077944,1.366220534243998,1.3387513343520412,1.3580583734666867,1.7922551376410847,1.8443225457579926,1.8665585481899551,0.0,0.0,0.0,0.0,-0.0009368115036790281,0.005026394351813893,0.0029914026599632236,0.008050781769600978,0.023355606450134292,4.530355760591425,4.959170956831788e-06,5.6319769411600364e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,2.7876126490336297e-05,0.013992176856734123,0.06754134348471419,0.9955493677635694,1.0681387988517583,0.9955493677635694,1.0681387988517583,0.9955493677635694,1.0681387988517583,0.07673542306218342,1.3684088932047087,1.3374163723627894,1.3586032074044136,1.7886825530719337,1.845802675169567,1.8725428990017359,0.0,0.0,0.0,0.0,-0.0009378527136617416,0.005195821280395776,0.0029583306765742614,0.007834754312868373,0.02524551167426789,4.530351388650579,4.882635694551147e-06,5.970901439742359e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,2.896999836490923e-05,0.013992087464733714,0.06686762231857943,0.9954332366831561,1.0681237461116113,0.9954332366831561,1.0681237461116113,0.9954332366831561,1.0681237461116113,0.038675497596503655,1.3694335023460635,1.330809771016986,1.3569715553394093,1.77105464680476,1.8413718070565912,1.875348117347806,0.0,0.0,0.0,0.0,-0.0010544982269744465,0.005278070845888389,0.0030678873943849635,0.007427943653446394,0.0238420717705016,4.53034684670014,4.091625711778329e-06,6.347033054301858e-05,0.03214283752294679,0.0,0.0,0.9999834670479821,0.008649034690709878,0.31546208189744285,0.04336214991067616,0.11327097727919688,1.3066006687620914e-05,1.5903991677288315e-05,0.548981448910004
6,2.605710670517393e-05,0.013992005417967949,0.06620062175818311,0.9985679980595031,1.0726913232681181,0.9985679980595031,1.0726913232681181,0.9985679980595031,1.0726913232681181,0.036043988569373124,1.3669690243104635,1.3385765743661961,1.3580271038728797,1.7917872454668917,1.8442376149138522,1.8686043134243007,0.0,0.0,0.0,0.0,-0.000965416842542918,0.005012492097281391,0.0028517205275060895,0.007809144731281594,0.02164672555964565,4.530342540845434,7.029931268798917e-06,5.7974393000385664e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,2.46566186424172e-05,0.013991929229229972,0.06554027217114647,1.0056237040620273,1.0862428566065323,1.0056237040620273,1.0862428566065323,1.0056237040620273,1.0862428566065323,0.08209139902419378,1.3664697547703817,1.339578847044338,1.356737413602003,1.794471487989772,1.84073640948453,1.867239590702227,0.0,0.0,0.0,0.0,-0.000947633015081022,0.004874280491636242,0.0029397532474230168,0.0074327875488815745,0.020303811919558344,4.530338710446536,4.539618883810454e-06,5.4891940526424646e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,3.087890123455245e-05,0.013991832638411708,0.06488650682477344,1.0024041751385202,1.0805138371270355,1.0024041751385202,1.0805138371270355,1.0024041751385202,1.0805138371270355,0.029867955278871053,1.3656861467612695,1.3376229493814065,1.3582130130096366,1.789235161427582,1.844742588742054,1.8650986514556438,0.0,0.0,0.0,0.0,-0.0010511048051742326,0.005456563013756195,0.0029569152652627268,0.007287667727344256,0.02397357448655513,4.5303339357862225,8.646057459259105e-06,6.849226185421547e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.6625336166747606e-05,0.013991747794419203,0.06423927021072381,1.0000449583466138,1.0733324474481192,1.0000449583466138,1.0733324474481192,1.0000449583466138,1.0733324474481192,0.06094583077380528,1.3656234231886215,1.3387100561276422,1.3595776555365504,1.7921446143779503,1.8484514015082132,1.8649273339614088,0.0,0.0,0.0,0.0,-0.0009548697332339265,0.00507085396745966,0.0029076775949525395,0.008249132788411983,0.022266221633099825,4.5303297073503,5.297055075608805e-06,5.568900815375215e-05,0.027098638471899104,0.007494421239287463,1.0,0.9999842929380617,0.014031369716993258,0.40122614192474637,0.04337007829883186,0.11348080676341522,1.1942249431415177e-05,1.4683086735332429e-05,0.5514704732130347
10,2.5725332878513916e-05,0.013991669016704289,0.06359848364053633,1.0000261278596108,1.0751247223292972,1.0000261278596108,1.0751247223292972,1.0000261278596108,1.0751247223292972,0.08038244460996823,1.3665589371950595,1.3368303441733862,1.357627120676277,1.7871153733126264,1.8431514005032736,1.8674833288276906,0.0,0.0,0.0,0.0,-0.0009837474120354222,0.004975698333684181,0.0026724047024582675,0.006560516938911541,0.022154348459487397,4.530325805495562,6.66536808411989e-06,5.954132306523309e-05,0.028306116392295043,0.005731233795534611,1.0,0.9999840579185337,0.007347323185623367,0.2743236042356303,0.043366384432596314,0.11342560518553865,1.1832980618592949e-05,1.3892352259920967e-05,0.5400261417617657
11,2.4275270837780843e-05,0.013991590561188604,0.06296409104583427,0.9996672968568577,1.076620074955368,0.9996672968568577,1.076620074955368,0.9996672968568577,1.076620074955368,0.025504744415816846,1.3633531507446426,1.3374783728690622,1.358752499341959,1.7888483978935217,1.8462083545248125,1.8587318136453441,0.0,0.0,0.0,0.0,-0.0009015595514121422,0.004843806479726289,0.002867177542772274,0.00794630717616781,0.02004712277227365,4.530321842206134,5.7869053159653325e-06,5.373188988361874e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
12,2.7607751335772483e-05,0.01399150353965388,0.062336023489820515,1.0030879438562053,1.0822568625963038,1.0030879438562053,1.0822568625963038,1.0030879438562053,1.0822568625963038,0.048662455894961744,1.3641986435660385,1.3352958963754902,1.3578842405951959,1.7830151309734832,1.8438496109382905,1.8610379391074192,0.0,0.0,0.0,0.0,-0.000857633200332339,0.005183841879288005,0.003009717330907857,0.006941920658364593,0.022337219802001058,4.530317480394014,6.061245856998171e-06,6.290170326998816e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
13,2.4660419751396646e-05,0.013991429919064978,0.0617142273605643,0.9950351800452606,1.0651762252675063,0.9950351800452606,1.0651762252675063,0.9950351800452606,1.0651762252675063,0.06575040496182093,1.3629037918783247,1.332077180411131,1.3569147682610918,1.7744296444603378,1.84121768834132,1.8575067459163157,0.0,0.0,0.0,0.0,-0.0008384740449810632,0.004894627772087449,0.0029547326521870755,0.007444052921112826,0.024483017014128076,4.530313775483916,6.856959122955767e-06,4.9124648153124114e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
14,2.5920463411794157e-05,0.013991347558330414,0.06109863174572098,1.0109307738589477,1.0965902687234703,1.0109307738589477,1.0965902687234703,1.0109307738589477,1.0965902687234703,0.07157811477568204,1.365859255526832,1.3398331244198585,1.3588127338385259,1.7951528014354687,1.8463720458225985,1.865571505908312,0.0,0.0,0.0,0.0,-0.0009318787530310804,0.005005203832157428,0.002752062045354376,0.007575784769568432,0.023143027219504373,4.53030975853916,4.862283791052148e-06,5.742924055947799e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
15,2.5479604981272904e-05,0.013991270884282321,0.06048917963970187,0.9978514889396677,1.070632063310628,0.9978514889396677,1.070632063310628,0.9978514889396677,1.070632063310628,0.11107241531219884,1.3673848104844613,1.3375482582628457,1.3572867672049689,1.7890353433072994,1.8422273700568688,1.869741219943626,0.0,0.0,0.0,0.0,-0.001049956836575943,0.004937326768870007,0.002837702264954591,0.006760423861699275,0.023333345576484435,4.530305661114255,6.449495015688141e-06,5.4095507139867e-05,0.03154014371572577,0.007526124508736455,1.0,0.9999841741745021,0.0055731143062276445,0.20893162622833994,0.043324982895146996,0.1133547265662879,1.3035307856142129e-05,1.2444297125130775e-05,0.4884022783821465
16,2.368611800025123e-05,0.013991196835520026,0.059885803148076774,1.0045142820432302,1.0849928827677002,1.0045142820432302,1.0849928827677002,1.0045142820432302,1.0849928827677002,0.053479111834970255,1.3674934025543628,1.3363803959276659,1.3574989622296254,1.7859125947269436,1.8428034328009955,1.8700382060297085,0.0,0.0,0.0,0.0,-0.0008109347464025016,0.004798802229445212,0.0027268619927137195,0.0072814809466864635,0.02688309378263154,4.530301998633348,4.469792900492448e-06,4.889063315192361e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
17,2.6230941506846872e-05,0.013991111230003662,0.059288445020371526,0.9968524569364772,1.0732284326226853,0.9968524569364772,1.0732284326226853,0.9968524569364772,1.0732284326226853,0.06274627753322644,1.3666768183919171,1.3419918059500902,1.3583006431758755,1.800942007643832,1.8449806374040418,1.8678055259298532,0.0,0.0,0.0,0.0,-0.0009355878888399501,0.005035436109127279,0.0029880678776506263,0.007763159394517518,0.02445763221867659,4.530297845520786,5.856923542908439e-06,5.776111171787261e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
18,2.4802252851827523e-05,0.013991034285370137,0.05869704407054937,0.9985214186032558,1.0723934273183218,0.9985214186032558,1.0723934273183218,0.9985214186032558,1.0723934273183218,0.08213496695330366,1.3674536513536353,1.3417669787259214,1.3590771118748344,1.800338625392886,1.847090596605861,1.8699294886003894,0.0,0.0,0.0,0.0,-0.0008968026702731451,0.0048987751349106115,0.0027802821855461043,0.006989611927926765,0.02578110236297213,4.530293789213025,5.360804059790074e-06,5.29354473924047e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
19,2.738343068111346e-05,0.013990950145681899,0.05811154134296075,1.0009057521291598,1.0753156540353834,1.0009057521291598,1.0753156540353834,1.0009057521291598,1.0753156540353834,0.04552561452879284,1.366872440284251,1.3361671421430366,1.3571070488934975,1.7853426317449734,1.8417395422420868,1.8683402680086232,0.0,0.0,0.0,0.0,-0.0009752927575289117,0.005141228911284258,0.002823137895363184,0.007501918686462167,0.030241637956409797,4.530289755719981,4.754955693194759e-06,5.7836083747572353e-05,0.03170964537953241,0.005685967785698323,1.0,0.9999834809372627,0.004779177236795107,0.2164905880609549,0.04330730738146349,0.11380516907333055,1.4392782614586876e-05,1.2990648066526583e-05,0.47439812117794
20,2.5728218995457055e-05,0.013990871638492369,0.05753187871564248,1.003019625901923,1.0830822701777052,1.003019625901923,1.0830822701777052,1.003019625901923,1.0830822701777052,0.05702848397932209,1.3658320592938356,1.3377062446764265,1.3582722759710297,1.7894580041553136,1.8449035757993937,1.8654972141948396,0.0,0.0,0.0,0.0,-0.0009124237474786678,0.004989559289205214,0.003090610810419966,0.00757982021952482,0.022036231244502637,4.530285833529475,4.6767323587838285e-06,5.476577920067923e-05,0.03287771574663348,0.00615152309454899,1.0,0.9999822598609676,0.016205785636918213,0.4368426632751919,0.0433123439995956,0.1134353731318672,1.2714629361995986e-05,1.3013589633461069e-05,0.505809968259324
21,2.732698858788361e-05,0.013990785442760683,0.056958002198098365,1.0007735586895792,1.078037114211271,1.0007735586895792,1.078037114211271,1.0007735586895792,1.078037114211271,0.08681540606354786,1.3642373171382112,1.3369651442991277,1.3573365447478403,1.7874758035506302,1.8423624957308964,1.8611434574724641,0.0,0.0,0.0,0.0,-0.0009637675047466367,0.005137912103634905,0.0028770699210867,0.0072971083990677815,0.02461277896663742,4.530281537839223,6.373320314661927e-06,5.974656222996928e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
22,2.5246995738124023e-05,0.01399070580046756,0.056389847493935254,0.9962684310215935,1.0706852334006027,0.9962684310215935,1.0706852334006027,0.9962684310215935,1.0706852334006027,0.02704908820974055,1.365069795727802,1.338139318058586,1.3574384151270047,1.7906168361080448,1.8426390508634505,1.863415547208343,0.0,0.0,0.0,0.0,-0.0008945818765133927,0.0049443623455747866,0.0029065890071445434,0.0073924479140791725,0.02322931338685247,4.5302777889238355,5.4925730275719076e-06,5.5332731053568726e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
23,2.4320893069505542e-05,0.013990632483185012,0.05582736253760817,1.0016480337939782,1.082085038902026,1.0016480337939782,1.082085038902026,1.0016480337939782,1.082085038902026,0.09194398423560075,1.366330543864482,1.3401429473737427,1.356861631545357,1.7959831216667999,1.8410734871629424,1.866859155097011,0.0,0.0,0.0,0.0,-0.0008764522176100184,0.004853114935765691,0.002721743663135383,0.006372273699257133,0.021494384062773188,4.5302738100748465,4.874614432153717e-06,5.451046388394019e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
24,3.0124970550865433e-05,0.013990538552155252,0.055270482799332485,0.9971954238350391,1.069572433818157,0.9971954238350391,1.069572433818157,0.9971954238350391,1.069572433818157,0.08436763351243687,1.3659849155003123,1.338596598769017,1.3578341115554624,1.7918408563198724,1.8437134746211712,1.8659147893743955,0.0,0.0,0.0,0.0,-0.0010168064979582372,0.005393614288821119,0.003056589286469988,0.008010647503737676,0.023733775964913603,4.530269072163487,6.007217760999879e-06,6.708697854114826e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
25,2.2697876805716004e-05,0.013990464703920909,0.05471915829336613,0.9974614448711256,1.0707801517729274,0.9974614448711256,1.0707801517729274,0.9974614448711256,1.0707801517729274,0.06523436538881146,1.3654195630071138,1.335536894004396,1.3571336732960424,1.7836587952812335,1.8418118072299925,1.8643705830425374,0.0,0.0,0.0,0.0,-0.0008002919166151865,0.004696531662186086,0.002978510149166493,0.007397829347062736,0.023908085601668027,4.530265379180883,5.642998012920352e-06,5.096366510276066e-05,0.03182597880027527,0.005750985602775619,1.0,0.9999836881207103,0.004243417568180585,0.16323106196963813,0.04329573593529369,0.11286709808297177,1.0019599704245148e-05,1.2678277101470856e-05,0.5585666540527741
26,3.178314490383534e-05,0.013990372275139242,0.05417334186765676,1.00215713668395,1.077775296918229,1.00215713668395,1.077775296918229,1.00215713668395,1.077775296918229,0.09386023333171263,1.3654219378929409,1.3362369489369692,1.3556512685351785,1.7855291848032844,1.8377903619717453,1.864377068479314,0.0,0.0,0.0,0.0,-0.001038885506134406,0.0055411065509498375,0.0029789699909976626,0.007969188776033932,0.02739886306425602,4.530260903480931,6.505179266368454e-06,6.780871952063728e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
27,2.6214731418897674e-05,0.013990287237408215,0.05363296286943925,1.0026575625516025,1.0823696651768007,1.0026575625516025,1.0823696651768007,1.0026575625516025,1.0823696651768007,0.07289299307787522,1.365679649138695,1.3397616586797698,1.3572522069945199,1.794961303813004,1.8421335541671982,1.8650809040715894,0.0,0.0,0.0,0.0,-0.0010401177264887159,0.005013271041340335,0.002957858974596632,0.0072379449196783964,0.01950139907083782,4.53025645512841,4.599528258374864e-06,6.045723895505461e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
28,2.5222832316979623e-05,0.013990212544517256,0.05309797714885745,0.9989896160928231,1.072510604268772,0.9989896160928231,1.072510604268772,0.9989896160928231,1.072510604268772,0.05860954032356932,1.3675582325785773,1.3367233801797316,1.3582308903436402,1.786829395123657,1.8447911516437299,1.8702155194934422,0.0,0.0,0.0,0.0,-0.0009627826880021762,0.004929085291680691,0.0029033615604988038,0.007143096479934748,0.024296896987114208,4.5302525148919415,6.069848492204104e-06,5.402922965854199e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
29,2.1906454550876556e-05,0.013990144447646818,0.05256832604422213,1.0018697161895134,1.077755084030648,1.0018697161895134,1.077755084030648,1.0018697161895134,1.077755084030648,0.07956529408472224,1.3667026862573632,1.3384585122819876,1.3579289032079886,1.7914711892810227,1.8439709074987953,1.8678762326230927,0.0,0.0,0.0,0.0,-0.0009016683560032861,0.004592760469114287,0.002810775022727718,0.006937209311277995,0.017629840723439573,4.530248754675945,5.590120922313306e-06,4.8132171242307436e-05,0.026756445563638192,0.007273483682240054,1.0,0.9999842832030285,0.0055353306458000295,0.209902320452055,0.043274443287471806,0.11316920888713966,1.0546383921755503e-05,1.1360070629121053e-05,0.5185718484357157
30,2.5549681881543822e-05,0.013990062704872876,0.05204396257722887,0.9953610725962,1.068154474415285,0.9953610725962,1.068154474415285,0.9953610725962,1.068154474415285,0.05585541078092834,1.366159066276217,1.333637814503862,1.3562033103909628,1.7785898227933772,1.8392874213189272,1.8663905943687054,0.0,0.0,0.0,0.0,-0.0009962017806997606,0.004955528618994592,0.0029921709149542497,0.007213326329407806,0.022757614299403563,4.53024463825981,6.9386436328659606e-06,5.7312864315322136e-05,0.030829552203842717,0.006943561399597973,1.0,0.9999837310246609,0.003873457881574671,0.1680972893880576,0.043283719007553546,0.11330195837801482,1.4354838985145922e-05,1.11948428963979e-05,0.43815977624694635
