iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.030548583799994616,0.0,0.0,False,2000,4096,1e-07,1.0010617675886606,1.0768637162785026,0.031410646785280716,1.3677900608223492,1.3376320435971605,1.3584837318126302,10.0,1.0
9,0.02977867440476302,0.005690331150577044,1.0,False,2000,4096,1e-07,0.9929689499162462,1.0635065275418942,0.050573764970687086,1.3656395296323793,1.33484306582366,1.3581939014087507,10.0,1.0
10,0.027986290321294658,0.0056152309340248095,1.0,False,2000,4096,1e-07,1.0039680858887188,1.0819447126226902,0.06284642047772855,1.3658634347204492,1.3373378218525493,1.356964454189883,10.0,1.0
15,0.027054948858235076,0.005538496489113515,1.0,False,2000,4096,1e-07,1.000533718376491,1.0771597205137888,0.061308927613030355,1.3671148560309092,1.337982713767465,1.3593147673392165,10.0,1.0
19,0.030062659764192187,0.005865824556012867,1.0,False,2000,4096,1e-07,0.9966185575193715,1.070780681096354,0.036942776752404295,1.363744539216182,1.336379904175377,1.3575465300018987,10.0,1.0
20,0.03287601521577685,0.0066953743855955455,1.0,False,2000,4096,1e-07,0.9976353145640847,1.0718711601279234,0.019061060866387612,1.3656821121260045,1.336945021195195,1.356848861726676,10.0,1.0
25,0.03161546555961615,0.00587782011829562,1.0,False,2000,4096,1e-07,0.9945058135833028,1.0664312228225072,0.02363793343816366,1.3633615834997528,1.3354685961129433,1.3580137754109627,10.0,1.0
29,0.025955852941256456,0.00767544686504598,1.0,False,2000,4096,1e-07,1.0058222181912324,1.0874104862888785,0.06701502332863403,1.366221197540341,1.3383900718550625,1.3588790885878823,10.0,1.0
30,0.030652133074814618,0.0073701215848112145,1.0,False,2000,4096,1e-07,0.9973205262749686,1.0699305405390611,0.026691595569874653,1.3637530821098736,1.3369234845714946,1.358596488710411,10.0,1.0
35,0.028606431285920567,0.006225823154721147,1.0,False,2000,4096,1e-07,1.0019635641145168,1.0795789924153043,0.06425711917460647,1.3662023987520087,1.3384742348224998,1.3577623835483223,10.0,1.0
39,0.03117495429054207,0.0063916699473579395,1.0,False,2000,4096,1e-07,0.9983878354842566,1.0731493043724365,0.08337657598695272,1.3652701838621188,1.3392246899664775,1.3569110977737406,10.0,1.0
40,0.03321986735796272,0.00632297794294907,1.0,False,2000,4096,1e-07,0.9963961449549841,1.0700067844476033,0.03649708588385459,1.3654591533779712,1.337470231788482,1.357254020626173,10.0,1.0
45,0.03047492366525222,0.006471505386526702,1.0,False,2000,4096,1e-07,0.9936492087585789,1.063685923134022,0.040842164491593655,1.3652711002198699,1.334192967015377,1.357187783966776,10.0,1.0
49,0.028924244202376565,0.006074208863327196,1.0,False,2000,4096,1e-07,0.9949756333901549,1.06746370956637,0.08058553040163527,1.3659917197801734,1.3392149565501752,1.3580761741032432,10.0,1.0
50,0.026063449273711292,0.00605066970000392,1.0,False,2000,4096,1e-07,0.9934491608109524,1.064198598158137,0.08617344982815409,1.3659724630567567,1.335656113015432,1.357028655604759,10.0,1.0
55,0.026461037836037378,0.005287594825504477,1.0,False,2000,4096,1e-07,1.0025346204528818,1.0795086140713477,0.051753541014823816,1.364495325937165,1.3358756879921074,1.357379415511181,10.0,1.0
59,0.027439263081427672,0.005717248894357927,1.0,False,2000,4096,1e-07,0.9938918202379485,1.0653350727612092,0.08696896799115081,1.3634974442095589,1.3350988980276979,1.3559515808958673,10.0,1.0
60,0.03266348645836019,0.008161997488301846,1.0,False,2000,4096,1e-07,0.9990939002613921,1.0739597918142483,0.04981763433250941,1.365192405581198,1.3372595491532826,1.3574105990873677,10.0,1.0
65,0.03279000949402078,0.005464406445818384,1.0,False,2000,4096,1e-07,1.0067050742913022,1.0879514171079718,0.08402207803003421,1.3630050134108769,1.340351643901824,1.3570902070588942,10.0,1.0
69,0.025335242682569672,0.009345907343858945,1.0,False,2000,4096,1e-07,0.999971413583601,1.0772367427658494,0.03416464865058802,1.3641826261916439,1.3357190844061886,1.3566648639347991,10.0,1.0
70,0.028624506655174412,0.006557251298322074,1.0,False,2000,4096,1e-07,0.9913194831808617,1.0582125124005826,0.06578028304237554,1.3619114647363355,1.3340409577296994,1.3572718367151029,10.0,1.0
75,0.03336953849711753,0.007820359303103559,1.0,False,2000,4096,1e-07,1.0028068570196718,1.0795569121298123,0.05160317571351526,1.3625257093439338,1.3337286316287147,1.3559499488540008,10.0,1.0
