iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.9738044936043197e-05,1.3198088996287322e-05,1.6539955939755873e-05,0.5561884103453305,8,200,200
9,2.6813785925015177e-05,1.1955450656313334e-05,1.4858335268701843e-05,0.5541304502934877,8,200,200
10,2.544305416762044e-05,1.1493579497142917e-05,1.3949474670477521e-05,0.5482625858742235,8,200,200
15,2.4881225704226516e-05,1.2255078300270688e-05,1.2626147403955828e-05,0.5074568091639896,8,200,200
19,2.779095843521259e-05,1.4803266554393484e-05,1.2987691880819106e-05,0.46733515546419674,8,200,200
20,2.5727835245545304e-05,1.2714053798454594e-05,1.301378144709071e-05,0.5058249682838748,8,200,200
25,2.292825745913031e-05,1.0027357645202434e-05,1.2900899813927877e-05,0.5626637714149787,8,200,200
29,2.3450625541378503e-05,1.0546556850621033e-05,1.290406869075747e-05,0.5502654361176127,8,200,200
30,2.6310728895819845e-05,1.5450093187900013e-05,1.0860635707919832e-05,0.4127835359835026,8,200,200
35,2.8306747254496443e-05,1.47681021706873e-05,1.3538645083809142e-05,0.47828332100780563,8,200,200
39,2.905213574816927e-05,1.4348944934847543e-05,1.4703190813321727e-05,0.5060967269591619,8,200,200
40,2.9161094089087745e-05,1.3348069553679908e-05,1.5813024535407837e-05,0.5422644461520792,8,200,200
45,2.3650375463572992e-05,1.099746684599281e-05,1.2652908617580181e-05,0.534998213329364,8,200,200
49,2.5036959011519633e-05,1.2602623880555342e-05,1.2434335130964292e-05,0.4966391934916373,8,200,200
50,2.4226524658961074e-05,9.742125394363315e-06,1.4484399264597758e-05,0.5978735897325731,8,200,200
55,2.5260637728816863e-05,1.3055139289245595e-05,1.2205498439571268e-05,0.48318251386216843,8,200,200
59,2.9367420775573972e-05,1.618732060752352e-05,1.3180100168050452e-05,0.448800058703584,8,200,200
60,2.937402045388336e-05,1.4817377250539573e-05,1.4556643203343786e-05,0.4955618256682783,8,200,200
65,2.4600621257747373e-05,1.4006964184471978e-05,1.0593657073275394e-05,0.4306255912110015,8,200,200
69,2.817068129059963e-05,1.3939435687910014e-05,1.4231245602689616e-05,0.5051793194450888,8,200,200
70,2.468077084792768e-05,1.2995781507703007e-05,1.1684989340224672e-05,0.47344507236919636,8,200,200
75,2.3706890149569103e-05,1.193287843721705e-05,1.1774011712352052e-05,0.4966493554434451,8,200,200
79,2.4618592117583375e-05,1.0545856369173755e-05,1.407273574840962e-05,0.5716304036069727,8,200,200
80,2.4955378424204527e-05,1.3276433577126628e-05,1.1678944847077899e-05,0.4679930974619222,8,200,200
85,2.693550689932482e-05,1.3248684743826293e-05,1.3686822155498528e-05,0.5081330827244097,8,200,200
89,2.934166561959553e-05,1.4210591506452291e-05,1.5131074113143238e-05,0.5156855888589401,8,200,200
90,2.3349842068803046e-05,1.0418393635076335e-05,1.2931448433726711e-05,0.5538131005607098,8,200,200
95,3.0344695237005454e-05,1.509297800314076e-05,1.5251717233864694e-05,0.5026156010051198,8,200,200
