iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,2.3969515035360918e-05,0.01399252241424734,0.07492476916298516,1.0025922107843757,1.083611157156945,1.0025922107843757,1.083611157156945,1.0025922107843757,1.083611157156945,0.07576369235609876,1.4143882091323707,1.3461386637990391,1.3681788081834412,1.8120893021943045,1.871913251669355,2.000494006132675,0.0,0.0,0.0,0.0,-0.0008107149976944204,0.004828276734806556,0.0030689507154270245,0.007519351914797376,0.023590759529079314,4.530369146905659,5.3354389429761544e-06,5.474786891157507e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2.663065319857337e-05,0.013992436683881258,0.07417739535375846,0.9999202674478508,1.0764778753792554,0.9999202674478508,1.0764778753792554,0.9999202674478508,1.0764778753792554,0.052121055463600144,1.3689749530337827,1.3346137141855412,1.3575457597555034,1.781193768439886,1.8429304909910176,1.8740924220338475,0.0,0.0,0.0,0.0,-0.0009356788592765792,0.005074954016626776,0.0028496002214293405,0.006853446546175894,0.022650791679851602,4.5303649031865465,6.245913678686445e-06,5.989958976875162e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,2.6596425358475006e-05,0.01399235134184775,0.07343747833610251,1.000746713872691,1.0769714178805752,1.000746713872691,1.0769714178805752,1.000746713872691,1.0769714178805752,0.04341234116912814,1.366755574455917,1.339709705204499,1.358100099350081,1.7948220944712547,1.844435879906451,1.8680208003063237,0.0,0.0,0.0,0.0,-0.001002135433377946,0.005058868443796835,0.003129828661016344,0.007266802342122321,0.019628597218567866,4.5303602782219965,5.385410225188495e-06,6.156133229964223e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,2.6401302297510968e-05,0.013992269170582649,0.07270494259941837,1.0045319550992633,1.0846192407767035,1.0045319550992633,1.0846192407767035,1.0045319550992633,1.0846192407767035,0.04791759164148893,1.3668018324743496,1.338496930315693,1.3580146883436939,1.7915740478882227,1.8442038938125207,1.86814724925524,0.0,0.0,0.0,0.0,-0.0009424708149355757,0.00505104455142752,0.003000929412241715,0.0076054845600842195,0.023358683415141263,4.530355885035967,4.869958881464336e-06,5.7142817403543285e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,2.75355313587867e-05,0.01399218414902249,0.07197971438681051,0.9956152969911696,1.0683294895657482,0.9956152969911696,1.0683294895657482,0.9956152969911696,1.0683294895657482,0.07648696260521562,1.3688013146840792,1.3372593078057018,1.358928263931114,1.7882624564760203,1.8466860269078098,1.8736170390808635,0.0,0.0,0.0,0.0,-0.0009578749614731833,0.005159264183676723,0.0028566346001139818,0.007843288809963806,0.025244778289141005,4.5303515560203556,4.782086349547421e-06,5.927763365852532e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,2.962727175741414e-05,0.01399209255091553,0.07126171906306634,0.9955361492058779,1.0683356088132048,0.9955361492058779,1.0683356088132048,0.9955361492058779,1.0683356088132048,0.03822269620774774,1.370275762293363,1.3313581653147049,1.3576722976715887,1.7725145646306792,1.8432740680249384,1.877655664728657,0.0,0.0,0.0,0.0,-0.0010813865718425238,0.00533459228429435,0.003172519896302981,0.007475619477804824,0.02384225484070178,4.530346964741233,4.024316247394916e-06,6.500755931832506e-05,0.03057710833882673,0.0,0.0,0.9999836270626153,0.006733150182846037,0.2659568184924647,0.0433849215766277,0.11330042860380392,1.3180490822697717e-05,1.6446780934716424e-05,0.5551230322312977
6,2.6529586504146478e-05,0.013992009267300433,0.07055088861667913,0.9984551607497832,1.0724591041871192,0.9984551607497832,1.0724591041871192,0.9984551607497832,1.0724591041871192,0.03611544244942587,1.367336906245409,1.337997303289878,1.3581146575046363,1.7902367882663426,1.8444754232008849,1.8696102151807665,0.0,0.0,0.0,0.0,-0.0009722729779342981,0.005058089734329083,0.0028350915957893238,0.00780218574247389,0.021627392955502943,4.530342805675477,6.986354710902256e-06,5.967468424064306e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,2.5244279135239067e-05,0.013991932008174793,0.06984714539460754,1.0055756949032513,1.0861134959464465,1.0055756949032513,1.0861134959464465,1.0055756949032513,1.0861134959464465,0.08218371719028604,1.3673418407443478,1.3393918431205873,1.3573992736283946,1.7939705110029183,1.8425327883108482,1.8696237094501416,0.0,0.0,0.0,0.0,-0.0009525731804965229,0.004933242693304051,0.002948149932505146,0.007445332528835,0.02028897348419377,4.530338908931564,4.5470826524736255e-06,5.5706689430928855e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,3.1087885521520215e-05,0.013991835803939874,0.06915041834964206,1.0024243245807476,1.0805386846741216,1.0024243245807476,1.0805386846741216,1.0024243245807476,1.0805386846741216,0.030357005141790815,1.3662838143566027,1.3378679523838772,1.3580728131721356,1.7898906581418332,1.8443617670797376,1.8667314613728276,0.0,0.0,0.0,0.0,-0.0010841456189027785,0.0054692333830742785,0.0029296226107300666,0.007273458226255863,0.023974189777427372,4.530334098352559,7.378738718938084e-06,6.790698033348473e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.6796011389048093e-05,0.01399175067049611,0.06846064926881623,1.0000220162331233,1.0733207860677594,1.0000220162331233,1.0733207860677594,1.0000220162331233,1.0733207860677594,0.06081913748321059,1.367093041446133,1.3387823799854999,1.3592729023551546,1.7923382644740056,1.8476228270420803,1.8689433839704386,0.0,0.0,0.0,0.0,-0.0009500405911835865,0.005088559154038757,0.002902854590614188,0.008375791465745653,0.023488238721632436,4.530329922786475,5.0595585446207085e-06,5.55498960562497e-05,0.029881868022296247,0.005627465294858381,1.0,0.9999841110172123,0.014069198098965341,0.40192854954742274,0.04339631117058103,0.11351713886341036,1.195621405925645e-05,1.4839797329791643e-05,0.5538062032566861
