iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.962727175741414e-05,1.3180490822697717e-05,1.6446780934716424e-05,0.5551230322312977,8,200,200
9,2.6796011389048093e-05,1.195621405925645e-05,1.4839797329791643e-05,0.5538062032566861,8,200,200
10,2.5040409525131072e-05,1.1493261865649146e-05,1.3547147659481926e-05,0.5410114257870156,8,200,200
15,2.4881569142719577e-05,1.2254273571515296e-05,1.2627295571204281e-05,0.5074959500654751,8,200,200
19,2.77900919980552e-05,1.4803524449381084e-05,1.2986567548674116e-05,0.4673092679787796,8,200,200
20,2.5646311248999554e-05,1.2632056931467645e-05,1.3014254317531909e-05,0.5074513130241912,8,200,200
25,2.2975758140461833e-05,1.0030392053126697e-05,1.2945366087335136e-05,0.5634358617545459,8,200,200
29,2.3455845132087032e-05,1.0546816720200378e-05,1.2909028411886655e-05,0.5503544357149346,8,200,200
30,2.630405256256767e-05,1.5450825047599406e-05,1.0853227514968263e-05,0.4126066692253,8,200,200
35,2.8264148291207106e-05,1.4726618914513831e-05,1.3537529376693275e-05,0.47896470246388995,8,200,200
39,2.9043893750811037e-05,1.4342653241150003e-05,1.4701240509661034e-05,0.5061731955017398,8,200,200
40,2.968395633779593e-05,1.3348693681389328e-05,1.6335262656406606e-05,0.550306113865532,8,200,200
45,2.3648347090057875e-05,1.0997683553715361e-05,1.2650663536342514e-05,0.5349491652911778,8,200,200
49,2.4996104425325194e-05,1.2603010069892765e-05,1.239309435543243e-05,0.4958010314149661,8,200,200
50,2.4214815142682912e-05,9.741822859115578e-06,1.4472992283567334e-05,0.5976916279677111,8,200,200
55,2.5260733973899266e-05,1.3055108786767143e-05,1.2205625187132123e-05,0.4831856904769127,8,200,200
59,2.9361751264549074e-05,1.618656144716134e-05,1.3175189817387735e-05,0.44871948197774075,8,200,200
60,2.9375358247568047e-05,1.4815729493546575e-05,1.4559628754021473e-05,0.4956408916383802,8,200,200
65,2.463969081868532e-05,1.4010398762340906e-05,1.0629292056344413e-05,0.43138901922761835,8,200,200
69,2.817913154071784e-05,1.3946897349301854e-05,1.4232234191415987e-05,0.505062910503502,8,200,200
70,2.4727901449123764e-05,1.3036467962386333e-05,1.169143348673743e-05,0.47280330321567654,8,200,200
75,2.364861742806016e-05,1.1853407527445854e-05,1.1795209900614306e-05,0.498769534265405,8,200,200
79,2.4619010689811638e-05,1.0545867766119273e-05,1.4073142923692366e-05,0.5716372238108013,8,200,200
80,2.495157912376254e-05,1.3276711653348914e-05,1.1674867470413627e-05,0.46790094576800195,8,200,200
85,2.7027311991851097e-05,1.3344699182884603e-05,1.3682612808966493e-05,0.5062513361703113,8,200,200
89,2.935259960326046e-05,1.4211706579682577e-05,1.5140893023577884e-05,0.5158280093834021,8,200,200
90,2.2936050272939344e-05,1.0417997780003177e-05,1.2518052492936167e-05,0.5457806529010512,8,200,200
95,3.0344610178226352e-05,1.5092668970985067e-05,1.5251941207241285e-05,0.5026243908773378,8,200,200
99,2.763025311658611e-05,1.5994581443882933e-05,1.1635671672703177e-05,0.421120705033224,8,200,200
100,2.7785031116233555e-05,1.5122208578898697e-05,1.2662822537334858e-05,0.45574260775027653,8,200,200
105,2.9095609792239332e-05,1.6135897130659895e-05,1.2959712661579437e-05,0.4454181491338319,8,200,200
109,2.7307595536711455e-05,1.3129888758733857e-05,1.4177706777977598e-05,0.5191854683403944,8,200,200
110,2.4972422023284453e-05,1.2757233311585714e-05,1.221518871169874e-05,0.4891471360010341,8,200,200
115,2.5168599757562716e-05,1.2846162603209318e-05,1.2322437154353398e-05,0.48959565780574366,8,200,200
119,3.0124322090287237e-05,1.6899084327257463e-05,1.3225237763029774e-05,0.43902192133624446,8,200,200
120,2.44534015936606e-05,1.1910636020519018e-05,1.2542765573141582e-05,0.5129251865062904,8,200,200
125,2.6455929438622457e-05,1.3178491853448354e-05,1.3277437585174103e-05,0.5018700105009598,8,200,200
129,2.4817136108215356e-05,1.3334034770124562e-05,1.1483101338090793e-05,0.4627085610530813,8,200,200
130,2.6423159009706865e-05,1.3387445237495416e-05,1.3035713772211449e-05,0.4933442578694933,8,200,200
135,2.3754883564385045e-05,1.1868460996847967e-05,1.1886422567537078e-05,0.5003780605920553,8,200,200
139,2.4087112241854007e-05,1.1902489905490563e-05,1.2184622336363443e-05,0.5058565017682494,8,200,200
140,2.4637060003062233e-05,1.2509962861351827e-05,1.2127097141710406e-05,0.4922298821451538,8,200,200
145,2.8787931208019746e-05,1.3616344358252227e-05,1.517158684976752e-05,0.527012057245052,8,200,200
149,2.7708162846310963e-05,1.4189084853220922e-05,1.3519077993090041e-05,0.48790957625290404,8,200,200
150,3.0136556183779788e-05,1.600922382558134e-05,1.412733235819845e-05,0.4687772641321942,8,200,200
155,2.8565883580223343e-05,1.4398040411261033e-05,1.416784316896231e-05,0.4959707662874799,8,200,200
159,2.4615465102476864e-05,1.1288913308882873e-05,1.332655179359399e-05,0.5413893963861378,8,200,200
160,2.8365069859825922e-05,1.4164760614707484e-05,1.4200309245118438e-05,0.5006266268792325,8,200,200
165,2.658741325911323e-05,1.4025080603375915e-05,1.2562332655737316e-05,0.4724917213009201,8,200,200
169,2.4686251893712063e-05,1.3141989774214921e-05,1.1544262119497141e-05,0.46763932285879445,8,200,200
170,2.7771664630062837e-05,1.3681742303006451e-05,1.4089922327056386e-05,0.507348857720399,8,200,200
175,2.6083755133887265e-05,1.2233719999976614e-05,1.3850035133910651e-05,0.5309831756516179,8,200,200
179,2.2549031968353803e-05,1.2697979862908723e-05,9.85105210544508e-06,0.4368725060690159,8,200,200
180,2.8585783064206663e-05,1.5090590829822939e-05,1.3495192234383724e-05,0.4720945444829029,8,200,200
185,2.786915177213198e-05,1.261375438780296e-05,1.525539738432902e-05,0.5473936741621178,8,200,200
189,2.7260556459805348e-05,1.29104208633581e-05,1.4350135596447248e-05,0.5264065543785204,8,200,200
190,2.797140327932255e-05,1.4556756138916313e-05,1.3414647140406238e-05,0.4795843457136389,8,200,200
195,2.657793003504303e-05,1.1999850124678308e-05,1.4578079910364723e-05,0.5485032089084254,8,200,200
199,2.9316076297617948e-05,1.2597280948263143e-05,1.6718795349354805e-05,0.5702944411668514,8,200,200
