iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999836270626153,0.9999836270626153,2.8377869099839825e-06,20,4096,2.5e-05,1.0012043130782533,1.078332344139314,0.014148367795214332,1.3701569967735725,1.3385594353206163,1.3583383752150153,10.0,1.0
9,0.9999841110172123,0.9999841110172123,1.2347177641451608e-06,20,4096,2.5e-05,1.0026149826108695,1.0816210032544116,0.009465599619098994,1.371979815124767,1.3387469868147255,1.358114601770961,10.0,1.0
10,0.9999842016424065,0.9999842016424065,1.4373009444194097e-06,20,4096,2.5e-05,1.0004255725419464,1.0766767365842411,0.014644347960868314,1.370280885431909,1.336995134525293,1.357758759848934,10.0,1.0
15,0.999984391667474,0.999984391667474,1.081394695540065e-06,20,4096,2.5e-05,0.9983451648890878,1.0726517453103543,0.03990225101768782,1.370688722679193,1.3371606689992264,1.3576036905071445,10.0,1.0
19,0.9999830043861585,0.9999830043861585,3.877096722589695e-06,20,4096,2.5e-05,0.999190357323156,1.0750379952226634,0.028490000527762772,1.3702037335898434,1.3379842432014457,1.3578327198007984,10.0,1.0
20,0.999982567618318,0.999982567618318,2.1703425664755597e-06,20,4096,2.5e-05,0.9981806357243327,1.0726584573494948,0.03422969455499477,1.3700212597995496,1.3372095502014583,1.3577588284551811,10.0,1.0
25,0.9999836279868024,0.9999836279868024,2.4319200323170993e-06,20,4096,2.5e-05,1.000447412151907,1.0773130175339782,0.020906246112647485,1.3676543981618983,1.3377435868098186,1.3576584753144554,10.0,1.0
29,0.9999843745604491,0.9999843745604491,6.787891739000682e-07,20,4096,2.5e-05,0.9992833349770087,1.0743965546136933,0.033841560408438116,1.3656803866909542,1.3369606664970288,1.35772836814258,10.0,1.0
30,0.999983437974195,0.999983437974195,2.814786167184261e-06,20,4096,2.5e-05,0.9973090954077264,1.0708968829273304,0.030806891657462927,1.3689646407745124,1.3360241817394216,1.3571999929452454,10.0,1.0
35,0.9999838804290863,0.9999838804290863,1.3555165342050102e-06,20,4096,2.5e-05,1.001124741208457,1.0793892058285186,0.03659168367335409,1.3657713955514978,1.3386533166133636,1.358272181903411,10.0,1.0
39,0.9999825871205082,0.9999825871205082,2.874076048303757e-06,20,4096,2.5e-05,1.0021246513961661,1.0802798298230252,0.027152936299106322,1.366561795859406,1.3374439122779922,1.3574148191732593,10.0,1.0
40,0.9999830314349009,0.9999830314349009,1.5429580227495126e-06,20,4096,2.5e-05,0.9975239517593912,1.072201401650029,0.030472732706215325,1.3664597257006177,1.3374660826647562,1.3575893873184384,10.0,1.0
45,0.9999808651318227,0.9999808651318227,4.861169537830295e-06,20,4096,2.5e-05,0.9997157185857892,1.0757895259878276,0.009183104787578382,1.3671232763585948,1.3371188199755857,1.3572210514912058,10.0,1.0
49,0.999984081445241,0.999984081445241,1.42402503624055e-06,20,4096,2.5e-05,1.0030169185517148,1.082343288649889,0.01879442783682294,1.3673439640811624,1.3381254436686922,1.3574952259451456,10.0,1.0
50,0.9999832006760043,0.9999832006760043,3.973858292735857e-06,20,4096,2.5e-05,1.0000179901309696,1.0764342730183691,0.02647924982051686,1.3679179368524768,1.3376541724675437,1.3573159746597743,10.0,1.0
55,0.9999827342255546,0.9999827342255546,2.787810851225614e-06,20,4096,2.5e-05,0.9999594355866338,1.075937092296785,0.01350028148093816,1.366985401177704,1.337380195900165,1.3574461700088951,10.0,1.0
59,0.9999838444915645,0.9999838444915645,2.1501328798469003e-06,20,4096,2.5e-05,0.9987049296340702,1.0743277425372146,0.03761869476172573,1.3649373719844449,1.3366265279847074,1.3571479209206558,10.0,1.0
60,0.9999827497837677,0.9999827497837677,1.309888865333452e-06,20,4096,2.5e-05,1.0017613855010978,1.07931575244971,0.03240705035741188,1.3653197408173199,1.33772580811818,1.3573868287023514,10.0,1.0
65,0.9999814991234923,0.9999814991234923,5.35906111162676e-06,20,4096,2.5e-05,0.9973411994201852,1.0706145892249317,0.04252293519275622,1.3660922713272632,1.3367036755844974,1.3574002723018999,10.0,1.0
69,0.9999831702769985,0.9999831702769985,1.0447481972131526e-06,20,4096,2.5e-05,0.9981492025118581,1.072418747827405,0.032214074797145095,1.3662390132215472,1.3383712446281886,1.3574879694299762,10.0,1.0
70,0.9999826148959055,0.9999826148959055,2.238952611254653e-06,20,4096,2.5e-05,0.99937682631943,1.0747694191755217,0.006639816296583936,1.3653615357155189,1.3367603177221254,1.3572026345847863,10.0,1.0
75,0.9999837594245793,0.9999837594245793,1.8847332276340754e-06,20,4096,2.5e-05,1.0003946388211535,1.0765980217878,0.028647603078791536,1.3664857990341202,1.3373226910619398,1.3574774133113001,10.0,1.0
79,0.999983537180894,0.999983537180894,2.147162736739399e-06,20,4096,2.5e-05,1.0015164658433822,1.0784843308843426,0.02572037787437983,1.3653211513337016,1.3367569094388367,1.3570894796861797,10.0,1.0
80,0.9999839226490226,0.9999839226490226,2.283009079549017e-06,20,4096,2.5e-05,0.9999851168483301,1.0769645719893628,0.024765001669465405,1.3654594410543746,1.3375553245292404,1.3566655586947287,10.0,1.0
85,0.9999820786623802,0.9999820786623802,3.4966948153826715e-06,20,4096,2.5e-05,0.9978613312554755,1.072261253742643,0.010197003119704891,1.3650701104921517,1.3365342088907781,1.3567278051974228,10.0,1.0
89,0.9999818459230098,0.9999818459230098,4.233421569908035e-06,20,4096,2.5e-05,1.001034509247049,1.077526599937445,0.026838418984201754,1.3642748076427162,1.336465771454287,1.3569235649696634,10.0,1.0
90,0.9999832416873283,0.9999832416873283,1.7801616397025863e-06,20,4096,2.5e-05,1.001504764002383,1.0792221758018732,0.028479091300842953,1.3651766669726546,1.3373843595212171,1.357567722491203,10.0,1.0
95,0.9999844142589034,0.9999844142589034,2.598298376176954e-06,20,4096,2.5e-05,0.9995406437924969,1.0745126041185487,0.021451280222064738,1.3646464860921006,1.3367964755303399,1.357184731714028,10.0,1.0
99,0.9999823474386536,0.9999823474386536,3.079955783804562e-06,20,4096,2.5e-05,1.0005791482709407,1.0767371376828478,0.013723212211002887,1.3653128103990184,1.3367441166828917,1.3566878592868732,10.0,1.0
100,0.9999829218186791,0.9999829218186791,2.13011595195996e-06,20,4096,2.5e-05,1.001134511028138,1.0778414092304516,0.027361430911275297,1.3638605686947045,1.337219630526217,1.3570250747436297,10.0,1.0
105,0.9999831176952911,0.9999831176952911,3.045714964571323e-06,20,4096,2.5e-05,1.001257890133408,1.0788805007787425,0.02284416493196596,1.3644308834235392,1.3373737497287872,1.357046020758752,10.0,1.0
109,0.9999834025424046,0.9999834025424046,2.6563939573508877e-06,20,4096,2.5e-05,0.9995711328116368,1.0751956058523207,0.01936404267780284,1.3650295791361513,1.3372252913406983,1.356616909686195,10.0,1.0
110,0.99998308307368,0.99998308307368,2.341157562343135e-06,20,4096,2.5e-05,0.9984264474821967,1.0728653516074003,0.016075783090549578,1.3637144899032745,1.336442025666069,1.3563758313322907,10.0,1.0
115,0.9999833380356264,0.9999833380356264,1.8650045425601644e-06,20,4096,2.5e-05,1.002525560390426,1.0799487130175816,0.010425539837596585,1.3637022435815194,1.3369284463136855,1.357142744982095,10.0,1.0
119,0.9999837260697837,0.9999837260697837,1.7683179827051794e-06,20,4096,2.5e-05,0.9990438428774242,1.073701284355033,0.03308044408347873,1.3631605675077874,1.3367094965242876,1.356853700638527,10.0,1.0
120,0.9999845517798611,0.9999845517798611,2.75081136007283e-06,20,4096,2.5e-05,1.0002133827758417,1.076654748174494,0.02491030513451915,1.3630959680039154,1.3364093771124748,1.3565027773761362,10.0,1.0
