seed,num_samples,action_samples,dist_action_kl,dist_action_tv
0,512,64,0.0,0.0
1,512,64,0.0,0.0
2,512,64,0.0,0.0
3,512,64,0.0,0.0
4,512,64,0.0,0.0
5,512,64,0.0,0.0
6,512,64,0.0,0.0
7,512,64,0.0,0.0
8,512,64,0.0,0.0
9,512,64,0.0,0.0
10,512,64,0.0,0.0
11,512,64,0.0,0.0
12,512,64,0.0,0.0
13,512,64,0.0,0.0
14,512,64,0.0,0.0
15,512,64,0.0,0.0
16,512,64,0.0,0.0
17,512,64,0.0,0.0
18,512,64,0.0,0.0
19,512,64,0.0,0.0
20,512,64,0.0,0.0
21,512,64,0.0,0.0
22,512,64,0.0,0.0
23,512,64,0.0,0.0
24,512,64,0.0,0.0
25,512,64,0.0,0.0
26,512,64,0.0,0.0
27,512,64,0.0,0.0
28,512,64,0.0,0.0
29,512,64,0.0,0.0
30,512,64,0.0,0.0
31,512,64,0.0,0.0
32,512,64,0.0,0.0
33,512,64,0.0,0.0
34,512,64,0.0,0.0
35,512,64,0.0,0.0
36,512,64,0.0,0.0
37,512,64,0.0,0.0
38,512,64,0.0,0.0
39,512,64,0.0,0.0
40,512,64,0.0,0.0
41,512,64,0.0,0.0
42,512,64,0.0,0.0
43,512,64,0.0,0.0
44,512,64,0.0,0.0
45,512,64,0.0,0.0
46,512,64,0.0,0.0
47,512,64,0.0,0.0
48,512,64,0.0,0.0
49,512,64,0.0,0.0
