seed,num_samples,dist_mmd2,dist_mean_l2,mmd_sigma
0,512,0.04853177771290906,0.7435692453010269,2.3817923353423764
0,1024,0.02063277377280781,0.4653310342089664,2.3846778320019055
1,512,0.04642199244989875,0.7270994978827464,2.364099339125093
1,1024,0.020235302385050113,0.4440293216911382,2.378803968227024
2,512,0.02220113457067907,0.4402219424258455,2.3670721123384726
2,1024,0.016689934831378705,0.4147568522437038,2.34231611732064
3,512,0.053979757373785464,0.7920294603138809,2.3673545286393494
3,1024,0.019225820424218165,0.4472154068817034,2.3510343522361112
4,512,0.04112552926763591,0.629808324204986,2.3707989574809933
4,1024,0.014130742337168378,0.35085521681786386,2.3627075439524763
5,512,0.05502138722029848,0.7640388199667095,2.3482568869648914
5,1024,0.010133273426101264,0.2744816782047089,2.3641383479870153
6,512,0.02577458266191024,0.4838559437030032,2.3624944274924387
6,1024,0.012847485621967358,0.30446477344342043,2.35680850620267
7,512,0.02400639403809568,0.45735769884715466,2.399907947721079
7,1024,0.015303326895369396,0.3855654290261893,2.3758951971379525
8,512,0.037115028617450085,0.6022714405537133,2.354642548955452
8,1024,0.022718044724033493,0.456242192677381,2.3678747156080333
9,512,0.03747687676481959,0.6258675500749156,2.3661499532337835
9,1024,0.024039973535811,0.525871489272323,2.3716049371197583
10,512,0.03837656340129325,0.6233797239690768,2.3704478061845906
10,1024,0.02812213049872514,0.5589018855337106,2.3633748846374716
11,512,0.05560742077684555,0.8037653345635383,2.3523818418851254
11,1024,0.032548230485500595,0.6357372650476789,2.3671026911842867
12,512,0.027156010062137304,0.4833878283049075,2.3480229417716902
12,1024,0.019956467924349353,0.4462355492893236,2.350059303022745
13,512,0.04307731793173741,0.6990145185175602,2.3762849261338275
13,1024,0.018453517039113798,0.4480318480282626,2.3674879643371116
14,512,0.023621524055902676,0.4329758568233765,2.365381125768951
14,1024,0.015397902344377212,0.36397849708422214,2.3715295700996974
15,512,0.041309245934530225,0.6643422647647284,2.3585895416169804
15,1024,0.020363526589602055,0.4387769797398556,2.3740172916727067
16,512,0.06099397836285747,0.8377703147399254,2.3741263150891205
16,1024,0.021817887741532482,0.46916716051617663,2.3655787269332005
17,512,0.046472611728094915,0.7378707407641358,2.372172026724897
17,1024,0.01653354667800766,0.3882490403015515,2.3783312090470226
18,512,0.06939097723397414,0.9385309155844633,2.3654594463341505
18,1024,0.03696037674983965,0.6804917800674228,2.342770693711861
19,512,0.04762230831021674,0.7320805098696602,2.3588771309671985
19,1024,0.039419314046975185,0.7183826472040351,2.3685119665631875
20,512,0.03284515426777879,0.5556878347824299,2.356634297110217
20,1024,0.03236323883046166,0.5737588305567143,2.3605615486951854
21,512,0.02647303863355499,0.5123427996736503,2.3604954673869787
21,1024,0.01592012754854777,0.3834784114792571,2.350666843691404
22,512,0.030936395174813947,0.5561738836265706,2.3623406151441118
22,1024,0.014664511725384632,0.38840045842987087,2.365763674589921
23,512,0.03659377796579255,0.6307317270890106,2.376071982509646
23,1024,0.01022182203818811,0.31413502825073353,2.3764957706701084
24,512,0.026881087129159487,0.46328919788291106,2.3586712884042598
24,1024,0.015359342498404649,0.413427496817315,2.371347471066583
25,512,0.01964838447823991,0.36338969789515113,2.360707781256434
25,1024,0.014005088033811175,0.35227178075717425,2.3740967419020667
26,512,0.03385414649769891,0.5639575978199629,2.352793729092358
26,1024,0.01453556154815372,0.3335037392917848,2.3728287022071903
27,512,0.03250887626308041,0.5521188927354074,2.357391485990975
27,1024,0.013614714602545264,0.3341456260936192,2.3629089652677067
28,512,0.04784571072062094,0.7180104077330955,2.334381395669876
28,1024,0.01956426707137915,0.43667168619615193,2.3854657585202874
29,512,0.04560749705538669,0.6798112309621772,2.3521438935890533
29,1024,0.021775962164463647,0.48013510568263895,2.3596774768743387
30,512,0.0306713341008944,0.46536033641940916,2.3389035952398447
30,1024,0.01245534395598713,0.2589923192093224,2.3258985239192564
31,512,0.04929736406348084,0.6711991824552275,2.3623850633849455
31,1024,0.017624280896756606,0.39292826918905266,2.3689166350982656
32,512,0.03174550866408743,0.47405075901703986,2.3708016772299763
32,1024,0.018169545140550025,0.38926351246121144,2.3941839444365725
33,512,0.039525119239373074,0.6639226203220876,2.4022234241049856
33,1024,0.008826390888683089,0.24086394403347525,2.3842095800067495
34,512,0.03106789201925053,0.5669600130118149,2.346429783236901
34,1024,0.012868956264780351,0.35336099856154285,2.347543723765328
35,512,0.03367719089290522,0.5690067555443594,2.3300145703410977
35,1024,0.011250607678956248,0.29066701159475916,2.3492829571091143
36,512,0.058568613815098036,0.814909939571303,2.336662417934441
36,1024,0.02694832226365551,0.5191634004193485,2.3571756276722846
37,512,0.052043493551096276,0.7903785253377025,2.3579747420501445
37,1024,0.011987688926020312,0.2915004139606,2.3545839896114904
38,512,0.03080610428381514,0.5480484857926177,2.3249893250900553
38,1024,0.01946206508173587,0.4608627729303921,2.374184647222859
39,512,0.030703086769169108,0.5633446711949175,2.349608094371063
39,1024,0.011054229061946974,0.3234041624917572,2.377173856118367
40,512,0.038457190547304565,0.6206099390819674,2.352235645261868
40,1024,0.012454805775927724,0.3067365828329439,2.3636379515876733
41,512,0.033297435742488,0.4740596181997452,2.3312007678678426
41,1024,0.028365985563913565,0.5372685243127594,2.363482911771043
42,512,0.028977113535181398,0.49216209342345996,2.351580600751685
42,1024,0.025867094418497993,0.5460941193384592,2.3802800881585333
43,512,0.04093232598738261,0.686631796398564,2.363183631390589
43,1024,0.013907315649364205,0.36406497836239193,2.3725977612464066
44,512,0.025829810284557775,0.45449627871667236,2.3579249170092376
44,1024,0.009956049343984086,0.2890535106375429,2.3740819510103193
45,512,0.034565850016645805,0.5561842522394264,2.365146197146279
45,1024,0.012442430140161886,0.3243311736256059,2.368410804558822
46,512,0.0316788279970035,0.5271971014266571,2.3729932903861104
46,1024,0.017052892235014494,0.4176137831531994,2.3740119421825168
47,512,0.04878259864720358,0.7369669438409917,2.365133004067155
47,1024,0.019814244008604764,0.43647880931460314,2.357150826899746
48,512,0.033574083987554015,0.5986551279969904,2.362180399001573
48,1024,0.01784188402470699,0.4063120373639657,2.3563438036736613
49,512,0.04196236107305784,0.6003589612656534,2.3384961272386087
49,1024,0.01405161488856621,0.346852120566825,2.3607019525424198
