iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale
5,0.9999833181830787,0.9999833181830787,1.2374507813211943e-06,20,4096,6.25e-05
9,0.9999826644908275,0.9999826644908275,2.371535322325121e-06,20,4096,6.25e-05
10,0.999982485015626,0.999982485015626,2.4202556448319727e-06,20,4096,6.25e-05
15,0.9999829374832441,0.9999829374832441,1.631933736987444e-06,20,4096,6.25e-05
19,0.9999821470142428,0.9999821470142428,1.5030021258232244e-06,20,4096,6.25e-05
20,0.9999820396624715,0.9999820396624715,1.839060347479005e-06,20,4096,6.25e-05
25,0.9999816298531846,0.9999816298531846,3.3415914598256216e-06,20,4096,6.25e-05
29,0.9999823638480689,0.9999823638480689,1.595176955331557e-06,20,4096,6.25e-05
30,0.9999811860676335,0.9999811860676335,4.6320028387690705e-06,20,4096,6.25e-05
35,0.9999810899045856,0.9999810899045856,3.312352268580301e-06,20,4096,6.25e-05
39,0.9999818504883513,0.9999818504883513,2.3567997104522606e-06,20,4096,6.25e-05
40,0.9999811817677824,0.9999811817677824,2.714360427131156e-06,20,4096,6.25e-05
45,0.9999805561802398,0.9999805561802398,3.129495659722621e-06,20,4096,6.25e-05
49,0.9999821956777704,0.9999821956777704,2.3699157678585637e-06,20,4096,6.25e-05
50,0.999981531567816,0.999981531567816,4.072212246880346e-06,20,4096,6.25e-05
55,0.9999808181289069,0.9999808181289069,6.119349848846444e-06,20,4096,6.25e-05
59,0.9999811986733675,0.9999811986733675,4.997293941219072e-06,20,4096,6.25e-05
60,0.9999808885756665,0.9999808885756665,2.0413367643496516e-06,20,4096,6.25e-05
65,0.9999815390778631,0.9999815390778631,1.972590612711882e-06,20,4096,6.25e-05
69,0.9999818633007325,0.9999818633007325,2.1367335530148284e-06,20,4096,6.25e-05
70,0.9999811853230438,0.9999811853230438,4.326575576910411e-06,20,4096,6.25e-05
74,0.9999775122808945,0.9999775122808945,6.214652553297219e-06,20,4096,6.25e-05
79,0.9999816108729205,0.9999816108729205,4.051738934063324e-06,20,4096,6.25e-05
80,0.9999826290440401,0.9999826290440401,2.5851389632550798e-06,20,4096,6.25e-05
85,0.9999787948462935,0.9999787948462935,7.219775068176754e-06,20,4096,6.25e-05
89,0.9999784105386216,0.9999784105386216,6.713650811962117e-06,20,4096,6.25e-05
90,0.9999806178045765,0.9999806178045765,4.092691917629422e-06,20,4096,6.25e-05
95,0.9999834578128912,0.9999834578128912,1.443315292680321e-06,20,4096,6.25e-05
99,0.9999801847929385,0.9999801847929385,4.385311998030276e-06,20,4096,6.25e-05
100,0.9999823716188331,0.9999823716188331,1.4096845408959238e-06,20,4096,6.25e-05
105,0.9999811020642108,0.9999811020642108,2.5527475501831692e-06,20,4096,6.25e-05
109,0.9999809945518724,0.9999809945518724,4.1923786920488425e-06,20,4096,6.25e-05
114,0.9999823589479367,0.9999823589479367,1.144514834946744e-06,20,4096,6.25e-05
119,0.9999804599015197,0.9999804599015197,3.85059188613802e-06,20,4096,6.25e-05
120,0.9999824798008097,0.9999824798008097,1.4445856037751729e-06,20,4096,6.25e-05
125,0.9999819531959725,0.9999819531959725,3.076094891094802e-06,20,4096,6.25e-05
129,0.9999828397021844,0.9999828397021844,1.469791810562345e-06,20,4096,6.25e-05
130,0.9999819100145231,0.9999819100145231,1.3040058279054528e-06,20,4096,6.25e-05
135,0.9999809097765571,0.9999809097765571,3.1741907436263944e-06,20,4096,6.25e-05
139,0.9999824348158769,0.9999824348158769,1.4176431521123234e-06,20,4096,6.25e-05
140,0.9999801772647754,0.9999801772647754,3.207588832912101e-06,20,4096,6.25e-05
145,0.9999800237952148,0.9999800237952148,5.023181615461051e-06,20,4096,6.25e-05
149,0.9999806429667026,0.9999806429667026,4.78197928657547e-06,20,4096,6.25e-05
154,0.9999828415435532,0.9999828415435532,1.9379600067697377e-06,20,4096,6.25e-05
159,0.9999809023881696,0.9999809023881696,2.78137898127393e-06,20,4096,6.25e-05
160,0.9999812626063309,0.9999812626063309,2.494789362766124e-06,20,4096,6.25e-05
165,0.999982070381251,0.999982070381251,1.910250151043861e-06,20,4096,6.25e-05
169,0.9999831578057039,0.9999831578057039,2.2568260293317252e-06,20,4096,6.25e-05
170,0.9999819159835375,0.9999819159835375,3.3060546030546236e-06,20,4096,6.25e-05
175,0.999981176071485,0.999981176071485,2.621212677236266e-06,20,4096,6.25e-05
179,0.9999828062699179,0.9999828062699179,1.4418406742428944e-06,20,4096,6.25e-05
180,0.9999799366077782,0.9999799366077782,5.3221713709889005e-06,20,4096,6.25e-05
185,0.9999822257205564,0.9999822257205564,2.0530436022345757e-06,20,4096,6.25e-05
189,0.9999815384496904,0.9999815384496904,1.8623295672380192e-06,20,4096,6.25e-05
194,0.999979960050472,0.999979960050472,3.845183840599209e-06,20,4096,6.25e-05
199,0.9999816846211315,0.9999816846211315,2.60785662730531e-06,20,4096,6.25e-05
