iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale
5,0.9999857059541961,0.9999857059541961,1.6463722767948896e-06,20,4096,2.5e-05
9,0.9999847595960374,0.9999847595960374,1.4058990733702225e-06,20,4096,2.5e-05
10,0.9999855977652399,0.9999855977652399,9.617133233319996e-07,20,4096,2.5e-05
15,0.999985523429078,0.999985523429078,1.6812956388221276e-06,20,4096,2.5e-05
19,0.9999853833263798,0.9999853833263798,1.6628566170020552e-06,20,4096,2.5e-05
20,0.999985298415609,0.999985298415609,2.1036087275253197e-06,20,4096,2.5e-05
25,0.9999853262203503,0.9999853262203503,1.5390501207398887e-06,20,4096,2.5e-05
29,0.9999854770643555,0.9999854770643555,9.798100475318114e-07,20,4096,2.5e-05
30,0.9999846696999362,0.9999846696999362,2.7300046358766165e-06,20,4096,2.5e-05
35,0.9999852076335962,0.9999852076335962,1.635850849544483e-06,20,4096,2.5e-05
39,0.9999850166108903,0.9999850166108903,1.4386922669712518e-06,20,4096,2.5e-05
40,0.9999841886875883,0.9999841886875883,1.3559214903615004e-06,20,4096,2.5e-05
45,0.9999846202953301,0.9999846202953301,1.9189955219246672e-06,20,4096,2.5e-05
49,0.9999852505526594,0.9999852505526594,7.095599374508572e-07,20,4096,2.5e-05
50,0.9999853809231682,0.9999853809231682,2.1615229793824832e-06,20,4096,2.5e-05
55,0.9999839537031932,0.9999839537031932,3.211282211664767e-06,20,4096,2.5e-05
59,0.999984645400498,0.999984645400498,2.9078503099187934e-06,20,4096,2.5e-05
60,0.9999852304041785,0.9999852304041785,8.917552342349502e-07,20,4096,2.5e-05
65,0.999984610022121,0.999984610022121,1.8665819232316712e-06,20,4096,2.5e-05
69,0.9999852374567981,0.9999852374567981,1.1598843648502264e-06,20,4096,2.5e-05
70,0.999984732614486,0.999984732614486,1.5778774043058354e-06,20,4096,2.5e-05
75,0.9999852071935729,0.9999852071935729,1.3813200758125118e-06,20,4096,2.5e-05
79,0.9999851806836515,0.9999851806836515,2.3000320268346234e-06,20,4096,2.5e-05
80,0.9999859242189728,0.9999859242189728,1.8338706067659459e-06,20,4096,2.5e-05
85,0.9999823824110081,0.9999823824110081,4.207074087890748e-06,20,4096,2.5e-05
89,0.9999832677556992,0.9999832677556992,4.017878314196383e-06,20,4096,2.5e-05
94,0.9999853504563263,0.9999853504563263,9.122362667892424e-07,20,4096,2.5e-05
99,0.9999839015204465,0.9999839015204465,3.046887728837643e-06,20,4096,2.5e-05
100,0.999985016877792,0.999985016877792,9.9001557310014e-07,20,4096,2.5e-05
105,0.9999848237998219,0.9999848237998219,1.0067246408321045e-06,20,4096,2.5e-05
109,0.999984581714132,0.999984581714132,2.831086737405758e-06,20,4096,2.5e-05
110,0.9999848425213106,0.9999848425213106,2.0134675355872674e-06,20,4096,2.5e-05
115,0.9999851239816349,0.9999851239816349,1.5786482935832897e-06,20,4096,2.5e-05
119,0.9999845088508414,0.9999845088508414,1.7942355712019922e-06,20,4096,2.5e-05
120,0.999985551414923,0.999985551414923,1.0912254367313469e-06,20,4096,2.5e-05
125,0.9999849408715544,0.9999849408715544,1.7697260814891334e-06,20,4096,2.5e-05
129,0.9999856208856389,0.9999856208856389,8.887950201340076e-07,20,4096,2.5e-05
134,0.9999853012971123,0.9999853012971123,1.2603402367943433e-06,20,4096,2.5e-05
139,0.9999854569055463,0.9999854569055463,1.4576169004129541e-06,20,4096,2.5e-05
140,0.9999842908562842,0.9999842908562842,2.5144606441843586e-06,20,4096,2.5e-05
145,0.999984265740227,0.999984265740227,2.6339547430401417e-06,20,4096,2.5e-05
149,0.9999841011972141,0.9999841011972141,2.689904484953985e-06,20,4096,2.5e-05
150,0.9999848835605916,0.9999848835605916,2.9323485840986293e-06,20,4096,2.5e-05
155,0.9999850379400315,0.9999850379400315,2.3551581696073795e-06,20,4096,2.5e-05
159,0.999984536142251,0.999984536142251,2.303105028864016e-06,20,4096,2.5e-05
160,0.9999852090520629,0.9999852090520629,1.6098405280682409e-06,20,4096,2.5e-05
165,0.9999849404059024,0.9999849404059024,1.3657010519087546e-06,20,4096,2.5e-05
169,0.9999852143536245,0.9999852143536245,1.5524871041586348e-06,20,4096,2.5e-05
174,0.9999855256168769,0.9999855256168769,1.1477643243312117e-06,20,4096,2.5e-05
179,0.9999853545693089,0.9999853545693089,1.0095100777686704e-06,20,4096,2.5e-05
180,0.9999840556698869,0.9999840556698869,2.3340550755744954e-06,20,4096,2.5e-05
185,0.9999850192495908,0.9999850192495908,1.1793669730481011e-06,20,4096,2.5e-05
189,0.999985421464951,0.999985421464951,1.2303386782089842e-06,20,4096,2.5e-05
190,0.99998276183327,0.99998276183327,2.7114058603133697e-06,20,4096,2.5e-05
195,0.999985825466181,0.999985825466181,1.1444971886314876e-06,20,4096,2.5e-05
199,0.999984703667624,0.999984703667624,1.5503884530841245e-06,20,4096,2.5e-05
