iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.602278696434989e-05,1.3511257370774957e-05,1.2511529593574933e-05,0.48079130074404386,8,200,200
9,2.6472529741802396e-05,1.2742883688914013e-05,1.3729646052888382e-05,0.5186374776721128,8,200,200
10,2.153928818666079e-05,1.1579200182903374e-05,9.960088003757415e-06,0.4624149097891575,8,200,200
15,2.4256231984602937e-05,1.2758709119441156e-05,1.1497522865161781e-05,0.47400284069100396,8,200,200
19,2.4693233050098922e-05,1.2535463793093251e-05,1.215776925700567e-05,0.49235226640186613,8,200,200
20,2.5308726499517513e-05,1.272821487193293e-05,1.2580511627584582e-05,0.4970819700400341,8,200,200
25,2.634434316014586e-05,1.2529185629174568e-05,1.381515753097129e-05,0.5244069835785877,8,200,200
29,2.4619919565397724e-05,1.1693463567136917e-05,1.2926455998260808e-05,0.5250405454788084,8,200,200
30,2.5405952872502963e-05,1.2441621708379216e-05,1.2964331164123747e-05,0.5102871452680341,8,200,200
35,2.5476450483214674e-05,1.2746412116539865e-05,1.2730038366674809e-05,0.49967864931035344,8,200,200
39,2.419702266929386e-05,1.1229549236901069e-05,1.2967473432392791e-05,0.5359119429535675,8,200,200
40,2.6581263410987716e-05,1.3431603967305873e-05,1.3149659443681843e-05,0.49469655525275963,8,200,200
45,2.4596692573248408e-05,1.1612010629256996e-05,1.2984681943991412e-05,0.5279035750568218,8,200,200
49,2.5400644641648107e-05,1.1731509859198969e-05,1.3669134782449139e-05,0.538141254889121,8,200,200
50,2.570407674532074e-05,1.1837618943181826e-05,1.3866457802138914e-05,0.5394653128190341,8,200,200
55,2.6026700927449855e-05,1.3606736771147967e-05,1.2419964156301888e-05,0.4772008634871888,8,200,200
59,2.3039845572139228e-05,1.2101584972789585e-05,1.0938260599349643e-05,0.474754076154775,8,200,200
60,2.3075243632344745e-05,1.1271198617497382e-05,1.1804045014847363e-05,0.5115458455355827,8,200,200
65,2.421220554150214e-05,1.2584435405094395e-05,1.1627770136407746e-05,0.48024415274670396,8,200,200
69,2.7048553043072806e-05,1.3486490016624173e-05,1.3562063026448633e-05,0.5013969880330403,8,200,200
70,2.218487433952738e-05,1.0351320446190773e-05,1.1833553893336608e-05,0.5334063971799222,8,200,200
75,2.4824391649360127e-05,1.1397570479780412e-05,1.3426821169579715e-05,0.5408721131712327,8,200,200
79,2.404997542468168e-05,1.1898467885866224e-05,1.2151507538815455e-05,0.5052607050211275,8,200,200
