iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.005939713324005447,2.3539040490833747,0.24938052603657052,4096,0.042995237205547175,0.11281145562084752,64,1.1487546784601863,1.3287919895266198,1.0576204852482027,1.361064369945724,1.336247892387577,1.3567211227476834,10.0,1.0
9,0.009514660752081072,2.355943920482987,0.30640452656733047,4096,0.042995237205554884,0.11295739984207054,64,1.1476974312705703,1.3260164945718547,1.0570760889761064,1.3610995409452982,1.333178081830154,1.3539238821453967,10.0,1.0
10,0.00528735084674925,2.3606014670416915,0.2163234803374547,4096,0.04299523720556102,0.1128869454049447,64,1.1485125119528559,1.3281535784664245,1.0597611837532268,1.3609973049462902,1.3370275457207172,1.356656634439891,10.0,1.0
15,0.0068863012004197754,2.3727322007614777,0.25301998987445923,4096,0.042995237205585124,0.1129119583018863,64,1.1500800783965919,1.3319571181293717,1.057321413019332,1.3607195260786202,1.3381457587183527,1.356692635033756,10.0,1.0
19,0.005691862000603676,2.3773870881697263,0.20474253760561203,4096,0.04299523720558607,0.11341176150095403,64,1.1486310869388265,1.3284312868632322,1.0569012012726704,1.3610718459928777,1.3378852247633715,1.3556873753210252,10.0,1.0
20,0.004775291075285182,2.3499535780471072,0.20137498501514817,4096,0.0429952372055923,0.11301335660957207,64,1.1464619937958407,1.3233197024593188,1.0583372486405485,1.3610924286850155,1.3363280316456612,1.3544085261470917,10.0,1.0
25,0.007632872750703346,2.366183586812298,0.27207342414075925,4096,0.04299523720560469,0.11248115469340944,64,1.1466208767759176,1.3235718112590742,1.0563986473502078,1.3610895994204293,1.333223957878144,1.3559255195321736,10.0,1.0
29,0.0064168916654198105,2.36580186685202,0.23794094071807134,4096,0.042995237205629686,0.1127980753465394,64,1.1479612784672402,1.326845655818755,1.0581048448918935,1.3610750270798,1.3365032182398084,1.355836072809501,10.0,1.0
30,0.008293626382327113,2.349009131444877,0.30030475733158496,4096,0.04299523720564265,0.11293281213931389,64,1.1469492075097134,1.324379860453091,1.0574289832376944,1.3610595176006814,1.3330116101776668,1.3553441703164375,10.0,1.0
35,0.004334121356328158,2.350113515349211,0.2035125840674405,4096,0.04299523720563745,0.11292898339467644,64,1.1472952284473963,1.325291205389453,1.0578564522319205,1.36089571396638,1.3361517936533462,1.356149394463078,10.0,1.0
39,0.0048519494990673095,2.3628546867738467,0.21133195694668697,4096,0.04299523720563521,0.11277339313661242,64,1.1522821285459228,1.3372899179840574,1.0565198788260965,1.3610336302172825,1.3374523927665398,1.3565942839811702,10.0,1.0
40,0.009509859870835635,2.347761140805123,0.316940013817656,4096,0.042995237205638234,0.11295366398815468,64,1.1463965250349561,1.3229441752104178,1.0575485213152163,1.3609627255601253,1.3334109232260096,1.3553955521129475,10.0,1.0
45,0.005448399336982823,2.345128111779127,0.22884154273021992,4096,0.04299523720564441,0.112794872823009,64,1.1485166328880596,1.3282939712825055,1.0577090195658796,1.3609117622334526,1.3373441210321118,1.356151418973895,10.0,1.0
49,0.008801590869220277,2.3601655677194415,0.31554951110716606,4096,0.04299523720565431,0.11295117615864926,64,1.1445746303994786,1.3187189365597098,1.0597892910492095,1.3608937797699479,1.3324617850764078,1.3556941515942913,10.0,1.0
50,0.005946976445549312,2.3569403596097738,0.24929698677310308,4096,0.042995237205653764,0.11290492820699335,64,1.1492601213332727,1.3297750853222698,1.0546723316604532,1.3610174682178873,1.3349386677498731,1.3566966248849894,10.0,1.0
55,0.015316255565985593,2.3593715065424865,0.43774181603647283,4096,0.04299523720567408,0.11294601491973878,64,1.148858339280339,1.3289014753345172,1.0577482854910576,1.3610124495921734,1.3341204142168948,1.3563234264227466,10.0,1.0
59,0.005886906420611515,2.3554390334593807,0.24232506085417743,4096,0.042995237205658524,0.11319327165153475,64,1.1471525764160768,1.3247998362777302,1.0559876948644171,1.3609172264843477,1.3315664653915362,1.354869000215457,10.0,1.0
60,0.003479921785121687,2.3555971236001585,0.15905098162033487,4096,0.04299523720566993,0.11278413033071104,64,1.1473503885191287,1.325435290234821,1.0591491892903835,1.3610431153580138,1.3352797150793565,1.3547462001459005,10.0,1.0
65,0.008613836343344006,2.369052878248473,0.3202349421442193,4096,0.042995237205703106,0.11248832941267953,64,1.1492840066481351,1.3299170077993716,1.0582916020721869,1.3610923605695204,1.3378363587662827,1.3557950924014688,10.0,1.0
69,0.004720422941506652,2.3655475954997565,0.21504351508249578,4096,0.042995237205684635,0.11271076065616427,64,1.1502105800994271,1.3321575831951615,1.0591628188968256,1.3610555957615336,1.3372431190372276,1.356178816311692,10.0,1.0
70,0.0049907227954046895,2.361573705195933,0.19517142628472128,4096,0.042995237205700615,0.11321256800448118,64,1.148788729320874,1.3288735691693918,1.058550907997839,1.3609639235774629,1.3361643973142792,1.3563474720774626,10.0,1.0
75,0.006990629027757822,2.3599942256367457,0.2768192641387452,4096,0.042995237205683504,0.11290444844333306,64,1.147041481683447,1.324538172805822,1.0578414806050793,1.3610917596932486,1.335986858772747,1.3565726219360135,10.0,1.0
79,0.008350152252249332,2.36959159790415,0.29963937644179345,4096,0.0429952372056812,0.11330292856539333,64,1.148516010503776,1.3282272248905969,1.0582017700218833,1.3610091246978504,1.3360591978773813,1.3560318224195704,10.0,1.0
