iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,1.812143227309837e-05,8.088937772125147e-06,1.0032494500973223e-05,0.5536259137676807,8,200,200
9,1.5430827375421677e-05,7.530687990391154e-06,7.900139385030523e-06,0.5119712114474119,8,200,200
10,1.8164568446977407e-05,9.112333728412469e-06,9.052234718564938e-06,0.49834570774354037,8,200,200
15,1.4430739417406416e-05,7.862477466884368e-06,6.568261950522048e-06,0.4551576853088612,8,200,200
19,1.6897733888690488e-05,8.880462569772984e-06,8.017271318917504e-06,0.47445837244977546,8,200,200
20,1.6922595657370777e-05,9.1887172470255e-06,7.733878410345278e-06,0.4570149028513083,8,200,200
25,1.5758077200256835e-05,8.846887555263022e-06,6.911189644993813e-06,0.43858077081137603,8,200,200
29,1.5801483340716372e-05,7.539576289256602e-06,8.26190705145977e-06,0.522856422610082,8,200,200
30,1.644765896969381e-05,7.63682090550796e-06,8.81083806418585e-06,0.5356894911561917,8,200,200
35,1.7658878860014386e-05,9.73704663570733e-06,7.921832224307055e-06,0.44860335059236045,8,200,200
39,1.632454124199608e-05,8.165527965054063e-06,8.159013276942018e-06,0.49980046336324335,8,200,200
40,1.7474903192710088e-05,8.083649670907614e-06,9.391253521802474e-06,0.5374137652287638,8,200,200
45,1.712917058558495e-05,7.532971190287417e-06,9.596199395297532e-06,0.5602255723562711,8,200,200
49,1.5736854503326905e-05,8.37482149395449e-06,7.362033009372415e-06,0.4678211270121369,8,200,200
50,1.697205060175178e-05,8.183435713663177e-06,8.788614888088601e-06,0.5178286993312099,8,200,200
55,1.6804219882186115e-05,8.756003616032714e-06,8.048216266153401e-06,0.478940190177182,8,200,200
59,1.698411679962075e-05,8.936757670164881e-06,8.047359129455867e-06,0.47381675623165537,8,200,200
60,1.865193359800499e-05,9.887946443484e-06,8.76398715452099e-06,0.4698701669975056,8,200,200
65,1.6848543651180347e-05,7.701921664560852e-06,9.146621986619495e-06,0.5428731512933296,8,200,200
69,1.6543791140928628e-05,8.545775000118805e-06,7.998016140809823e-06,0.4834451833124921,8,200,200
70,1.5484269198969142e-05,7.994099814300505e-06,7.490169384668637e-06,0.48372766505294884,8,200,200
75,1.616763969459273e-05,7.64950657556611e-06,8.51813311902662e-06,0.5268631216389311,8,200,200
79,1.5481504209093954e-05,6.4125092863084445e-06,9.06899492278551e-06,0.5857954627857358,8,200,200
