iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999857059541961,0.9999857059541961,1.6463722767948896e-06,20,4096,2.5e-05,1.1486827305930079,1.3285918624117317,1.057093130192116,1.3610946627622293,1.3377127726161209,1.3564687133980768,10.0,1.0
9,0.9999847595960374,0.9999847595960374,1.4058990733702225e-06,20,4096,2.5e-05,1.1498129116557227,1.331243424765204,1.0560399943967402,1.3610794518774776,1.3364633196206903,1.3564437306684283,10.0,1.0
10,0.9999855977652399,0.9999855977652399,9.617133233319996e-07,20,4096,2.5e-05,1.148261787265764,1.3275377912226638,1.0564368138413482,1.3611079769654408,1.3355982557304773,1.355871508416263,10.0,1.0
15,0.999985523429078,0.999985523429078,1.6812956388221276e-06,20,4096,2.5e-05,1.1475792009926347,1.3259264421846666,1.0547680008799973,1.3610859671929214,1.3353756544923154,1.3559642414808064,10.0,1.0
19,0.9999853833263798,0.9999853833263798,1.6628566170020552e-06,20,4096,2.5e-05,1.1483808015032158,1.327836124181077,1.0553616693806094,1.3611082191974824,1.3356074434204073,1.355995608061675,10.0,1.0
20,0.999985298415609,0.999985298415609,2.1036087275253197e-06,20,4096,2.5e-05,1.1477360621937174,1.3263111131107732,1.0557874226677688,1.3611022684203193,1.3357844171031183,1.3562978110374897,10.0,1.0
25,0.9999853262203503,0.9999853262203503,1.5390501207398887e-06,20,4096,2.5e-05,1.1485929421859953,1.3283386209295784,1.0569495237487334,1.3610634878000138,1.3366365186258033,1.356004008935304,10.0,1.0
29,0.9999854770643555,0.9999854770643555,9.798100475318114e-07,20,4096,2.5e-05,1.148021729323217,1.3269643390661843,1.0569487232749402,1.3610931482450317,1.335304900066337,1.356208797199721,10.0,1.0
30,0.9999846696999362,0.9999846696999362,2.7300046358766165e-06,20,4096,2.5e-05,1.1474172583517177,1.3255277906245442,1.0544483077424815,1.3611078132448786,1.3348840018494446,1.3555801298155248,10.0,1.0
35,0.9999852076335962,0.9999852076335962,1.635850849544483e-06,20,4096,2.5e-05,1.1495718775386397,1.3306578487294378,1.0572046878706804,1.3611032389997815,1.3371525059229814,1.356519780471031,10.0,1.0
39,0.9999850166108903,0.9999850166108903,1.4386922669712518e-06,20,4096,2.5e-05,1.1491671516728799,1.3296555745927678,1.0568751204239217,1.3611101904678915,1.3363558393440422,1.356580014535649,10.0,1.0
40,0.9999841886875883,0.9999841886875883,1.3559214903615004e-06,20,4096,2.5e-05,1.1482637618952913,1.3276000234153087,1.054950127113267,1.3610913794649806,1.3361381192367519,1.3564360160441356,10.0,1.0
45,0.9999846202953301,0.9999846202953301,1.9189955219246672e-06,20,4096,2.5e-05,1.1482955512534196,1.3276547250394404,1.0559675465616274,1.361076833540602,1.3361616182291176,1.3559294441471237,10.0,1.0
49,0.9999852505526594,0.9999852505526594,7.095599374508572e-07,20,4096,2.5e-05,1.1499200094549908,1.3314841564022268,1.057123894939703,1.361108573706236,1.3369383807537214,1.3562008892021344,10.0,1.0
50,0.9999853809231682,0.9999853809231682,2.1615229793824832e-06,20,4096,2.5e-05,1.1485166057766019,1.3281170470285777,1.0554652578731052,1.3611068799039228,1.336414411694442,1.3562175111141448,10.0,1.0
55,0.9999839537031932,0.9999839537031932,3.211282211664767e-06,20,4096,2.5e-05,1.1482615599620924,1.3275479235691052,1.0550294728287872,1.3611106398933366,1.3369190128154038,1.3558989775364503,10.0,1.0
59,0.999984645400498,0.999984645400498,2.9078503099187934e-06,20,4096,2.5e-05,1.148225268455134,1.327452635722908,1.0571388083566853,1.3610872545768786,1.335443833176695,1.3562677870834872,10.0,1.0
60,0.9999852304041785,0.9999852304041785,8.917552342349502e-07,20,4096,2.5e-05,1.148911426802861,1.3291495728999838,1.0568088265967501,1.3611083876481496,1.3371036671819971,1.3563525304762336,10.0,1.0
65,0.999984610022121,0.999984610022121,1.8665819232316712e-06,20,4096,2.5e-05,1.147560784401708,1.3259432225518268,1.0564174806347872,1.3611067425512475,1.3355042566361723,1.356425824774534,10.0,1.0
69,0.9999852374567981,0.9999852374567981,1.1598843648502264e-06,20,4096,2.5e-05,1.1478877718510283,1.3267397216449033,1.057693781286915,1.3610729796690633,1.3376218035143752,1.3568321854188758,10.0,1.0
70,0.999984732614486,0.999984732614486,1.5778774043058354e-06,20,4096,2.5e-05,1.1480957044076106,1.327153217575718,1.0570430666046786,1.3611096165435728,1.3359626774445597,1.3562567467766515,10.0,1.0
75,0.9999852071935729,0.9999852071935729,1.3813200758125118e-06,20,4096,2.5e-05,1.1483612832649195,1.327797589064247,1.0561109244679932,1.3610861531479224,1.3360284323167553,1.3561217063354005,10.0,1.0
79,0.9999851806836515,0.9999851806836515,2.3000320268346234e-06,20,4096,2.5e-05,1.148989809368898,1.329276319724472,1.0571787229771579,1.3611075960107881,1.3357436809683976,1.356172989428054,10.0,1.0
