iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.313697115129596e-05,1.139181420978075e-05,1.174515694151521e-05,0.5076358899664071,8,200,200
9,2.4191637102383785e-05,1.2356772957459057e-05,1.1834864144924727e-05,0.4892130323730158,8,200,200
10,2.2647597442326702e-05,1.1139840051470081e-05,1.150775739085662e-05,0.5081226571675751,8,200,200
15,2.2752632080714946e-05,1.1520817830314754e-05,1.1231814250400191e-05,0.49364900775239273,8,200,200
19,2.3558627097973844e-05,1.33611229376571e-05,1.0197504160316743e-05,0.43285646985743825,8,200,200
20,2.2813121646499602e-05,1.0865033489183747e-05,1.1948088157315855e-05,0.5237375376529912,8,200,200
25,2.43585029989736e-05,1.1487757765386197e-05,1.2870745233587404e-05,0.5283881868327353,8,200,200
29,2.119237625669226e-05,1.0933711654144043e-05,1.0258664602548216e-05,0.48407335158126363,8,200,200
30,2.2195174982711118e-05,1.1587727528098e-05,1.0607447454613118e-05,0.477916820339365,8,200,200
35,2.2297470089554502e-05,1.0441613621475448e-05,1.1855856468079054e-05,0.5317130786794086,8,200,200
39,2.2907081706937853e-05,1.0977522777684742e-05,1.1929558929253111e-05,0.5207803893081681,8,200,200
40,2.165481549747598e-05,1.1372447944795073e-05,1.0282367552680909e-05,0.47483053152216376,8,200,200
45,2.3894173543159693e-05,1.0537529984295944e-05,1.3356643558863749e-05,0.5589916527030258,8,200,200
49,2.3433676307324197e-05,1.0526789639795871e-05,1.2906886667528326e-05,0.550783688323555,8,200,200
53,2.3495162156333287e-05,1.2394376883241819e-05,1.1100785273091468e-05,0.4724711069976239,8,200,200
58,2.396748901411681e-05,1.224289980643588e-05,1.1724589207680931e-05,0.48918721526377534,8,200,200
59,2.243479665462421e-05,1.1041695161449153e-05,1.1393101493175056e-05,0.5078317253580605,8,200,200
63,2.0684976681596222e-05,1.1540645457562908e-05,9.144331224033314e-06,0.442075974500333,8,200,200
68,2.336103443313327e-05,1.325383852748443e-05,1.010719590564884e-05,0.4326518988094837,8,200,200
69,2.260733929507887e-05,1.076589349685749e-05,1.1841445798221379e-05,0.523787679906189,8,200,200
73,2.3140799918001577e-05,1.203780312155853e-05,1.1102996796443047e-05,0.47980177158032716,8,200,200
78,2.099343582674549e-05,1.0830982589015913e-05,1.0162453237729576e-05,0.48407765749247594,8,200,200
79,2.1985067279781664e-05,1.1475374106971592e-05,1.0509693172810072e-05,0.478037798978,8,200,200
