iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,1.5468464161010973e-05,0.013945662367344099,9.334011322277909e-16,1.0034750794169502,1.0815533003485793,1.0034750794169502,1.0815533003485793,1.0034750794169502,1.0815533003485793,0.06969580024420065,1.3609692397155286,1.3410990571996695,1.3570660479006909,1.7985466815329219,1.841628258554842,1.852237271451864,0.0,0.0,0.0,0.0,-0.0005539616109941853,0.0038937887326556,0.002424737371304151,0.0042599597047335335,0.024392865469861115,4.5816852374975,7.276885423269625e-07,4.505375472834422e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,1.4916535875770896e-05,0.013945612174313941,2.58058080541427e-15,0.9997962696484071,1.075490558189634,0.9997962696484071,1.075490558189634,0.9997962696484071,1.075490558189634,0.05680276642510445,1.3611109035197253,1.331093738916315,1.3555843628390656,1.7718105442018044,1.8376089661006587,1.852622891680283,0.0,0.0,0.0,0.0,-0.0004036163406749602,0.003841045394851648,0.002180423670961864,0.004623091944324895,0.022035276798615885,4.581684544129847,8.480096077703859e-07,4.2311606442050984e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,1.4466829685571528e-05,0.01394556351972926,3.0712894448778843e-15,1.0002685351159604,1.0755161646873508,1.0002685351159604,1.0755161646873508,1.0002685351159604,1.0755161646873508,0.03685945807215511,1.3608264316045078,1.336507626317695,1.356444444260777,1.7862526466840745,1.8399415306283646,1.851848576953458,0.0,0.0,0.0,0.0,-0.0005450311668649566,0.003764275589368737,0.002300201477131994,0.004020702731088262,0.022670524926412354,4.581683695841691,8.402766050172863e-07,3.967899138466834e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,1.409278819322711e-05,0.013945515582123466,3.5972682630659644e-15,1.0043898513151688,1.0836493047535507,1.0043898513151688,1.0836493047535507,1.0043898513151688,1.0836493047535507,0.04758395735855568,1.36103228250269,1.3386470284946779,1.3562505147928678,1.7919758694621581,1.839415458883404,1.852408874014482,0.0,0.0,0.0,0.0,-0.0004656134300451363,0.003725049305309758,0.002415580531922652,0.003938750221876299,0.0242895208904586,4.581683095709116,8.3271170942609e-07,4.1727119655824605e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,1.7245868652493277e-05,0.013945457300690738,4.29122346950183e-15,0.995434955854073,1.067272704094765,0.995434955854073,1.067272704094765,0.995434955854073,1.067272704094765,0.0683910516364014,1.3609203249525526,1.3358911085774836,1.356331692384614,1.784605053976514,1.8396356598499257,1.8521041308689612,0.0,0.0,0.0,0.0,-0.0006161228073367881,0.004106855407580441,0.0022132632941650487,0.004457011091849563,0.025248018228987555,4.581682207553761,8.473104765486623e-07,4.899876122094999e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,1.56585454682897e-05,0.013945408369143377,5.0556200329672544e-15,0.9953378292654359,1.0675180701866593,0.9953378292654359,1.0675180701866596,0.9953378292654359,1.0675180701866593,0.03993373881290841,1.3608309561579908,1.3305831023578882,1.3541252937540316,1.7704513926863352,1.8336553111877263,1.8518608912378713,0.0,0.0,0.0,0.0,-0.0004510660697521085,0.003931295571310823,0.002243759411179644,0.005001361415173345,0.02623049132485477,4.581681609018875,8.099346676666924e-07,4.094969728343206e-05,0.09044709511900685,0.0,0.0,0.9999915506476819,0.006419229963685602,0.2568203050418685,0.04299523720553899,0.11281145563507408,7.556640362396032e-06,8.101905105893667e-06,0.517411091745458
6,1.405283691294949e-05,0.013945359428957515,7.129192476197249e-15,0.998484633389119,1.0718241614340391,0.998484633389119,1.0718241614340391,0.998484633389119,1.0718241614340391,0.03681702543145133,1.3609151950423959,1.3366536287806452,1.356402895460758,1.7866429236237868,1.8398288149215904,1.8520901680972823,0.0,0.0,0.0,0.0,-0.0005099103159671401,0.0037138697315091417,0.0022905126199785344,0.00452829555684048,0.021098801967269185,4.581680873555155,1.0061208981626523e-06,4.165664132817489e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,1.6603325503304188e-05,0.013945304934123954,6.84506572179462e-15,1.0058599356290483,1.0863340735071705,1.0058599356290483,1.0863340735071705,1.0058599356290483,1.0863340735071705,0.07845051387563019,1.3610616004694496,1.3379528291639753,1.355311754444412,1.7901177742678982,1.8368699518668812,1.8524886802724596,0.0,0.0,0.0,0.0,-0.0006117837035801472,0.004028529037171998,0.0022973506167831364,0.004269477290787571,0.021117103018964793,4.581679787812588,7.183446256164138e-07,4.64651754059332e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,1.5522101402586612e-05,0.013945252338345787,7.503658747208433e-15,1.0022252131048328,1.0798957944819312,1.0022252131048328,1.0798957944819312,1.0022252131048328,1.0798957944819312,0.025378759255700625,1.3610542835377166,1.336175403283825,1.355977687830159,1.7853647112784374,1.8386754899059232,1.8524687627363672,0.0,0.0,0.0,0.0,-0.0005628664697167541,0.0038993951761594017,0.0022049300111281066,0.004655065056138692,0.016553182710072768,4.581679087454886,6.878745769334215e-07,4.436982112201178e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,1.5852846307162862e-05,0.013945195391829743,7.974123303248424e-15,0.9997685670009636,1.0720699522763786,0.9997685670009636,1.0720699522763786,0.9997685670009636,1.0720699522763786,0.06250620724618264,1.361066390244178,1.337863025098577,1.3573842291736178,1.789877473991331,1.842491950924996,1.852501718652317,0.0,0.0,0.0,0.0,-0.0006529682415806908,0.003927655634427474,0.0021937481446613113,0.003967378416880618,0.022418876483764415,4.581678334346981,7.59979565151499e-07,4.760982694336333e-05,0.08983754394548907,0.019077895250928994,1.0,0.9999908717286821,0.007475453627434736,0.285020694060911,0.042995237205540104,0.11295739961997914,7.190396565309928e-06,8.662449741852934e-06,0.5464286711679618
