iter,mmd2,mmd_sigma,mean_l2,num_samples,dist_action_kl,dist_action_tv,action_samples,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.006419229963685602,2.368501387453343,0.2568203050418685,4096,0.04299523720553899,0.11281145563507408,64,0.9991435421910587,1.0741109671590725,0.07006252732279795,1.3610643712477941,1.3362479019691458,1.3567210833808496,10.0,1.0
9,0.007475453627434736,2.360681797945606,0.285020694060911,4096,0.042995237205540104,0.11295739961997914,64,1.0041390199655629,1.0805171123096549,0.06344981998001172,1.3610995413302585,1.333177999145671,1.3539239158323304,10.0,1.0
10,0.005060083295323925,2.36303118411891,0.2035479657505729,4096,0.04299523720554116,0.1128869451778973,64,1.0050733709494892,1.0821117668050388,0.036417127334907644,1.3609973011156036,1.3370275986870133,1.3566566354256433,10.0,1.0
15,0.007603978416648616,2.35707145264793,0.28903492675597653,4096,0.04299523720554124,0.11291195798211673,64,1.0026639094361285,1.0818391261193896,0.0633975773870432,1.360719529169118,1.3381459545758618,1.3566926348007848,10.0,1.0
19,0.009432908691511477,2.374715276218801,0.315100848863005,4096,0.0429952372055437,0.1134117613517311,64,1.002584497888535,1.0792306029926386,0.07979076204178412,1.361071839214095,1.337885134169556,1.355687366925816,10.0,1.0
20,0.013026361406529241,2.348594999533813,0.3748277659828102,4096,0.04299523720554493,0.1130133570766183,64,0.9948093960247787,1.0659017446400787,0.08026401570181595,1.3610924270037246,1.336327841556618,1.3544085607815157,10.0,1.0
25,0.007273406280059236,2.3622576791697347,0.26711655925966193,4096,0.04299523720555008,0.11248115496785958,64,0.9966005922267775,1.0677467054547654,0.04642719038426102,1.361089596686089,1.3332240364945576,1.355925546715263,10.0,1.0
29,0.00976363167147154,2.3518294674152225,0.2932008038015481,4096,0.042995237205551505,0.11279807497928143,64,1.0021385606610098,1.0779984198804577,0.0517093369093805,1.3610750320685832,1.3365032093136817,1.35583598482529,10.0,1.0
30,0.006954335301769254,2.3606470358964584,0.25358878907847193,4096,0.04299523720555071,0.11293281217563392,64,1.0028688692155312,1.077873054800079,0.057342261059561285,1.3610595116976907,1.3330118333036465,1.3553439995408292,10.0,1.0
35,0.0050087408082402085,2.352053332922349,0.20365888074683425,4096,0.042995237205561254,0.11292898318947844,64,0.9956535989599389,1.0674145297794861,0.06805560680847911,1.3608956962107386,1.3361518673765764,1.3561493733858925,10.0,1.0
39,0.004201120804259162,2.3542431305402354,0.17365611847256185,4096,0.042995237205558076,0.11277339324812316,64,1.0063094758780275,1.0891488227032395,0.03794802386247115,1.3610336376660963,1.3374522663027646,1.3565941813162605,10.0,1.0
40,0.01580630621023349,2.356718670881201,0.4530466107497893,4096,0.042995237205559436,0.11295366400978549,64,0.9941406105238177,1.0649514131272013,0.049951789938257836,1.3609627230070693,1.3334108787139165,1.3553954096804022,10.0,1.0
45,0.011301943177838392,2.3500596633254043,0.3701739684885597,4096,0.04299523720556532,0.11279487240378529,64,0.9993845202476064,1.0746656912463863,0.06465899246088272,1.360911791340511,1.337344147983306,1.356151572669637,10.0,1.0
49,0.00910087445305574,2.356247648414913,0.338147424092003,4096,0.042995237205559235,0.11295117656380435,64,0.9950543705225678,1.0636170694904514,0.06803514269667736,1.3608937840564514,1.3324618795879886,1.3556942336546076,10.0,1.0
53,0.006218209619482495,2.3606287335362213,0.24656544526349536,4096,0.04299523720555731,0.11303337509712652,64,0.9985585383429953,1.074964863518861,0.05734890222377966,1.360951532674056,1.3378043811802471,1.3570023896970815,10.0,1.0
58,0.008065545944873631,2.3687778030385913,0.2967784758718627,4096,0.04299523720555279,0.11287866951621078,64,1.0017149904271356,1.0795155069694027,0.06752883166773124,1.3610764407886788,1.336549605837746,1.3560498558398004,10.0,1.0
59,0.007938043388053706,2.357832562443004,0.28870366595270847,4096,0.042995237205553996,0.1131932719263311,64,1.0029850849797852,1.0792706668022034,0.058083895708837104,1.3609172281402029,1.3315666385829212,1.3548690735192084,10.0,1.0
63,0.008068328873542585,2.3601990159434654,0.29653243526280776,4096,0.04299523720555138,0.11306445302758678,64,1.0027642260892309,1.0811024067052497,0.07424506594306358,1.361024274503443,1.3357060959722948,1.3557522864849674,10.0,1.0
68,0.008645954775223563,2.3568222217623043,0.3172973070956854,4096,0.04299523720555361,0.11318567689661332,64,0.9994986048373011,1.0763613854658605,0.06844807211650655,1.361005717729784,1.3373964230374193,1.3572671919944745,10.0,1.0
69,0.009308925001948132,2.3637602190313878,0.3198320013814143,4096,0.04299523720555608,0.11271076097315788,64,1.0014087285293023,1.078339617260787,0.04185209850661896,1.3610556039667883,1.337242822712779,1.3561786587505216,10.0,1.0
73,0.0054110060352570155,2.3541944866113202,0.2303080960990915,4096,0.04299523720555693,0.11264845553251795,64,0.9979332266868033,1.0731335916437492,0.08461950377850948,1.3610947231051302,1.3368347916056122,1.3561199413117724,10.0,1.0
78,0.009937748841988836,2.349780397141233,0.32267729509934384,4096,0.04299523720555689,0.11291791857641997,64,0.9984843946910338,1.0744647850275664,0.07582002545982533,1.3610452932130905,1.3380864443121723,1.3567443939449115,10.0,1.0
79,0.01831405126055463,2.3554938731340114,0.4729547561204911,4096,0.04299523720555827,0.11330292777425419,64,0.9990625733532312,1.073658329725682,0.0645667846339878,1.3610091344407313,1.3360590794465987,1.356031775507672,10.0,1.0
