iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.09044709511900685,0.0,0.0,False,2000,4096,1e-07,1.0010778153247881,1.0765050486975585,0.03322355846914669,1.3610922513435177,1.3375774852057607,1.355990266958348,10.0,1.0
9,0.08983754394548907,0.019077895250928994,1.0,False,2000,4096,1e-07,0.9930609747568753,1.0628388102563282,0.0543807320148085,1.3610907639869005,1.3330596928404574,1.3563433862643892,10.0,1.0
10,0.09322221202090367,0.01906140189593327,1.0,False,2000,4096,1e-07,1.004615359308083,1.0826695666570227,0.06291154335607047,1.3609653169629652,1.3355976899036421,1.3546915998001814,10.0,1.0
15,0.08816445021751441,0.02010068863704927,1.0,False,2000,4096,1e-07,1.0008745710964013,1.0769124264534147,0.05581688264506907,1.3610158836301185,1.3373934316237712,1.3572959049277702,10.0,1.0
19,0.09160571304158405,0.01994773850655034,1.0,False,2000,4096,1e-07,0.9963995237805863,1.0699159118702846,0.040296125523593206,1.3610998271850123,1.3360038244802637,1.3556714056037757,10.0,1.0
20,0.0806858427994124,0.02183029178309388,1.0,False,2000,4096,1e-07,0.9978066582544214,1.0712552842272163,0.020842535103744696,1.36103411879211,1.3346111255081248,1.3551945900928675,10.0,1.0
25,0.11287086519615779,0.03807364121166888,1.0,False,2000,4096,1e-07,0.994586689316053,1.0661243939263456,0.024544516277693836,1.3609926769236502,1.3354627237981636,1.3559549971748266,10.0,1.0
29,0.0789869729067309,0.04003784341222625,1.0,False,2000,4096,1e-07,1.004970558598624,1.0851583448372997,0.0666098370090005,1.360965421151833,1.337068922851799,1.3570210151118507,10.0,1.0
30,0.09341889061097305,0.02528883856375219,1.0,False,2000,4096,1e-07,0.9969346286522778,1.0687678494200226,0.026361320787044642,1.3610748406315436,1.3345851810904106,1.3573045605491434,10.0,1.0
35,0.07912513647051073,0.022754556078635194,1.0,False,2000,4096,1e-07,1.0030612414583575,1.0813049235799914,0.0645448645721725,1.360862390094977,1.3381669189898364,1.35699635656668,10.0,1.0
39,0.10407434827704687,0.03110672182276899,1.0,False,2000,4096,1e-07,0.9988725749360043,1.0731297196329659,0.08308335066895246,1.361066495836382,1.3372639329012932,1.3554374937784786,10.0,1.0
40,0.08988562650200928,0.024490149900343462,1.0,False,2000,4096,1e-07,0.9969641710193404,1.0704903070957492,0.029913168127191064,1.3608268214881407,1.3362351729576774,1.3555346004170454,10.0,1.0
45,0.0908659374714588,0.01944186695753864,1.0,False,2000,4096,1e-07,0.9932044721272677,1.0623811596654673,0.04212199048578427,1.3610710043350656,1.333347132873426,1.3562343928527265,10.0,1.0
49,0.08462417131436532,0.0,0.0,False,2000,4096,1e-07,0.9951702382377989,1.0674531416692719,0.07305992958637474,1.3609558634342782,1.3360249931063664,1.356447761631994,10.0,1.0
53,0.0751762694294753,0.019507018225739328,1.0,False,2000,4096,1e-07,0.9959899716366565,1.0681480470600184,0.057081601493339816,1.360940388066184,1.3354623045342933,1.3559476860737765,10.0,1.0
58,0.09109699332767665,0.02360992903847112,1.0,False,2000,4096,1e-07,0.995701115074699,1.0692010493701984,0.056093631470280673,1.3608386510533133,1.334894660146247,1.3561460726335437,10.0,1.0
59,0.08541584293907638,0.019840323976649962,1.0,False,2000,4096,1e-07,0.9941460555609409,1.065475523450473,0.08878118022796717,1.3608166527034142,1.3334775166327772,1.3546597525245065,10.0,1.0
63,0.09288475084912456,0.02182260742628934,1.0,False,2000,4096,1e-07,1.0000225082604834,1.072055503570307,0.036863817732872894,1.3606345223607985,1.3363098804585154,1.3555308504146182,10.0,1.0
68,0.09489550785793835,0.018764544676474697,1.0,False,2000,4096,1e-07,0.9975104333180196,1.0731500248819266,0.03940930585476238,1.3610244034988142,1.3359834677395257,1.3558098248063764,10.0,1.0
69,0.08907800259654759,0.01999623275641971,1.0,False,2000,4096,1e-07,0.9998311512524707,1.07667774400234,0.034045490577862235,1.3610100127611695,1.3348277466964662,1.3557385887691749,10.0,1.0
73,0.09196262753468461,0.018663440143319356,1.0,False,2000,4096,1e-07,0.9940117730804519,1.0667017975021689,0.04916393026213549,1.3609214629592243,1.3377469010424332,1.356387043488566,10.0,1.0
78,0.09190606613155634,0.01906858436555023,1.0,False,2000,4096,1e-07,1.0059796118269009,1.088704890523133,0.06815338186100994,1.3610716384845505,1.3382672562311968,1.357123733054282,10.0,1.0
79,0.09914591932075391,0.020577920855341346,1.0,False,2000,4096,1e-07,1.0000766935660133,1.077506344962534,0.05177927593044292,1.3609261147658651,1.3385425416168257,1.356177173775852,10.0,1.0
