iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,1.56585454682897e-05,7.556640362396032e-06,8.101905105893667e-06,0.517411091745458,8,200,200
9,1.5852846307162862e-05,7.190396565309928e-06,8.662449741852934e-06,0.5464286711679618,8,200,200
10,1.6788000040054026e-05,8.578022253154614e-06,8.209977786899412e-06,0.4890384660061623,8,200,200
15,1.4767771554300051e-05,7.587654975617384e-06,7.180116578682668e-06,0.4862017639074309,8,200,200
19,1.568646610206365e-05,8.182577965126058e-06,7.5038881369375905e-06,0.4783670259517795,8,200,200
20,1.5932256612548362e-05,9.495695480294753e-06,6.436561132253609e-06,0.4039955725533649,8,200,200
25,1.4906764126190737e-05,8.180715273933837e-06,6.7260488522569e-06,0.4512078406365493,8,200,200
29,1.4362895502875762e-05,6.7386636767852e-06,7.624231826090562e-06,0.5308283294662992,8,200,200
30,1.5411973449372016e-05,8.143261025393903e-06,7.268712423978113e-06,0.4716276243179155,8,200,200
35,1.7098526034182936e-05,8.723446347920963e-06,8.375079686261974e-06,0.48981296221199,8,200,200
39,1.5506325211174637e-05,8.162420071020465e-06,7.343905140154172e-06,0.4736070629333754,8,200,200
40,1.8299480584891732e-05,8.58498762981532e-06,9.714492955076412e-06,0.5308616771940955,8,200,200
45,1.4148945718776859e-05,6.940312676778639e-06,7.20863304199822e-06,0.5094819914696364,8,200,200
49,1.5426482210563334e-05,6.88460863076142e-06,8.541873579801913e-06,0.5537149340471696,8,200,200
53,1.7198259235644934e-05,8.937751578231975e-06,8.260507657412959e-06,0.48031068401924754,8,200,200
58,1.580944188249021e-05,7.171048623144988e-06,8.638393259345223e-06,0.5464072244645586,8,200,200
59,1.674136071695195e-05,8.553464459311656e-06,8.187896257640293e-06,0.4890818850435139,8,200,200
63,1.438955916184351e-05,7.475502246305961e-06,6.914056915537549e-06,0.48049122546237605,8,200,200
68,1.5642585571947136e-05,8.159545608659433e-06,7.483039963287704e-06,0.47837615647809045,8,200,200
69,1.5890468216995058e-05,9.470817038202549e-06,6.419651178792509e-06,0.40399383398448957,8,200,200
73,1.6696624634091345e-05,7.882207333663217e-06,8.814417300428129e-06,0.5279161203894324,8,200,200
78,1.4322720077473649e-05,6.719921445474859e-06,7.60279863199879e-06,0.530820862997682,8,200,200
79,1.5370139749572493e-05,8.12161128833406e-06,7.248528461238434e-06,0.4715980842945846,8,200,200
