iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,2.3663466935039645e-05,0.044552443996163746,1.3615708777234832e-13,0.963716823165748,4.829928360127701,0.9637168231657482,4.829928360127701,0.963716823165748,4.829928360127701,0.390693717271885,58.85648163794639,2.4106184178009986,5.977217576206757,5.81109102335053,35.727175909167606,3464.0854307979203,0.0,0.0,0.0,0.0,-0.000823649565139663,0.004794274536244757,0.0028589694185641623,0.0059184408174139036,0.016087499978511895,9.163367315005743,8.39135368914016e-06,0.00026938661528954575,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2.3095570474985886e-05,0.0445520919610829,3.701684887483099e-13,0.9971954769685505,5.427603048650997,0.9971954769685505,5.427603048650997,0.9971954769685505,5.427603048650997,0.3906251005524085,83.12022791308095,2.4718278867552055,7.225482829591252,6.10993990979518,52.20828268873735,6908.972288322522,0.0,0.0,0.0,0.0,-0.0007020189241685726,0.00475423389255252,0.0028602475015579794,0.005814925952576947,0.024245079064981162,9.163363139347467,9.436504384823793e-06,0.00031324408889934715,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,2.3198381826977083e-05,0.04455152108583606,8.590315255203064e-12,0.999192017799168,12.225559839035945,0.999192017799168,12.225559839035945,0.999192017799168,12.225559839035945,0.3907629124325847,172.44643064898722,2.305796703154049,5.94889412165766,5.31670821861065,35.38953257049946,29737.77144357596,0.0,0.0,0.0,0.0,-0.0009210552542820765,0.004727582790976427,0.002771498715779949,0.006185746254313995,0.017063578327371143,9.16336510813947,6.440894546904679e-05,0.0006658033094807828,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,2.3022793239584062e-05,0.04455125644394176,8.623653135109242e-12,0.9716875193964656,6.8726351024982,0.9716875193964656,6.8726351024982,0.9716875193964656,6.8726351024982,0.39066316906032295,112.07035524609198,2.300287481716489,5.869660743306031,5.291329971685947,34.453419338191416,12559.764524985256,0.0,0.0,0.0,0.0,-0.0007232371445564236,0.004743387109684168,0.002701647196564158,0.006021450169832679,0.02004850763005607,9.163362888470184,8.563143753274378e-06,0.0002399602531770255,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,2.3703791094667476e-05,0.04455086285455534,1.1817406387787408e-11,0.9944258793084321,5.3897117020183885,0.9944258793084321,5.389711702018391,0.9944258793084321,5.3897117020183885,0.39071743028341777,60.763349195856726,2.3576184957953945,5.904383022861699,5.558365523731746,34.86278837297998,3692.184605497622,0.0,0.0,0.0,0.0,-0.0007976566629232774,0.0048028673667676455,0.0027420505645175653,0.006291583328489333,0.0329343390877313,9.163359230318603,2.0494399878115447e-05,0.00036674938826488566,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,2.3116973973310816e-05,0.04455062930916032,1.1402206721454672e-11,1.0051327815081814,9.615403123143114,1.0051327815081812,9.615403123143114,1.0051327815081814,9.615403123143114,0.3907607076715224,150.64115136476747,2.4901537134443816,7.148262933825926,6.200870708164821,51.0984518396161,22692.756484502785,0.0,0.0,0.0,0.0,-0.0007290910568078147,0.00475240993646315,0.0028411918837758323,0.005997775705970132,0.021040834800158,9.163355843971226,4.965840380867903e-06,0.00019589045315819375,0.34923513677499635,0.0,0.0,0.9999740707959508,0.027507801933749354,0.548526717620205,0.6199927415176002,0.333847214558409,1.1381355641493983e-05,1.1735618331816833e-05,0.5076623932425554
6,2.520115455892296e-05,0.044550323746941095,1.1420468980857002e-11,1.0671043830672509,19.04846328429791,1.0671043830672509,19.048463284297906,1.0671043830672509,19.04846328429791,0.39071989592316075,172.78106393171674,2.4199120044171742,5.538828647307977,5.85597771530739,30.678968855906795,29853.29605337599,0.0,0.0,0.0,0.0,-0.0008170489289788901,0.004953138964997591,0.002737624516882358,0.005791211156748357,0.02714583516499483,9.16335079341475,6.993016139007646e-06,0.00025490974945328957,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,2.3519577791570922e-05,0.044550096616161404,1.1456177449396383e-11,0.9558041560331018,3.496503661439251,0.9558041560331018,3.496503661439251,0.9558041560331018,3.496503661439251,0.3906489837210859,48.20295590477464,2.513705715359817,6.138750926536531,6.318716746757229,37.68472839110465,2323.5249579576484,0.0,0.0,0.0,0.0,-0.0006846126556585068,0.004801133543579384,0.0028442349244500206,0.005326588795237509,0.015254595797077431,9.163348259256466,4.312359259640515e-06,0.00020173675698337908,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,2.3008369511102696e-05,0.04454976899394193,1.6599085897487124e-11,1.1025041883218003,42.38180477493195,1.1025041883218003,42.38180477493195,1.1025041883218003,42.38180477493195,0.39065252767607317,323.71166178257096,2.52949348832695,7.00266310117382,6.398342763984789,49.037305364726066,104789.23997403361,0.0,0.0,0.0,0.0,-0.0006110116363701076,0.004757629061972257,0.0028441459473658296,0.005813297701171115,0.027894897652759314,9.163339056949182,3.365950171269728e-05,0.00028004506860820194,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.4161506047077836e-05,0.044549518961246606,1.67700209970966e-11,0.9460389457309075,4.160547459579465,0.9460389457309075,4.160547459579465,0.9460389457309075,4.160547459579465,0.3906466670954357,70.72667663176935,2.294515312109836,5.704321459656387,5.26480470674245,32.539720637752524,5002.262787374869,0.0,0.0,0.0,0.0,-0.0008850120349171747,0.004835107004517025,0.002657674513698758,0.0073330786399993485,0.025602126471213155,9.163335194376625,2.939316010382216e-06,0.00020475308942128945,0.5308897679293065,0.2438113829983649,1.0,0.9999740153681878,0.021345283549126348,0.4601683057670098,0.6199927415225254,0.3338530360016113,1.2341464425314359e-05,1.1820041621763477e-05,0.48920963779048154
