iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999740707959508,0.9999740707959508,3.6075136115895414e-06,20,4096,9.375e-05,1.012216686557249,28.501774161610026,0.3906329634236295,839.2360940403219,2.4018731584612185,6.452786113379305,10.0,0.0
9,0.9999740153681878,0.9999740153681878,7.1585071108435354e-06,20,4096,9.375e-05,1.0332759055910525,74.42573209276851,0.39064033009592486,1425.6951679179108,2.408633052690818,6.373967325026815,10.0,0.0
10,0.9999718526104835,0.9999718526104835,4.4086564645257375e-06,20,4096,9.375e-05,0.9942704163568612,19.439545038925882,0.39062652051263463,672.1010342574596,2.3868903096798566,6.351495800646419,10.0,0.0
15,0.9999730316166466,0.9999730316166466,5.3926845663054e-06,20,4096,9.375e-05,0.9772719111864979,5.169016529093173,0.39063718840795625,147.06010924390702,2.450737941785944,6.274622960182986,10.0,0.0
19,0.9999735119109645,0.9999735119109645,4.923040305843274e-06,20,4096,9.375e-05,0.9754346732780028,5.7547252661024455,0.3906264031147162,261.1313567666812,2.491293686261742,6.380935166575175,10.0,0.0
20,0.9999745400002561,0.9999745400002561,5.636835039196129e-06,20,4096,9.375e-05,0.967604584488269,4.317242545349541,0.390629287368199,146.4153283932553,2.435489418392616,6.46627002951133,10.0,0.0
25,0.9999745292688799,0.9999745292688799,5.708625595088873e-06,20,4096,9.375e-05,1.0059395070177213,16.499360664015285,0.39064806348921693,566.007033518272,2.4634677176573865,6.757387665854804,10.0,0.0
29,0.9999712396435624,0.9999712396435624,4.702611534266212e-06,20,4096,9.375e-05,0.9739218522909766,5.616053064339364,0.3906336940682874,214.5790038397267,2.4142787136507486,6.411097069456599,10.0,0.0
30,0.9999706743152834,0.9999706743152834,1.1713033909225479e-05,20,4096,9.375e-05,0.9984916175872244,9.232909299224767,0.39062659268363914,220.13394544216484,2.447278188100266,6.488115970377886,10.0,0.0
35,0.9999717787916966,0.9999717787916966,7.520282080168512e-06,20,4096,9.375e-05,0.9882978880187128,6.5975763158925,0.3906288177227517,179.03291970580926,2.480488421393609,6.4795671976352445,10.0,0.0
39,0.9999753188221863,0.9999753188221863,3.6743011046280037e-06,20,4096,9.375e-05,1.0099999560643464,11.576700897834273,0.3906254441640806,317.15770255908654,2.4379938197038253,6.530135214000236,10.0,0.0
40,0.9999671065686199,0.9999671065686199,8.698477133945438e-06,20,4096,9.375e-05,0.9978674204270348,6.461206717043447,0.3906345616995573,195.2599170250425,2.4677531576961957,6.5632344109343705,10.0,0.0
45,0.9999762681570039,0.9999762681570039,1.0640359652149723e-05,20,4096,9.375e-05,1.047974861832113,106.0686157674508,0.39064159590601283,1805.4642107917093,2.4423210068789163,6.623870643812032,10.0,0.0
49,0.999973358176256,0.999973358176256,4.083508258124793e-06,20,4096,9.375e-05,1.0001760200631478,19.71385465540213,0.3906262316703193,671.7187616262518,2.4044244975992775,6.568832166979697,10.0,0.0
50,0.9999679809643979,0.9999679809643979,1.2734854327404773e-05,20,4096,9.375e-05,1.007927908912119,14.236812377060168,0.3906270392264798,431.04819733393623,2.4389696739755546,6.41584212684849,10.0,0.0
55,0.9999689088767585,0.9999689088767585,9.587193450003517e-06,20,4096,9.375e-05,1.0122670169367327,35.25808241167461,0.3906252314676982,940.4587828667914,2.454112621947215,6.402358589323309,10.0,0.0
59,0.9999716016763407,0.9999716016763407,6.498928599372065e-06,20,4096,9.375e-05,0.9889092794306873,5.911955654811108,0.3906365418074245,189.40832125048266,2.459376345395342,6.680186767657855,10.0,0.0
60,0.999972475694586,0.999972475694586,3.8012005587986977e-06,20,4096,9.375e-05,0.9799209560621791,7.6122314829730815,0.39062631680605564,269.44776555216964,2.418852302281059,6.314396058497243,10.0,0.0
65,0.9999713996815891,0.9999713996815891,7.677840478774795e-06,20,4096,9.375e-05,0.9754087698204501,5.567182862162585,0.3906271077299403,149.4915408296902,2.386567519588807,6.253201144894333,10.0,0.0
69,0.9999694719497136,0.9999694719497136,9.078162960044552e-06,20,4096,9.375e-05,1.00533137611672,10.125221973706944,0.39064349078586336,229.68109897293303,2.399984298418914,6.486099908135965,10.0,0.0
70,0.9999781359580363,0.9999781359580363,1.4274932820942515e-05,20,4096,9.375e-05,1.0912328937868307,228.98348349662427,0.3906257208426916,2667.5375273470922,2.44166687996732,6.60039060998609,10.0,0.0
75,0.9999719550290713,0.9999719550290713,4.9406049701886645e-06,20,4096,9.375e-05,1.0017244911305636,11.009280730644917,0.39063708019631055,255.8892812344548,2.3766188725475748,6.4199307128683465,10.0,0.0
79,0.999970871740332,0.999970871740332,7.69659773590456e-06,20,4096,9.375e-05,0.9900853660353195,10.936656217311663,0.39062671065728377,318.1409097292495,2.3608694412018574,6.009500977310466,10.0,0.0
