iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.5460321190966876e-05,1.3137393030608049e-05,1.2322928160358828e-05,0.4840052121860468,8,200,200
9,2.5525380384196547e-05,1.2302354159462728e-05,1.3223026224733819e-05,0.518034443589352,8,200,200
10,2.3137135297752906e-05,1.1910469623558763e-05,1.1226665674194143e-05,0.4852228043669902,8,200,200
15,2.490658774265188e-05,1.2141872173950035e-05,1.2764715568701844e-05,0.5125035874281005,8,200,200
19,2.47734429246145e-05,1.3196736246164351e-05,1.157670667845015e-05,0.467303100084959,8,200,200
20,2.2855399364315097e-05,1.1243594722537531e-05,1.1611804641777566e-05,0.5080552064168902,8,200,200
25,2.3881381008241264e-05,1.1005574418099179e-05,1.2875806590142086e-05,0.5391567005986275,8,200,200
29,2.417181318808081e-05,1.2678331069430264e-05,1.1493482118650546e-05,0.47549110317955023,8,200,200
30,2.473471774546033e-05,1.2878447027800625e-05,1.1856270717659705e-05,0.4793372149894752,8,200,200
35,2.4243977055125484e-05,1.2315148736826934e-05,1.192882831829855e-05,0.49203265170458677,8,200,200
39,2.3649746018657206e-05,1.1648602524727476e-05,1.200114349392973e-05,0.5074533774892156,8,200,200
40,2.31706958422605e-05,1.2354131349593356e-05,1.0816564492667145e-05,0.4668208743623081,8,200,200
45,2.4823289566888153e-05,1.2088497491073951e-05,1.2734792075814203e-05,0.5130179076991138,8,200,200
49,2.2763357829258966e-05,1.0289569088432038e-05,1.2473788740826928e-05,0.5479766576789342,8,200,200
50,2.6886680827245468e-05,1.2542435269918481e-05,1.4344245557326987e-05,0.5335074883170899,8,200,200
55,2.4225114263187354e-05,1.1864704569674012e-05,1.2360409693513342e-05,0.5102312236477787,8,200,200
59,2.5861569270977778e-05,1.2294757239493882e-05,1.3566812031483896e-05,0.5245935344963295,8,200,200
60,2.4891311060299523e-05,1.2465550258071992e-05,1.2425760802227531e-05,0.4992007360370036,8,200,200
65,2.5423973109734245e-05,1.287604483643026e-05,1.2547928273303985e-05,0.4935471029309607,8,200,200
69,2.4936602732922898e-05,1.2430857662482233e-05,1.2505745070440665e-05,0.5015015559408893,8,200,200
70,2.423772313101065e-05,1.1956981093134456e-05,1.2280742037876194e-05,0.5066788646563816,8,200,200
75,2.5225410619874704e-05,1.2243133737748794e-05,1.298227688212591e-05,0.5146507653634538,8,200,200
79,2.3212498302460872e-05,1.1936501445912336e-05,1.1275996856548537e-05,0.4857726518542432,8,200,200
