iter,stability_proxy,stability_proxy_mean,stability_proxy_std,power_iters,batch_size,stability_probe_step_scale,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.9999843623137714,0.9999843623137714,4.989220154759949e-06,20,4096,6.25e-05,1.0122169085438468,28.502006527018427,0.3906329688270081,839.2400805184913,2.401872397497372,6.45279133376191,10.0,0.0
9,0.9999837377580291,0.9999837377580291,5.646815099804705e-06,20,4096,6.25e-05,1.0332764925530844,74.42720977854812,0.39064033516151614,1425.7125894482253,2.4086421674907337,6.373941299393022,10.0,0.0
10,0.9999842658655909,0.9999842658655909,3.4287177684050736e-06,20,4096,6.25e-05,0.9942705654172866,19.439772659220395,0.3906265206007626,672.1068115940476,2.3868964197303644,6.351475562966662,10.0,0.0
15,0.9999820852602122,0.9999820852602122,3.277411852788531e-06,20,4096,6.25e-05,0.9772720938601528,5.169067554351712,0.3906371673426978,147.06490114015222,2.45073933740999,6.274609484144866,10.0,0.0
19,0.9999825526124388,0.9999825526124388,2.57060563849506e-06,20,4096,6.25e-05,0.9754348099748503,5.754764084250734,0.39062640121317044,261.13349312883753,2.4912918553327525,6.380909591629973,10.0,0.0
20,0.9999821463513727,0.9999821463513727,4.935768972630237e-06,20,4096,6.25e-05,0.9676046122039546,4.317250886753908,0.3906292879872079,146.41535569495392,2.4354986622710477,6.466179766449083,10.0,0.0
25,0.9999817290384626,0.9999817290384626,5.031152449996279e-06,20,4096,6.25e-05,1.0059396786650465,16.49955867003714,0.3906480570963506,566.013616235005,2.4634806705441785,6.757399122784898,10.0,0.0
29,0.999982365713437,0.999982365713437,1.6298378167619476e-06,20,4096,6.25e-05,0.9739218598158892,5.616043979396539,0.3906337019486914,214.57773748412347,2.4142714379470536,6.411126487730423,10.0,0.0
30,0.999981141417088,0.999981141417088,6.2691897370996945e-06,20,4096,6.25e-05,0.9984913079279691,9.232818414884482,0.3906265974720604,220.1336943129171,2.4472790156539266,6.48808822883945,10.0,0.0
35,0.9999811579931457,0.9999811579931457,4.510707622130004e-06,20,4096,6.25e-05,0.9882976920680516,6.597580330427375,0.3906288113282652,179.03507127713198,2.4805021600420067,6.479620746740248,10.0,0.0
39,0.9999829678114082,0.9999829678114082,2.665435048267797e-06,20,4096,6.25e-05,1.0100006837512532,11.576925469907982,0.3906254457940473,317.1663031483283,2.438006456052575,6.530187818149279,10.0,0.0
40,0.9999816279443423,0.9999816279443423,6.7883901178261e-06,20,4096,6.25e-05,0.9978673594711174,6.461207845008133,0.39063456092154425,195.26175405238573,2.4677203784910042,6.563214983644767,10.0,0.0
45,0.9999783861252436,0.9999783861252436,6.138885809103783e-06,20,4096,6.25e-05,1.0479759480423978,106.07392843361926,0.39064159848894253,1805.5129929325014,2.442307078491862,6.623897832485238,10.0,0.0
49,0.9999837489315482,0.9999837489315482,2.8008864495383005e-06,20,4096,6.25e-05,1.0001758757491963,19.713718297020904,0.3906262283422039,671.7164052576616,2.404448162430289,6.568913352229913,10.0,0.0
50,0.9999809664200301,0.9999809664200301,6.846138042160723e-06,20,4096,6.25e-05,1.007927944464606,14.236798814575723,0.3906270494436318,431.0458311220191,2.438964327484828,6.415897264212177,10.0,0.0
55,0.9999805292885384,0.9999805292885384,9.539007556382367e-06,20,4096,6.25e-05,1.0122668809556006,35.257870126048445,0.39062522913663655,940.4544995747143,2.4541346934716537,6.402375738515783,10.0,0.0
59,0.9999815220588886,0.9999815220588886,5.2261194345875705e-06,20,4096,6.25e-05,0.9889093940062312,5.912006863740482,0.3906365562413017,189.4105978709598,2.4593745696477085,6.680160859161475,10.0,0.0
60,0.9999812620091864,0.9999812620091864,4.65769049066494e-06,20,4096,6.25e-05,0.9799211414247861,7.612370977283575,0.3906263202761108,269.4553351568626,2.4188600621044922,6.314410830564759,10.0,0.0
65,0.9999800024543662,0.9999800024543662,3.5609185457083664e-06,20,4096,6.25e-05,0.9754087513793984,5.567139552686715,0.39062711874196254,149.49018572900997,2.386573678685336,6.253122807263643,10.0,0.0
69,0.999983789042144,0.999983789042144,4.054206206772857e-06,20,4096,6.25e-05,1.0053313518808888,10.125180489901773,0.39064346167695907,229.6786711419531,2.399967654698655,6.486052736122854,10.0,0.0
70,0.9999818569018948,0.9999818569018948,1.0348916155729886e-05,20,4096,6.25e-05,1.0912297489196354,228.96946620073146,0.3906257253511109,2667.453745146153,2.4416952853641547,6.600445520510092,10.0,0.0
75,0.9999810915573594,0.9999810915573594,5.293235406468045e-06,20,4096,6.25e-05,1.001724438790888,11.009322723026404,0.3906370875344044,255.88975573293004,2.3765778451357384,6.419939087623078,10.0,0.0
79,0.9999805935586096,0.9999805935586096,8.722245150976807e-06,20,4096,6.25e-05,0.9900853938229172,10.936762238927873,0.3906267026221297,318.14776582993073,2.3608586716336855,6.0094693917547986,10.0,0.0
