iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,2.3663466935039645e-05,0.044552569938021286,9.465759638724107e-15,0.8708872493830248,1.3760807451661672,0.9637168231657482,4.829928360127701,0.963716823165748,4.829928360127701,0.390693717271885,5.0,2.4106184178009986,5.0,5.81109102335053,25.0,25.0,0.0,0.0,0.0,0.0,-0.000823649565139663,0.004794274536244757,0.0028589694185641623,0.0059184408174139036,0.016087499978511895,9.163369134077625,2.2237067894763594e-06,0.00015883309523982372,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2.3099128358189573e-05,0.04455238355936725,2.2649849948017463e-14,0.885035002181946,1.460109199354196,0.9971954857422577,5.427603465066726,0.9971954857422577,5.427603465066726,0.39062510054995064,5.0,2.4718276688205187,5.0,6.109938832167028,25.0,25.0,0.0,0.0,0.0,0.0,-0.0007020143098217745,0.004754608739633056,0.002860252361418899,0.005814892542925803,0.024245098000214536,9.163366763131075,2.6427664109346177e-06,0.00015890443440454003,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,2.3206818469830672e-05,0.04455220610379024,4.637054906032519e-14,0.8746642572970661,1.3823661107718488,0.9991920297578646,12.225559126255451,0.9991920297578646,12.225559126255451,0.390762909221174,5.0,2.3057956826077946,5.0,5.316703513115817,25.0,25.0,0.0,0.0,0.0,0.0,-0.0009210503729518056,0.004728475936315635,0.002771689783654653,0.006185919715583508,0.01706362463507633,9.163364550107161,2.862144962155803e-06,0.00015284428141300517,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,2.3046037123427812e-05,0.04455203165210686,6.984564380923505e-14,0.8686385631707205,1.3714210540901124,0.9716874944104713,6.87262795917633,0.9716874944104713,6.872627959176336,0.3906631789631098,5.0,2.300286343890223,5.0,5.291324738489817,25.0,25.0,0.0,0.0,0.0,0.0,-0.0007232063567422092,0.00474584130465774,0.0027032501852693675,0.0060213186592723966,0.02004896936543046,9.163362933921055,2.6698068686567586e-06,0.00015594416516619171,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,2.3730473058869327e-05,0.044551847124238826,1.2097867370977129e-13,0.8894681475401461,1.450201686666162,0.9944261606026917,5.389727493071916,0.9944261606026917,5.389727493071914,0.39071741514535974,5.0,2.357610198029413,5.0,5.558326402153642,25.0,25.0,0.0,0.0,0.0,0.0,-0.0007976277029003572,0.004805649082739524,0.0027421095316263132,0.006308267700374544,0.03295113072281764,9.163360241933779,3.5369818518287956e-06,0.00015325694621062388,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,2.3150399587068827e-05,0.04455169184369807,1.1940590969132894e-13,0.8965547123566643,1.499339515458846,1.0051327782128103,9.615416414110037,1.0051327782128103,9.615416414110037,0.3907607145469577,5.0,2.4901526470988355,5.0,6.2008653996603265,25.0,25.0,0.0,0.0,0.0,0.0,-0.0007290647322351751,0.0047559293732434334,0.002842717325653825,0.006018677362785724,0.021041140328856796,9.163357993004958,1.7730756128209925e-06,0.00013000966140614068,0.24013497099441017,0.0,0.0,0.9999840196787552,0.02750783740423479,0.5485278977551555,0.6199927415086437,0.3338472118117357,1.1398842903339898e-05,1.175155668372893e-05,0.5076178767252477
6,2.5240168133824574e-05,0.044551495003378266,1.3114131487299832e-13,0.8797351199758975,1.3957018510445771,1.067104615154561,19.048526916159737,1.0671046151545611,19.048526916159734,0.39071989726895107,5.0,2.4199036596730457,5.0,5.855937333391206,25.0,25.0,0.0,0.0,0.0,0.0,-0.0008170222230101204,0.0049570800700545654,0.0027544688697892883,0.00581349893658693,0.027146342056847433,9.163355065091128,3.040782215428389e-06,0.00016707107150086624,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,2.355890189656048e-05,0.04455134436142695,1.5413776026994407e-13,0.874395916802652,1.4326970628335656,0.9558043934444532,3.496510455840987,0.9558043934444532,3.496510455840987,0.39064898118582425,5.0,2.513700539016318,5.0,6.318690725361796,25.0,25.0,0.0,0.0,0.0,0.0,-0.0006845855132104797,0.004805230959242524,0.0028443971834573073,0.005327240323187334,0.015254678753995408,9.163353428899324,1.7520859429458317e-06,0.00013426477625115774,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,2.30457861372856e-05,0.044551187516446315,1.7319248412604455e-13,0.8833075238231802,1.4723929677609526,1.1025051530736627,42.38231661168315,1.1025051530736627,42.38231661168315,0.39065252328000044,5.0,2.5294946107233454,5.0,6.3983484416688325,25.0,25.0,0.0,0.0,0.0,0.0,-0.0006109762470546649,0.004761564255874386,0.0028442400833668894,0.005813835076398402,0.02789535460943872,9.163352000771889,1.8910247401974895e-06,0.00013757152570171815,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.420568824602693e-05,0.04455102255977501,1.8784537647880283e-13,0.8664753689388252,1.3349414669379995,0.9460391333527796,4.1605609125308725,0.9460391333527796,4.1605609125308725,0.39064665855958053,5.0,2.294513929592205,5.0,5.264798363295757,25.0,25.0,0.0,0.0,0.0,0.0,-0.0008849739330565354,0.004839680710939243,0.0026576754334458855,0.007360736413996294,0.025602492451409085,9.16334959351089,1.6812516348944988e-06,0.00013607298902334702,0.29305023301770544,0.085028400640568,1.0,0.9999828047792053,0.021345301437332598,0.46016930772704145,0.619992741508715,0.3338530391174045,1.2363906736625911e-05,1.184178150940102e-05,0.48921482376543063
10,2.2660946541552735e-05,0.04455086553180687,2.457040379837482e-13,0.8736701962847653,1.3729091154145214,0.9421074766800431,3.29210508946353,0.9421074766800434,3.29210508946353,0.3906480179858698,5.0,2.3112229636017876,5.0,5.341752438314542,25.0,25.0,0.0,0.0,0.0,0.0,-0.0006185162611000289,0.004719998323761098,0.002919995855526801,0.006189140899177935,0.017235521228688277,9.163348558731101,2.9788571360147764e-06,0.00014319019589815782,0.27537492593111734,0.0744903495861547,1.0,0.9999839455831232,0.05497077378460502,0.8320671516794934,0.6199927415087666,0.33332763015820466,1.1145988069324612e-05,1.1514958472228123e-05,0.5081411074825789
