iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.24013497099441017,0.0,0.0,False,2000,4096,1e-07,0.8710127051133029,1.3737492537939708,0.3906341339808136,5.0,2.37862055920986,5.0,5.0,1.0
9,0.29305023301770544,0.085028400640568,1.0,False,2000,4096,1e-07,0.8957764314816592,1.4770478045161948,0.39063485355950517,5.0,2.507449606760368,5.0,5.0,1.0
10,0.27537492593111734,0.0744903495861547,1.0,False,2000,4096,1e-07,0.8631054387433565,1.349716340557433,0.39069561594078406,5.0,2.263571031024647,5.0,5.0,1.0
15,0.26304452216149854,0.06309200459449288,1.0,False,2000,4096,1e-07,0.8775137874837436,1.4060789440503991,0.39067112448253105,5.0,2.4240889712934597,5.0,5.0,1.0
19,0.2806134062580839,0.07482332021985896,1.0,False,2000,4096,1e-07,0.889267105545964,1.4550763263877458,0.390630465023993,5.0,2.4351837946119277,5.0,5.0,1.0
20,0.2917381783890637,0.07012400914400635,1.0,False,2000,4096,1e-07,0.8890509992583095,1.4753986764128972,0.3906622920125817,5.0,2.5467914844914294,5.0,5.0,1.0
25,0.2206988341109104,0.09465179526476813,1.0,False,2000,4096,1e-07,0.8966674352153269,1.5128961187706373,0.39068236234802284,5.0,2.479117359622801,5.0,5.0,1.0
29,0.2549254360028598,0.07103936645928059,1.0,False,2000,4096,1e-07,0.8677053127130846,1.3583593017274795,0.3906955739413152,5.0,2.3801360487810173,5.0,5.0,1.0
30,0.25336673508058405,0.06267437624385849,1.0,False,2000,4096,1e-07,0.8784243077147135,1.382692509522979,0.39064256864886937,5.0,2.3922400024038932,5.0,5.0,1.0
35,0.2677882669941002,0.07597004474402998,1.0,False,2000,4096,1e-07,0.8757546362903861,1.4211795565084642,0.39074548711661233,5.0,2.377924221846929,5.0,5.0,1.0
39,0.2400972264071795,0.07856606233017471,1.0,False,2000,4096,1e-07,0.8819756201539102,1.4273913696978875,0.39064661260801836,5.0,2.3863696739703126,5.0,5.0,1.0
40,0.22345959326400175,0.0679583269255971,1.0,False,2000,4096,1e-07,0.8937343291104178,1.4855133532590181,0.3907627234549181,5.0,2.5640874553900264,5.0,5.0,1.0
45,0.24475053597445687,0.060931248411800844,1.0,False,2000,4096,1e-07,0.8931112626628717,1.4564143830701042,0.39064442164229074,5.0,2.537545294707795,5.0,5.0,1.0
49,0.24408035691736116,0.060851088948569707,1.0,False,2000,4096,1e-07,0.8912003010010231,1.4434010735966205,0.39070019435244885,5.0,2.484104072982883,5.0,5.0,1.0
50,0.26483091369403433,0.06273992404068954,1.0,False,2000,4096,1e-07,0.8943381550683482,1.4559357945410816,0.39081911728540125,5.0,2.4847325514421668,5.0,5.0,1.0
55,0.2452612447320944,0.06004274256539761,1.0,False,2000,4096,1e-07,0.8683130892028943,1.347956141637608,0.3906761060573963,5.0,2.3673345353780886,5.0,5.0,1.0
59,0.27903266426983137,0.08306286364582192,1.0,False,2000,4096,1e-07,0.9004301029215225,1.5117572471867755,0.3907676430126638,5.0,2.505295762724674,5.0,5.0,1.0
60,0.26460758417932717,0.0824818438670829,1.0,False,2000,4096,1e-07,0.8816690749099956,1.4305992521095412,0.39063099415015384,5.0,2.4225216375087135,5.0,5.0,1.0
65,0.22838955038159867,0.07965876661569979,1.0,False,2000,4096,1e-07,0.8647513325441182,1.3731058215854013,0.39084070003916555,5.0,2.3089695512560935,5.0,5.0,1.0
69,0.28227152846211295,0.09209979769745183,1.0,False,2000,4096,1e-07,0.8834839850624642,1.4363462197675685,0.3906739525649843,5.0,2.390212280519391,5.0,5.0,1.0
70,0.2685947104028744,0.08306186342218998,1.0,False,2000,4096,1e-07,0.8878315826565846,1.4068429469604613,0.3906402005920552,5.0,2.400264505396013,5.0,5.0,1.0
75,0.27941710586689744,0.07572999922251038,1.0,False,2000,4096,1e-07,0.8640609540653781,1.3304876279483373,0.39066570630352243,5.0,2.2828327617683017,5.0,5.0,1.0
79,0.3199839037140987,0.08538716000645076,1.0,False,2000,4096,1e-07,0.8879690058581822,1.4699033452283377,0.3907146263612058,5.0,2.445931934524808,5.0,5.0,1.0
