iter,td_loss,critic_teacher_error,tracking_gap,mean_rho,mean_rho2,mean_rho_raw,mean_rho2_raw,mean_rho_exec,mean_rho2_exec,min_rho,max_rho,p95_rho,p99_rho,p95_rho2,p99_rho2,max_rho2,clip_fraction,mean_abs_a_diff,p95_abs_a_diff,max_abs_a_diff,delta_mean,delta_std,delta_p95,delta_p99,delta_max,w_norm,delta_theta_pi_norm,delta_w_norm,fixed_point_gap,fixed_point_drift,fixed_point_drift_defined,stability_proxy,dist_mmd2,dist_mean_l2,dist_action_kl,dist_action_tv,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff
0,2.42660432580539e-05,0.04455263549540975,2.7720014869098325e-14,0.6453198647794752,21.232443562271087,0.6453198647794751,21.232443562271072,0.6453198647794752,21.232443562271087,0.11113962416472582,167.04485722652507,1.5800100254158607,5.941881846281348,2.4964407220718985,35.30605700082327,27903.984325830144,0.0,0.0,0.0,0.0,-0.0007850783369723408,0.004863095234814001,0.0030665145535193413,0.005435116595258049,0.01623422335488857,9.16336932551456,3.805366716681581e-06,0.00011343385817271831,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
1,2.3006000148184355e-05,0.04455252322644389,3.099246398329689e-14,0.6912360480777642,29.81179797393284,0.6912360480777642,29.81179797393284,0.6912360480777642,29.81179797393284,0.1111111528304331,276.3815095587341,1.638870084641091,7.835644956726774,2.6859015349121176,61.39906252979363,76386.73882596462,0.0,0.0,0.0,0.0,-0.0006983120153750392,0.004745351459835952,0.0027487579224835875,0.005495643710358149,0.017658975673632303,9.163367847586446,2.8684173717619006e-06,0.00010593084190448306,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
2,2.4422523706096e-05,0.04455234781678159,1.1351467332002114e-13,0.8172945793493969,205.9632801290799,0.8172945793493972,205.96328012908023,0.8172945793493969,205.9632801290799,0.11116833602174295,801.3766302234463,1.4807985060610689,5.900863849570881,2.192772823063756,34.82059884384004,642204.5034682862,0.0,0.0,0.0,0.0,-0.0008929549304605794,0.00486057148885418,0.0028852053499815824,0.00580104040029213,0.01714754128459179,9.163365861730147,5.472489202454925e-06,0.00018200502605685245,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
3,2.262022588451786e-05,0.0445522574221654,1.1419328932406928e-13,0.6944678254939239,62.83615373320772,0.6944678254939239,62.83615373320772,0.6944678254939239,62.83615373320772,0.11112695270890105,427.38875259586274,1.4756400212581884,5.786586729964868,2.1775200325250483,33.48564213434503,182661.14584544758,0.0,0.0,0.0,0.0,-0.0006517073234647336,0.004711210401697243,0.0028058397219659008,0.005740559583067717,0.02478335542496592,9.163364797887589,1.0216066093074453e-06,8.059305783638689e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
4,2.4239606439024614e-05,0.044551976162432026,4.802193435046108e-13,0.6875951743857993,25.525435034856432,0.6875951743857993,25.52543503485642,0.6875951743857993,25.525435034856432,0.11114945740466771,174.999097605749,1.5295856665592957,5.836644765737085,2.339632810010787,34.06865765431743,30624.684162826466,0.0,0.0,0.0,0.0,-0.0007371749620195172,0.0048678721752318166,0.0029333360551289205,0.0062752732050806136,0.017101857242415284,9.163364718768317,1.1778153759390385e-05,0.00034097525181551585,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
5,2.2092936858876818e-05,0.044551906384192146,4.717287353920386e-13,0.7642274599917289,138.2115972477893,0.7642274599917286,138.2115972477891,0.7642274599917289,138.2115972477893,0.11116742654749595,657.956421628009,1.6566218192371926,7.713797505575068,2.7444007518720475,59.50466146658417,432906.6527615344,0.0,0.0,0.0,0.0,-0.0005685702304791735,0.004665797332920675,0.0029492103196063833,0.006233809953415879,0.021257348125998665,9.163363324313663,3.988066526397609e-06,8.428531557017914e-05,0.2140721238613967,0.0,0.0,0.9999909969006675,0.019737170993900932,0.4312229676020919,5.80277542266443,0.6765590959902066,1.0754609020581644e-05,1.1338327838295174e-05,0.513210530167224
6,2.4554494782081062e-05,0.04455166687923531,1.3332317143260767e-12,1.0714133793406078,285.53317881601697,1.0714133793406075,285.53317881601697,1.0714133793406078,285.53317881601697,0.11115048858983112,803.6511018864541,1.5888941842370436,5.317055492278679,2.5245880475958016,28.271767920004734,645855.0935633117,0.0,0.0,0.0,0.0,-0.0006742225241677777,0.004909166810160955,0.002903529680924186,0.005792549657232802,0.02902257216189758,9.163348909925089,1.731291572703206e-05,0.000288929445000759,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
7,2.3121032274757114e-05,0.04455158755753455,1.3226707157819036e-12,0.598449136750586,9.217766482536598,0.598449136750586,9.217766482536598,0.598449136750586,9.217766482536598,0.11112106116584282,124.83489424550508,1.679523792792206,6.1776281259810215,2.820800479993537,38.164107749970576,15583.750821286438,0.0,0.0,0.0,0.0,-0.0006003822981855035,0.004770804268756223,0.002965118452049651,0.005678192761190814,0.017662700573075896,9.163347813960915,1.0057427468459316e-06,7.233673030942956e-05,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
8,2.364587898984316e-05,0.044551149553485686,4.519498321039074e-12,1.4089803112220194,1380.677423476801,1.4089803112220187,1380.6774234768009,1.4089803112220194,1380.677423476801,0.11112253087597279,2008.1619313396425,1.6949395185684422,7.485646540187508,2.872825191250655,56.03494039177485,4032714.342481763,0.0,0.0,0.0,0.0,-0.0005989109240479588,0.004825679713252754,0.0028192140779779245,0.007221452619570402,0.028938998305611557,9.163324198728764,3.9247258575256075e-05,0.0006373412147437855,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan
9,2.3565017146559806e-05,0.04455107196036927,4.5560001746578595e-12,0.6014151874586802,19.487445735436328,0.6014151874586801,19.487445735436303,0.6014151874586802,19.487445735436328,0.11112009769168721,218.385354649689,1.4702404602702634,5.550374680433881,2.161610678354174,30.807554534382117,47692.16312547044,0.0,0.0,0.0,0.0,-0.0008485787704493468,0.004779637142807233,0.0025906175888904437,0.006700973120505092,0.025420370574107364,9.163323658843854,2.4024332237439973e-06,8.113323538586832e-05,0.166581170561445,0.14249412980213455,1.0,0.9999910064894657,0.01957782195631541,0.46795658810538987,5.802775422670632,0.6763069978718599,1.2052706966565595e-05,1.151231017999421e-05,0.48853391908840016
