iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.2092936858876818e-05,1.0754609020581644e-05,1.1338327838295174e-05,0.513210530167224,8,200,200
9,2.3565017146559806e-05,1.2052706966565595e-05,1.151231017999421e-05,0.48853391908840016,8,200,200
10,2.2031486813528094e-05,1.0566733214171258e-05,1.1464753599356836e-05,0.5203803854180682,8,200,200
15,2.21240169887866e-05,1.0787155786688437e-05,1.1336861202098161e-05,0.5124232732168019,8,200,200
19,2.0959588487709647e-05,1.1104368391372143e-05,9.855220096337504e-06,0.47020103004963293,8,200,200
20,2.294097420916125e-05,1.0303768836736007e-05,1.2637205372425242e-05,0.5508573985222781,8,200,200
25,2.4660358351239834e-05,1.1830914690019695e-05,1.2829443661220138e-05,0.5202456297872541,8,200,200
29,2.199586681561029e-05,1.10632728218107e-05,1.093259399379959e-05,0.49702946855637514,8,200,200
30,2.2184611933874097e-05,1.1674469760323079e-05,1.0510142173551018e-05,0.4737582160498776,8,200,200
35,2.0865801302317886e-05,9.623242731504725e-06,1.124255857081316e-05,0.5388031069558913,8,200,200
39,2.2496949963868056e-05,1.0906090550445789e-05,1.1590859413422267e-05,0.515219148908547,8,200,200
40,2.3491217637798895e-05,1.187605230312811e-05,1.1615165334670786e-05,0.4944471382352369,8,200,200
45,2.295452498431791e-05,1.0090097845164056e-05,1.2864427139153855e-05,0.5604309890072908,8,200,200
49,2.1625444486936702e-05,9.612036155123461e-06,1.201340833181324e-05,0.5555219148938274,8,200,200
50,2.2311117592359475e-05,9.895104044456576e-06,1.24160135479029e-05,0.5564944694726905,8,200,200
55,2.266799969126216e-05,1.2307843913916924e-05,1.0360155777345236e-05,0.45703881764824483,8,200,200
59,2.3808688701119743e-05,1.2974058922122088e-05,1.0834629778997656e-05,0.4550704121091765,8,200,200
60,2.1121644267563913e-05,1.0446609502748471e-05,1.0675034764815442e-05,0.5054073740465783,8,200,200
65,2.5615529530160952e-05,1.1561748712324757e-05,1.4053780817836195e-05,0.5486429941371542,8,200,200
69,2.2246575679594083e-05,1.1582236979571041e-05,1.0664338700023042e-05,0.4793698973548106,8,200,200
70,2.1598806286319227e-05,1.1412634334331952e-05,1.0186171951987275e-05,0.4716080980104552,8,200,200
75,2.2359117781108458e-05,9.486651332638986e-06,1.2872466448469473e-05,0.5757144165744145,8,200,200
79,2.1954104717855508e-05,1.0871331444326894e-05,1.1082773273528614e-05,0.5048155420573756,8,200,200
