iter,w_gap,w_sharp_drift,w_sharp_drift_defined,converged,num_iters,batch_size,tol,rho_mean,rho2_mean,rho_min,rho_max,rho_p95,rho_p99,rho_clip,rho_clip_active
5,0.24632517471023452,0.0,0.0,False,2000,4096,1e-07,1.0621031647132848,21.050678401048465,0.39063413599463315,205.47708529238702,2.3786218639681387,6.29492005215183,10.0,0.0
9,0.38659993874232507,0.17905165873854378,1.0,False,2000,4096,1e-07,1.0225592059890434,6.672361244498279,0.3906348524530776,89.462680355038,2.5074543437708003,7.356228883600939,10.0,0.0
10,0.2779554993015763,0.15584176382165305,1.0,False,2000,4096,1e-07,0.9548340223962712,4.490415688727962,0.3906956224237584,69.95974941838763,2.2635688746566176,6.854287561017322,10.0,0.0
15,0.37697633271938086,0.15730634629996126,1.0,False,2000,4096,1e-07,0.9668161482127222,5.621053055024415,0.39067111840119834,85.61269035614586,2.424092575100751,5.924831595864487,10.0,0.0
19,0.2942533746567879,0.16403909411087078,1.0,False,2000,4096,1e-07,1.0529153440845098,11.446851795675158,0.3906304628704573,148.36323086400805,2.435179946497205,7.387543709527923,10.0,0.0
20,0.3536888193062144,0.1363579307960232,1.0,False,2000,4096,1e-07,1.0794755284174289,53.04609680506685,0.3906622928257453,451.3096041827243,2.546801490050648,7.342181368581287,10.0,0.0
25,0.28144310804902295,0.23161615321279766,1.0,False,2000,4096,1e-07,1.14099357238511,40.87977044441811,0.39068236187848127,342.49832627676784,2.479120005919107,8.155998436747938,10.0,0.0
29,0.27621993154101326,0.17970111708004582,1.0,False,2000,4096,1e-07,0.9610080471484667,4.683041455794894,0.3906955784383756,63.53131580307921,2.380131048331208,5.703122072124431,10.0,0.0
30,0.28563142494032373,0.09502718545856288,1.0,False,2000,4096,1e-07,1.0472335027129152,31.772267576274345,0.39064257411552566,303.6133166224358,2.392240114933127,6.076129578528832,10.0,0.0
35,0.28120000772464604,0.10333148073854972,1.0,False,2000,4096,1e-07,0.9881456054038422,5.492056601662831,0.39074547681804533,66.99892584069521,2.377928078117536,6.968545585275443,10.0,0.0
39,0.26675420640714675,0.0951736575988942,1.0,False,2000,4096,1e-07,0.9740907968486822,4.024822546080925,0.3906466194315981,43.75446831724598,2.386370568177589,6.399810494814402,10.0,0.0
40,0.23236225301780286,0.11473710494182573,1.0,False,2000,4096,1e-07,1.0508962726323519,25.108210608839403,0.39076273787324595,245.2979549203409,2.564081548450333,6.51516247276447,10.0,0.0
45,0.2491270145616947,0.10157361228208044,1.0,False,2000,4096,1e-07,1.0201712000530732,8.59262990930363,0.3906444183863619,137.67176077005493,2.537559393699215,6.270283720550222,10.0,0.0
49,0.24538799832025243,0.08192243348533934,1.0,False,2000,4096,1e-07,0.9718716808229485,3.8634914571175694,0.39070018768129844,54.35587514041296,2.484090455071435,5.860412851102306,10.0,0.0
50,0.2653023639843017,0.07061494703211606,1.0,False,2000,4096,1e-07,0.9605237415621306,2.9633987339136323,0.3908190949796822,37.08671649414986,2.48473099120735,6.385267107238074,10.0,0.0
55,0.24649160916322602,0.06792789393460892,1.0,False,2000,4096,1e-07,0.9334586362515462,3.966543213633317,0.39067609736992776,79.5757709841393,2.3673302504628166,5.232834220626692,10.0,0.0
59,0.3107897700612904,0.11032422954105373,1.0,False,2000,4096,1e-07,0.9708082357186016,2.9828400928904446,0.39076764213021703,39.12144450210992,2.5053042213407233,6.969126699203388,10.0,0.0
60,0.30636196914325436,0.132859434449649,1.0,False,2000,4096,1e-07,0.9893495028437974,6.371253453414494,0.3906309967446439,103.10395781155945,2.4225140147207282,6.533070202059756,10.0,0.0
65,0.22983903828426738,0.13724847368377294,1.0,False,2000,4096,1e-07,0.9436881101185233,3.29076197659506,0.39084069761661894,44.02508514974205,2.308971615610715,6.852760554816932,10.0,0.0
69,0.4697329314266382,0.2858038009862172,1.0,False,2000,4096,1e-07,1.1321457389679874,29.6034159077753,0.39067394669519345,197.17951310686468,2.3902186977681805,6.895358447976945,10.0,0.0
70,0.27685431238011154,0.2557574482764252,1.0,False,2000,4096,1e-07,1.0003678641096103,5.572362740252403,0.39064019912252984,65.18548507280691,2.400260885267576,6.094936744651222,10.0,0.0
75,0.2870982412624657,0.08979484178354902,1.0,False,2000,4096,1e-07,0.9608873416006565,5.222147841254804,0.39066570901796405,86.0803176720412,2.2828277847352387,5.647663977743512,10.0,0.0
79,0.48238460098660246,0.25034396664218833,1.0,False,2000,4096,1e-07,0.9837852943828206,5.22431797512659,0.3907146526389916,97.17875053115092,2.4459284497135503,7.147728191937817,10.0,0.0
