iter,td_loss,td_loss_from_Q,td_loss_from_Q_abs_diff,td_loss_from_Q_rel_diff,cache_batch_size,cache_horizon,cache_valid_t
5,2.313697115129596e-05,1.139181420978075e-05,1.174515694151521e-05,0.5076358899664071,8,200,200
9,2.4191637102383785e-05,1.2356772957459057e-05,1.1834864144924727e-05,0.4892130323730158,8,200,200
10,2.2647597442326702e-05,1.1139840051470081e-05,1.150775739085662e-05,0.5081226571675751,8,200,200
15,2.2752632080714946e-05,1.1520817830314754e-05,1.1231814250400191e-05,0.49364900775239273,8,200,200
19,2.3558627097973844e-05,1.33611229376571e-05,1.0197504160316743e-05,0.43285646985743825,8,200,200
20,2.2813121646499602e-05,1.0865033489183747e-05,1.1948088157315855e-05,0.5237375376529912,8,200,200
25,2.43585029989736e-05,1.1487757765386197e-05,1.2870745233587404e-05,0.5283881868327353,8,200,200
29,2.119237625669226e-05,1.0933711654144043e-05,1.0258664602548216e-05,0.48407335158126363,8,200,200
30,2.2195174982711118e-05,1.1587727528098e-05,1.0607447454613118e-05,0.477916820339365,8,200,200
35,2.2297470089554502e-05,1.0441613621475448e-05,1.1855856468079054e-05,0.5317130786794086,8,200,200
39,2.2907081706937853e-05,1.0977522777684742e-05,1.1929558929253111e-05,0.5207803893081681,8,200,200
40,2.165481549747598e-05,1.1372447944795073e-05,1.0282367552680909e-05,0.47483053152216376,8,200,200
45,2.3894173543159693e-05,1.0537529984295944e-05,1.3356643558863749e-05,0.5589916527030258,8,200,200
49,2.2856082580785566e-05,1.0923650736645767e-05,1.1932431844139799e-05,0.5220681104018692,8,200,200
50,2.345316504427344e-05,1.0586164375956707e-05,1.2867000668316731e-05,0.548625340930625,8,200,200
55,2.301632278821997e-05,1.2377747401157349e-05,1.063857538706262e-05,0.4622187255953662,8,200,200
59,2.2869705503803968e-05,1.2630862000619673e-05,1.0238843503184295e-05,0.4477033384396334,8,200,200
60,2.155417129447947e-05,1.0573942167183476e-05,1.0980229127295994e-05,0.5094247873082594,8,200,200
65,2.6105002292589707e-05,1.25765708008965e-05,1.3528431491693207e-05,0.5182313849301386,8,200,200
69,2.2654493949669954e-05,1.1978151720087094e-05,1.067634222958286e-05,0.47126818428616457,8,200,200
70,2.2835644158227803e-05,1.2304405836944392e-05,1.0531238321283411e-05,0.4611754434564067,8,200,200
75,2.2043454332670097e-05,9.348317950932734e-06,1.2695136381737363e-05,0.5759141099279614,8,200,200
79,2.0863029733073852e-05,1.0635515605487692e-05,1.022751412758616e-05,0.49022190249638736,8,200,200
